t[s](1)             T0[K](2)            P0[Pa](3)           V0[m3](4)           T[K](5)             P[Pa](6)            V[m3](7)            rho[kg/m3](8)       MW[kg/kmol](9)      W1_x(10)        W2_x(11)        W3_x(12)        W4_x(13)        W5_x(14)        W6_x(15)        R_x(16)         P1_x(17)        P2_x(18)        P3_x(19)        P4_x(20)        P5_x(21)        P6_x(22)        H_x(23)         W1_w(24)        W2_w(25)        W3_w(26)        W4_w(27)        W5_w(28)        W6_w(29)        R_w(30)         P1_w(31)        P2_w(32)        P3_w(33)        P4_w(34)        P5_w(35)        P6_w(36)        H_w(37)         
0.000000e+00        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013250e+05        1.000000e-06        1.536731e-02        1.008801e+00        0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e-05    0.000000e+00    0.000000e+00    0.000000e+00    9.999900e-01    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    8.038653e-04    0.000000e+00    0.000000e+00    0.000000e+00    9.991961e-01    
4.803122e-14        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013250e+05        1.000000e-06        1.536731e-02        1.008801e+00        5.867314e-11    1.543645e-15    1.514382e-14    5.355204e-10    8.413231e-10    3.028763e-13    9.437451e-13    5.933157e-12    6.730585e-12    9.998550e-06    5.260098e-18    1.946017e-13    1.155850e-20    9.999900e-01    4.775157e-09    1.256307e-13    1.232491e-12    4.358372e-08    6.847170e-08    2.464981e-11    7.586439e-11    4.769459e-10    5.410483e-10    8.037487e-04    4.228410e-16    1.564335e-11    9.291476e-19    9.991961e-01    
2.444181e-12        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013250e+05        1.000000e-06        1.536731e-02        1.008801e+00        2.975054e-09    7.827136e-14    7.678754e-13    2.715386e-08    4.265975e-08    1.535751e-11    4.785311e-11    3.008439e-10    3.412780e-10    9.926496e-06    2.667161e-16    9.867385e-12    5.851543e-19    9.999900e-01    2.421269e-07    6.370171e-12    6.249410e-11    2.209936e-06    3.471894e-06    1.249882e-09    3.846745e-09    2.418380e-08    2.743415e-08    7.979565e-04    2.144038e-14    7.932047e-10    4.703852e-17    9.991961e-01    
8.795369e-12        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013250e+05        1.000000e-06        1.536731e-02        1.008801e+00        1.060387e-08    2.789796e-13    2.736909e-12    9.678346e-08    1.520505e-07    5.473819e-11    1.705610e-10    1.072287e-09    1.216404e-09    9.738013e-06    9.506463e-16    3.516995e-11    2.076807e-18    9.999900e-01    8.630036e-07    2.270496e-11    2.227453e-10    7.876791e-06    1.237474e-05    4.454906e-09    1.371080e-08    8.619738e-08    9.778248e-08    7.828048e-04    7.641913e-14    2.827189e-09    1.669472e-16    9.991959e-01    
1.882867e-11        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013249e+05        1.000000e-06        1.536731e-02        1.008801e+00        2.236142e-08    5.883118e-13    5.771589e-12    2.040968e-07    3.206438e-07    1.154318e-10    3.596788e-10    2.261236e-09    2.565151e-09    9.447521e-06    2.004721e-15    7.416632e-11    4.350103e-18    9.999900e-01    1.819900e-06    4.788016e-11    4.697248e-10    1.661056e-05    2.609582e-05    9.394495e-09    2.891331e-08    1.817728e-07    2.062034e-07    7.594530e-04    1.611525e-13    5.961969e-09    3.496895e-16    9.991956e-01    
4.204769e-11        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013249e+05        1.000000e-06        1.536731e-02        1.008802e+00        4.824323e-08    1.269242e-12    1.245181e-11    4.403247e-07    6.917670e-07    2.490361e-10    7.759821e-10    4.878461e-09    5.534136e-09    8.808066e-06    4.325047e-15    1.600087e-10    9.237721e-18    9.999900e-01    3.926306e-06    1.032981e-10    1.013398e-09    3.583611e-05    5.629990e-05    2.026796e-08    6.237843e-08    3.921621e-07    4.448694e-07    7.080490e-04    3.476751e-13    1.286253e-08    7.425875e-16    9.991949e-01    
8.384194e-11        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013248e+05        1.000000e-06        1.536731e-02        1.008803e+00        9.049587e-08    2.380876e-12    2.335741e-11    8.259723e-07    1.297634e-06    4.671483e-10    1.455607e-09    9.151141e-09    1.038107e-08    7.764139e-06    8.113034e-15    3.001484e-10    1.682987e-17    9.999900e-01    7.365056e-06    1.937689e-10    1.900956e-09    6.722221e-05    1.056087e-04    3.801912e-08    1.170109e-07    7.356268e-07    8.344965e-07    6.241308e-04    6.521772e-13    2.412783e-08    1.352892e-15    9.991939e-01    
1.363905e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013247e+05        1.000000e-06        1.536731e-02        1.008804e+00        1.365882e-07    3.593531e-12    3.525407e-11    1.246666e-06    1.958560e-06    7.050814e-10    2.196993e-09    1.381210e-08    1.566848e-08    6.625345e-06    1.224526e-14    4.530233e-10    2.445501e-17    9.999900e-01    1.111630e-05    2.924612e-10    2.869169e-09    1.014605e-04    1.593983e-04    5.738338e-08    1.766080e-07    1.110303e-06    1.259530e-06    5.325867e-04    9.843502e-13    3.641685e-08    1.965847e-15    9.991928e-01    
1.930126e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013246e+05        1.000000e-06        1.536731e-02        1.008805e+00        1.787165e-07    4.701893e-12    4.612757e-11    1.631178e-06    2.562643e-06    9.225515e-10    2.874617e-09    1.807220e-08    2.050114e-08    5.584492e-06    1.602209e-14    5.927505e-10    3.066552e-17    9.999900e-01    1.454491e-05    3.826653e-10    3.754110e-09    1.327540e-04    2.085617e-04    7.508220e-08    2.310795e-07    1.452755e-06    1.648009e-06    4.489160e-04    1.287955e-12    4.764894e-08    2.465084e-15    9.991917e-01    
2.588518e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013245e+05        1.000000e-06        1.536731e-02        1.008806e+00        2.194537e-07    5.773657e-12    5.664204e-11    2.002994e-06    3.146780e-06    1.132841e-09    3.529866e-09    2.219164e-08    2.517424e-08    4.578007e-06    1.967422e-14    7.278639e-10    3.576517e-17    9.999900e-01    1.786031e-05    4.698908e-10    4.609829e-09    1.630143e-04    2.561016e-04    9.219659e-08    2.837522e-07    1.783899e-06    2.023659e-06    3.680081e-04    1.581533e-12    5.851014e-08    2.875023e-15    9.991907e-01    
3.308356e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013244e+05        1.000000e-06        1.536731e-02        1.008807e+00        2.556402e-07    6.725696e-12    6.598196e-11    2.333275e-06    3.665664e-06    1.319639e-09    4.111919e-09    2.585090e-08    2.932531e-08    3.683955e-06    2.291837e-14    8.478841e-10    3.928360e-17    9.999900e-01    2.080534e-05    5.473723e-10    5.369956e-09    1.898941e-04    2.983309e-04    1.073991e-07    3.305408e-07    2.078051e-06    2.357345e-06    2.961385e-04    1.842317e-12    6.815803e-08    3.157853e-15    9.991899e-01    
4.028195e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013243e+05        1.000000e-06        1.536731e-02        1.008808e+00        2.847598e-07    7.491809e-12    7.349785e-11    2.599054e-06    4.083214e-06    1.469957e-09    4.580301e-09    2.879553e-08    3.266571e-08    2.964505e-06    2.552896e-14    9.444651e-10    4.115523e-17    9.999900e-01    2.317522e-05    6.097221e-10    5.981635e-09    2.115245e-04    3.323130e-04    1.196327e-07    3.681919e-07    2.314757e-06    2.625865e-06    2.383046e-04    2.052170e-12    7.592174e-08    3.308303e-15    9.991891e-01    
4.748033e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013242e+05        1.000000e-06        1.536731e-02        1.008808e+00        3.081925e-07    8.108305e-12    7.954594e-11    2.812929e-06    4.419219e-06    1.590919e-09    4.957211e-09    3.116510e-08    3.535375e-08    2.385558e-06    2.762973e-14    1.022185e-09    4.178934e-17    9.999900e-01    2.508228e-05    6.598954e-10    6.473856e-09    2.289306e-04    3.596587e-04    1.294771e-07    3.984900e-07    2.505235e-06    2.841944e-06    1.917653e-04    2.221041e-12    8.216925e-08    3.359275e-15    9.991886e-01    
