	T[K]	W4	W5	W1
600 0.41682 0.53667 0.04413
700 0.38426 0.57126 0.04197
800 0.37542 0.58013 0.04111
900 0.37071 0.58238 0.04337
1000 0.36348 0.58285 0.05098
1100 0.34805 0.57828 0.06912
1200 0.40670 0.59065 0.00000
1300 0.00000 0.99578 0.00000
1400 0.00000 0.99596 0.00000
1500 0.00000 0.99676 0.00000
1600 0.00000 0.99732 0.00000
1700 0.00000 0.99697 0.00000
1800 0.00000 0.99702 0.00000
1900 0.00000 0.99555 0.00000
2000 0.00000 0.99727 0.00000
2100 0.00000 0.99715 0.00000
2200 0.00000 0.99716 0.00000
2300 0.00000 0.99715 0.00000
2400 0.33244 0.33244 0.33244
2500 0.33239 0.33239 0.33239
