	T[K]	W1	W4	W5
500 0.00257 0.47514 0.52229
600 0.00125 0.44203 0.55529
700 0.00288 0.42988 0.56592
800 0.00534 0.41879 0.57438
900 0.00860 0.40975 0.58025
1000 0.01265 0.40151 0.58439
1100 0.01723 0.39487 0.58647
1200 1.00000 0.00000 0.00000
1300 0.84385 0.15615 0.00000
1400 0.28842 0.71158 0.00000
1500 0.74958 0.25042 0.00000
1600 0.55786 0.44214 0.00000
1700 0.42156 0.57844 0.00000
1800 0.35680 0.64320 0.00000
1900 0.44271 0.55729 0.00000
2000 0.66408 0.33592 0.00000
2100 0.69255 0.30745 0.00000
2200 0.57203 0.42797 0.00000
2300 0.82168 0.17832 0.00000
