Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
910023800.0	9.88010019801e-06	0.1	910023800.0	3.317684e-14	0.1	910023800.0	6.5018784e-08	0.1	910023800.0	4.878923e-08	0.1	910023800.0	1.24828571514e-09	0.1	910023800.0	3.480346e-14	0.1	910023800.0	6.517246e-18	0.1
1843568000.0	9.76350336399e-06	0.1	1843568000.0	6.681454e-14	0.1	1843568000.0	1.3094076900000002e-07	0.1	1843568000.0	9.825621e-08	0.1	1843568000.0	2.51391150967e-09	0.1	1843568000.0	7.009039e-14	0.1	1843568000.0	1.312502e-17	0.1
3710655000.0	9.534422654819999e-06	0.1	3710655000.0	1.329037e-13	0.1	3710655000.0	2.6045999e-07	0.1	3710655000.0	1.954458e-07	0.1	3710655000.0	5.0005328943899995e-09	0.1	3710655000.0	1.394199e-13	0.1	3710655000.0	2.610756e-17	0.1
7071413000.0	9.13553664372e-06	0.1	7071413000.0	2.479812e-13	0.1	7071413000.0	4.859846899999999e-07	0.1	7071413000.0	3.646765e-07	0.1	7071413000.0	9.33034571797e-09	0.1	7071413000.0	2.601394e-13	0.1	7071413000.0	4.871333e-17	0.1
13046090000.0	8.467163327520002e-06	0.1	13046090000.0	4.40805e-13	0.1	13046090000.0	8.6387404e-07	0.1	13046090000.0	6.482396e-07	0.1	13046090000.0	1.658538593438e-08	0.1	13046090000.0	4.624172e-13	0.1	13046090000.0	8.659157e-17	0.1
23093720000.0	7.451579483460001e-06	0.1	23093720000.0	7.337981e-13	0.1	23093720000.0	1.43807164e-06	0.1	23093720000.0	1.07911e-06	0.1	23093720000.0	2.76093164062e-08	0.1	23093720000.0	7.697756e-13	0.1	23093720000.0	1.44147e-16	0.1
37010250000.0	6.24298156956e-06	0.1	37010250000.0	1.082475e-12	0.1	37010250000.0	2.1213966e-06	0.1	37010250000.0	1.591868e-06	0.1	37010250000.0	4.0728366470399995e-08	0.1	37010250000.0	1.135548e-12	0.1	37010250000.0	2.12641e-16	0.1
53764370000.0	5.045040044580899e-06	0.1	53764370000.0	1.428078e-12	0.1	53764370000.0	2.7986963e-06	0.1	53764370000.0	2.100104e-06	0.1	53764370000.0	5.3731736004899996e-08	0.1	53764370000.0	1.498095e-12	0.1	53764370000.0	2.80531e-16	0.1
71227900000.0	4.0403551920004e-06	0.1	71227900000.0	1.717926e-12	0.1	71227900000.0	3.3667311e-06	0.1	71227900000.0	2.52635e-06	0.1	71227900000.0	6.463736593510001e-08	0.1	71227900000.0	1.802155e-12	0.1	71227900000.0	3.374688e-16	0.1
88691420000.0	3.2357463186321e-06	0.1	88691420000.0	1.950054e-12	0.1	88691420000.0	3.8216463e-06	0.1	88691420000.0	2.867713e-06	0.1	88691420000.0	7.337120592209999e-08	0.1	88691420000.0	2.045663e-12	0.1	88691420000.0	3.830678e-16	0.1
106154900000.0	2.5913688269105e-06	0.1	106154900000.0	2.135955e-12	0.1	106154900000.0	4.1859679e-06	0.1	106154900000.0	3.141095e-06	0.1	106154900000.0	8.03657679459e-08	0.1	106154900000.0	2.240678e-12	0.1	106154900000.0	4.195861e-16	0.1
123618500000.0	2.0753160390962997e-06	0.1	123618500000.0	2.284835e-12	0.1	123618500000.0	4.4777379e-06	0.1	123618500000.0	3.360035e-06	0.1	123618500000.0	8.59674035924e-08	0.1	123618500000.0	2.396858e-12	0.1	123618500000.0	4.488321e-16	0.1
142533500000.0	1.6316345203248999e-06	0.1	142533500000.0	2.412835e-12	0.1	142533500000.0	4.7285894000000004e-06	0.1	142533500000.0	3.548271e-06	0.1	142533500000.0	9.078346564219999e-08	0.1	142533500000.0	2.531134e-12	0.1	142533500000.0	4.739765e-16	0.1
163625900000.0	1.2477763973311e-06	0.1	163625900000.0	2.523577e-12	0.1	163625900000.0	4.9456177e-06	0.1	163625900000.0	3.711125e-06	0.1	163625900000.0	9.49501547189e-08	0.1	163625900000.0	2.647306e-12	0.1	163625900000.0	4.957306e-16	0.1
184718200000.0	9.5422556222448e-07	0.1	184718200000.0	2.608266e-12	0.1	184718200000.0	5.111586699999999e-06	0.1	184718200000.0	3.835667e-06	0.1	184718200000.0	9.81365793076e-08	0.1	184718200000.0	2.736147e-12	0.1	184718200000.0	5.123668e-16	0.1
205810500000.0	7.2973502960176e-07	0.1	205810500000.0	2.673031e-12	0.1	205810500000.0	5.238510999999999e-06	0.1	205810500000.0	3.930909e-06	0.1	205810500000.0	1.005733604642e-07	0.1	205810500000.0	2.804087e-12	0.1	205810500000.0	5.250892e-16	0.1
226902900000.0	5.580580635566301e-07	0.1	226902900000.0	2.722559e-12	0.1	226902900000.0	5.3355749e-06	0.1	226902900000.0	4.003744e-06	0.1	226902900000.0	1.024368689961e-07	0.1	226902900000.0	2.856043e-12	0.1	226902900000.0	5.348185e-16	0.1
252431100000.0	4.0336272599531995e-07	0.1	252431100000.0	2.767188e-12	0.1	252431100000.0	5.4230377999999995e-06	0.1	252431100000.0	4.069375e-06	0.1	252431100000.0	1.041160766841e-07	0.1	252431100000.0	2.902861e-12	0.1	252431100000.0	5.435854e-16	0.1
277959300000.0	2.9154945532076e-07	0.1	277959300000.0	2.799446e-12	0.1	277959300000.0	5.4862557e-06	0.1	277959300000.0	4.116813e-06	0.1	277959300000.0	1.053297822409e-07	0.1	277959300000.0	2.9367e-12	0.1	277959300000.0	5.499221e-16	0.1
303487500000.0	2.1073107159468e-07	0.1	303487500000.0	2.822762e-12	0.1	303487500000.0	5.5319482e-06	0.1	303487500000.0	4.151101e-06	0.1	303487500000.0	1.062070862573e-07	0.1	303487500000.0	2.961159e-12	0.1	303487500000.0	5.545023e-16	0.1
331133500000.0	1.4826840247401e-07	0.1	331133500000.0	2.840782e-12	0.1	331133500000.0	5.5672641e-06	0.1	331133500000.0	4.177601e-06	0.1	331133500000.0	1.0688508936159999e-07	0.1	331133500000.0	2.980063e-12	0.1	331133500000.0	5.580422e-16	0.1
361956400000.0	1.001899880709e-07	0.1	361956400000.0	2.854653e-12	0.1	361956400000.0	5.5944468e-06	0.1	361956400000.0	4.197999e-06	0.1	361956400000.0	1.074068917509e-07	0.1	361956400000.0	2.994614e-12	0.1	361956400000.0	5.607669e-16	0.1
