Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
4.61151e-11	9.701794019801998e-06	0.1	4.61151e-11	3.999497e-08	0.1	4.61151e-11	6.913269e-118	0.1	4.61151e-11	1.372955e-10	0.1	4.61151e-11	1.551767e-07	0.1	4.61151e-11	8.36392e-08	0.1	4.61151e-11	1.13613e-09	0.1
9.850568e-11	9.3930963769248e-06	0.1	9.850568e-11	8.407274e-08	0.1	9.850568e-11	1.4532249e-117	0.1	9.850568e-11	2.886055e-10	0.1	9.850568e-11	3.261929e-07	0.1	9.850568e-11	1.758165e-07	0.1	9.850568e-11	2.388234e-09	0.1
2.20571e-10	8.7114299273092e-06	0.1	2.20571e-10	1.814068e-07	0.1	2.20571e-10	3.135669e-117	0.1	2.20571e-10	6.22729e-10	0.1	2.20571e-10	7.03831e-07	0.1	2.20571e-10	3.793656e-07	0.1	2.20571e-10	5.153153e-09	0.1
4.402884e-10	7.606683692083201e-06	0.1	4.402884e-10	3.391561e-07	0.1	4.402884e-10	5.862387000000001e-117	0.1	4.402884e-10	1.16423e-09	0.1	4.402884e-10	1.315852e-06	0.1	4.402884e-10	7.092579e-07	0.1	4.402884e-10	9.634203e-09	0.1
6.515827e-10	6.6766681069809e-06	0.1	6.515827e-10	4.719597e-07	0.1	6.515827e-10	8.157891e-117	0.1	6.515827e-10	1.620088e-09	0.1	6.515827e-10	1.831073e-06	0.1	6.515827e-10	9.869824e-07	0.1	6.515827e-10	1.340658e-08	0.1
8.136225e-10	6.041252860447e-06	0.1	8.136225e-10	5.626979e-07	0.1	8.136225e-10	9.726287999999999e-117	0.1	8.136225e-10	1.931545e-09	0.1	8.136225e-10	2.183089e-06	0.1	8.136225e-10	1.176738e-06	0.1	8.136225e-10	1.598403e-08	0.1
1.036706e-09	5.264204341180901e-06	0.1	1.036706e-09	6.736645e-07	0.1	1.036706e-09	1.1644317e-116	0.1	1.036706e-09	2.312427e-09	0.1	1.036706e-09	2.613568e-06	0.1	1.036706e-09	1.408796e-06	0.1	1.036706e-09	1.913603e-08	0.1
1.351348e-09	4.3350993886483005e-06	0.1	1.351348e-09	8.063508e-07	0.1	1.351348e-09	1.3937742e-116	0.1	1.351348e-09	2.767844e-09	0.1	1.351348e-09	3.128286e-06	0.1	1.351348e-09	1.686275e-06	0.1	1.351348e-09	2.290491e-08	0.1
1.780436e-09	3.3265371651725998e-06	0.1	1.780436e-09	9.503913e-07	0.1	1.780436e-09	1.6427391000000002e-116	0.1	1.780436e-09	3.262212e-09	0.1	1.780436e-09	3.687023e-06	0.1	1.780436e-09	1.987499e-06	0.1	1.780436e-09	2.699622e-08	0.1
2.209523e-09	2.552630672086e-06	0.1	2.209523e-09	1.060925e-06	0.1	2.209523e-09	1.8337863e-116	0.1	2.209523e-09	3.641562e-09	0.1	2.209523e-09	4.115763e-06	0.1	2.209523e-09	2.218651e-06	0.1	2.209523e-09	3.013573e-08	0.1
2.638611e-09	1.95878065393152e-06	0.1	2.638611e-09	1.145746e-06	0.1	2.638611e-09	1.9803906000000002e-116	0.1	2.638611e-09	3.932655e-09	0.1	2.638611e-09	4.444755e-06	0.1	2.638611e-09	2.396032e-06	0.1	2.638611e-09	3.254488e-08	0.1
3.067698e-09	1.503091068933e-06	0.1	3.067698e-09	1.210836e-06	0.1	3.067698e-09	2.0928909000000002e-116	0.1	3.067698e-09	4.156026e-09	0.1	3.067698e-09	4.697206e-06	0.1	3.067698e-09	2.532152e-06	0.1	3.067698e-09	3.439359e-08	0.1
3.496786e-09	1.15341737967288e-06	0.1	3.496786e-09	1.260786e-06	0.1	3.496786e-09	2.1792207e-116	0.1	3.496786e-09	4.327431e-09	0.1	3.496786e-09	4.890926e-06	0.1	3.496786e-09	2.636607e-06	0.1	3.496786e-09	3.581223e-08	0.1
3.925874e-09	8.850936329111999e-07	0.1	3.925874e-09	1.299116e-06	0.1	3.925874e-09	2.2454685e-116	0.1	3.925874e-09	4.458961e-09	0.1	3.925874e-09	5.039579e-06	0.1	3.925874e-09	2.716765e-06	0.1	3.925874e-09	3.690086e-08	0.1
4.389887e-09	6.647116846735499e-07	0.1	4.389887e-09	1.330599e-06	0.1	4.389887e-09	2.2998813e-116	0.1	4.389887e-09	4.566991e-09	0.1	4.389887e-09	5.161672e-06	0.1	4.389887e-09	2.782603e-06	0.1	4.389887e-09	3.779501e-08	0.1
4.90629e-09	4.8332444322782e-07	0.1	4.90629e-09	1.356513e-06	0.1	4.90629e-09	2.3446674000000002e-116	0.1	4.90629e-09	4.655906e-09	0.1	4.90629e-09	5.262162e-06	0.1	4.90629e-09	2.836794e-06	0.1	4.90629e-09	3.853097e-08	0.1
5.422692e-09	3.5143571641582997e-07	0.1	5.422692e-09	1.375356e-06	0.1	5.422692e-09	2.3772330000000003e-116	0.1	5.422692e-09	4.720558e-09	0.1	5.422692e-09	5.335231e-06	0.1	5.422692e-09	2.876199e-06	0.1	5.422692e-09	3.90661e-08	0.1
5.939094e-09	2.5553745141276e-07	0.1	5.939094e-09	1.389057e-06	0.1	5.939094e-09	2.4009122999999998e-116	0.1	5.939094e-09	4.767568e-09	0.1	5.939094e-09	5.38836e-06	0.1	5.939094e-09	2.904851e-06	0.1	5.939094e-09	3.945522e-08	0.1
6.539653e-09	1.76405224571807e-07	0.1	6.539653e-09	1.400363e-06	0.1	6.539653e-09	2.4204525000000003e-116	0.1	6.539653e-09	4.80636e-09	0.1	6.539653e-09	5.432201e-06	0.1	6.539653e-09	2.928495e-06	0.1	6.539653e-09	3.977631e-08	0.1
7.161251e-09	1.20207556329749e-07	0.1	7.161251e-09	1.408393e-06	0.1	7.161251e-09	2.4343299000000003e-116	0.1	7.161251e-09	4.833908e-09	0.1	7.161251e-09	5.463336e-06	0.1	7.161251e-09	2.945287e-06	0.1	7.161251e-09	4.000435e-08	0.1
