Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
2.836677e-11	9.6986060540999e-06	0.1	2.836677e-11	2.447476e-08	0.1	2.836677e-11	8.20182e-08	0.1	2.836677e-11	3.683338e-10	0.1	2.836677e-11	1.430621e-07	0.1	2.836677e-11	3.289066e-08	0.1	2.836677e-11	1.229481e-10	0.1
6.055569e-11	9.3869764405099e-06	0.1	6.055569e-11	5.140784e-08	0.1	6.055569e-11	1.72272e-07	0.1	6.055569e-11	7.736521e-10	0.1	6.055569e-11	3.004841e-07	0.1	6.055569e-11	6.908502e-08	0.1	6.055569e-11	2.582431e-10	0.1
1.356542e-10	8.6983309408223e-06	0.1	1.356542e-10	1.109293e-07	0.1	1.356542e-10	3.71721e-07	0.1	1.356542e-10	1.669351e-09	0.1	1.356542e-10	6.483462e-07	0.1	1.356542e-10	1.490741e-07	0.1	1.356542e-10	5.572334e-10	0.1
2.708316e-10	7.5836547063162005e-06	0.1	2.708316e-10	2.072865e-07	0.1	2.708316e-10	6.945718e-07	0.1	2.708316e-10	3.119225e-09	0.1	2.708316e-10	1.211374e-06	0.1	2.708316e-10	2.785664e-07	0.1	2.708316e-10	1.041231e-09	0.1
4.006146e-10	6.648177736872001e-06	0.1	4.006146e-10	2.881657e-07	0.1	4.006146e-10	9.655319e-07	0.1	4.006146e-10	4.336062e-09	0.1	4.006146e-10	1.683845e-06	0.1	4.006146e-10	3.872593e-07	0.1	4.006146e-10	1.447457e-09	0.1
4.997765e-10	6.0120129291219e-06	0.1	4.997765e-10	3.431744e-07	0.1	4.997765e-10	1.149803e-06	0.1	4.997765e-10	5.163593e-09	0.1	4.997765e-10	2.005123e-06	0.1	4.997765e-10	4.611857e-07	0.1	4.997765e-10	1.72373e-09	0.1
6.360023e-10	5.2361736125196e-06	0.1	6.360023e-10	4.102694e-07	0.1	6.360023e-10	1.374542e-06	0.1	6.360023e-10	6.172852e-09	0.1	6.360023e-10	2.396911e-06	0.1	6.360023e-10	5.513555e-07	0.1	6.360023e-10	2.060685e-09	0.1
8.286942e-10	4.3066886518163e-06	0.1	8.286942e-10	4.906658e-07	0.1	8.286942e-10	1.6438e-06	0.1	8.286942e-10	7.382043e-09	0.1	8.286942e-10	2.866245e-06	0.1	8.286942e-10	6.594023e-07	0.1	8.286942e-10	2.464411e-09	0.1
1.092186e-09	3.2968792027038e-06	0.1	1.092186e-09	5.780293e-07	0.1	1.092186e-09	1.936345e-06	0.1	1.092186e-09	8.695817e-09	0.1	1.092186e-09	3.376075e-06	0.1	1.092186e-09	7.76814e-07	0.1	1.092186e-09	2.903083e-09	0.1
1.355678e-09	2.5239314145707997e-06	0.1	1.355678e-09	6.44917e-07	0.1	1.355678e-09	2.160287e-06	0.1	1.355678e-09	9.701513e-09	0.1	1.355678e-09	3.766269e-06	0.1	1.355678e-09	8.667087e-07	0.1	1.355678e-09	3.238907e-09	0.1
1.61917e-09	1.93225967200722e-06	0.1	1.61917e-09	6.961292e-07	0.1	1.61917e-09	2.331718e-06	0.1	1.61917e-09	1.047141e-08	0.1	1.61917e-09	4.064916e-06	0.1	1.61917e-09	9.355369e-07	0.1	1.61917e-09	3.496005e-09	0.1
1.882663e-09	1.479333615735e-06	0.1	1.882663e-09	7.353403e-07	0.1	1.882663e-09	2.462957e-06	0.1	1.882663e-09	1.106082e-08	0.1	1.882663e-09	4.293509e-06	0.1	1.882663e-09	9.882365e-07	0.1	1.882663e-09	3.692837e-09	0.1
2.146155e-09	1.13260425765344e-06	0.1	2.146155e-09	7.653632e-07	0.1	2.146155e-09	2.56343e-06	0.1	2.146155e-09	1.151208e-08	0.1	2.146155e-09	4.468488e-06	0.1	2.146155e-09	1.028588e-06	0.1	2.146155e-09	3.843535e-09	0.1
2.409647e-09	8.671630734984602e-07	0.1	2.409647e-09	7.883514e-07	0.1	2.409647e-09	2.640352e-06	0.1	2.409647e-09	1.185758e-08	0.1	2.409647e-09	4.602434e-06	0.1	2.409647e-09	1.059485e-06	0.1	2.409647e-09	3.958914e-09	0.1
2.694473e-09	6.4974633104605e-07	0.1	2.694473e-09	8.071836e-07	0.1	2.694473e-09	2.70336e-06	0.1	2.694473e-09	1.214061e-08	0.1	2.694473e-09	4.71214e-06	0.1	2.694473e-09	1.084796e-06	0.1	2.694473e-09	4.053428e-09	0.1
3.011301e-09	4.713184339392001e-07	0.1	3.011301e-09	8.226412e-07	0.1	3.011301e-09	2.75507e-06	0.1	3.011301e-09	1.237292e-08	0.1	3.011301e-09	4.802168e-06	0.1	3.011301e-09	1.105572e-06	0.1	3.011301e-09	4.131e-09	0.1
3.328129e-09	3.4189801299524e-07	0.1	3.328129e-09	8.338549e-07	0.1	3.328129e-09	2.79258e-06	0.1	3.328129e-09	1.254147e-08	0.1	3.328129e-09	4.867466e-06	0.1	3.328129e-09	1.120644e-06	0.1	3.328129e-09	4.187271e-09	0.1
3.644956e-09	2.4802132568811e-07	0.1	3.644956e-09	8.419901e-07	0.1	3.644956e-09	2.819789e-06	0.1	3.644956e-09	1.266377e-08	0.1	3.644956e-09	4.914832e-06	0.1	3.644956e-09	1.131578e-06	0.1	3.644956e-09	4.228091e-09	0.1
