Batch	m_SP	7	P3	R	W4_L	W3	P1	P2_L	P4											
6.465098e-12	9.78098318919e-06	0.1	6.465098e-12	2.693847e-11	0.1	6.465098e-12	2.18301812e-07	0.1	6.465098e-12	4.575088e-13	0.1	6.465098e-12	2.905348e-10	0.1	6.465098e-12	2.6553324700000003e-10	0.1	6.465098e-12	2.003688e-17	0.1
1.441707e-11	9.51828081624e-06	0.1	1.441707e-11	5.926497e-11	0.1	1.441707e-11	4.8026661e-07	0.1	1.441707e-11	1.006525e-12	0.1	1.441707e-11	6.3918e-10	0.1	1.441707e-11	5.841763e-10	0.1	1.441707e-11	4.408138e-17	0.1
2.99356e-11	9.02575574154e-06	0.1	2.99356e-11	1.198719e-10	0.1	2.99356e-11	9.7140842e-07	0.1	2.99356e-11	2.035841e-12	0.1	2.99356e-11	1.292834e-09	0.1	2.99356e-11	1.18158037e-09	0.1	2.99356e-11	8.916094e-17	0.1
5.75241e-11	8.212237876800001e-06	0.1	5.75241e-11	2.199783e-10	0.1	5.75241e-11	1.78264301e-06	0.1	5.75241e-11	3.735996e-12	0.1	5.75241e-11	2.372494e-09	0.1	5.75241e-11	2.16833166e-09	0.1	5.75241e-11	1.636203e-16	0.1
9.583717e-11	7.2026579727e-06	0.1	9.583717e-11	3.442108e-10	0.1	9.583717e-11	2.7893879e-06	0.1	9.583717e-11	5.845895e-12	0.1	9.583717e-11	3.712357e-09	0.1	9.583717e-11	3.39289509e-09	0.1	9.583717e-11	2.560246e-16	0.1
1.4946e-10	5.9945900535000006e-06	0.1	1.4946e-10	4.928679e-10	0.1	1.4946e-10	3.9940632e-06	0.1	1.4946e-10	8.370607e-12	0.1	1.4946e-10	5.315641e-09	0.1	1.4946e-10	4.85821064e-09	0.1	1.4946e-10	3.665959e-16	0.1
2.030829e-10	4.98914710803e-06	0.1	2.030829e-10	6.165914e-10	0.1	2.030829e-10	4.9966837e-06	0.1	2.030829e-10	1.047186e-11	0.1	2.030829e-10	6.650015e-09	0.1	2.030829e-10	6.0777566e-09	0.1	2.030829e-10	4.586217e-16	0.1
2.843746e-10	3.77703822924e-06	0.1	2.843746e-10	7.657458e-10	0.1	2.843746e-10	6.2053894999999995e-06	0.1	2.843746e-10	1.300502e-11	0.1	2.843746e-10	8.258663e-09	0.1	2.843746e-10	7.5479754e-09	0.1	2.843746e-10	5.69563e-16	0.1
3.656664e-10	2.85940940562e-06	0.1	3.656664e-10	8.786632e-10	0.1	3.656664e-10	7.1204403000000005e-06	0.1	3.656664e-10	1.492275e-11	0.1	3.656664e-10	9.476492e-09	0.1	3.656664e-10	8.6610051e-09	0.1	3.656664e-10	6.535512e-16	0.1
4.469582e-10	2.1647183526000003e-06	0.1	4.469582e-10	9.641475e-10	0.1	4.469582e-10	7.8131809e-06	0.1	4.469582e-10	1.637457e-11	0.1	4.469582e-10	1.039845e-08	0.1	4.469582e-10	9.5036263e-09	0.1	4.469582e-10	7.171345e-16	0.1
5.2825e-10	1.63880261181e-06	0.1	5.2825e-10	1.028863e-09	0.1	5.2825e-10	8.3376203e-06	0.1	5.2825e-10	1.747367e-11	0.1	5.2825e-10	1.109642e-08	0.1	5.2825e-10	1.0141532199999999e-08	0.1	5.2825e-10	7.652703e-16	0.1
6.095417e-10	1.24065659331e-06	0.1	6.095417e-10	1.077857e-09	0.1	6.095417e-10	8.7346477e-06	0.1	6.095417e-10	1.830575e-11	0.1	6.095417e-10	1.162482e-08	0.1	6.095417e-10	1.0624459499999999e-08	0.1	6.095417e-10	8.017116e-16	0.1
6.908335e-10	9.392402075040001e-07	0.1	6.908335e-10	1.114947e-09	0.1	6.908335e-10	9.0352173e-06	0.1	6.908335e-10	1.893567e-11	0.1	6.908335e-10	1.202484e-08	0.1	6.908335e-10	1.09900578e-08	0.1	6.908335e-10	8.292995e-16	0.1
7.721253e-10	7.11052589403e-07	0.1	7.721253e-10	1.143026e-09	0.1	7.721253e-10	9.2627643e-06	0.1	7.721253e-10	1.941256e-11	0.1	7.721253e-10	1.232768e-08	0.1	7.721253e-10	1.12668355e-08	0.1	7.721253e-10	8.501849e-16	0.1
8.534171e-10	5.38303016916e-07	0.1	8.534171e-10	1.164284e-09	0.1	8.534171e-10	9.4350293e-06	0.1	8.534171e-10	1.977358e-11	0.1	8.534171e-10	1.255695e-08	0.1	8.534171e-10	1.14763735e-08	0.1	8.534171e-10	8.659963e-16	0.1
9.380707e-10	4.0285897137000005e-07	0.1	9.380707e-10	1.180951e-09	0.1	9.380707e-10	9.570092900000001e-06	0.1	9.380707e-10	2.005664e-11	0.1	9.380707e-10	1.27367e-08	0.1	9.380707e-10	1.1640660299999999e-08	0.1	9.380707e-10	8.783931e-16	0.1
1.036172e-09	2.8792812069e-07	0.1	1.036172e-09	1.195093e-09	0.1	1.036172e-09	9.684701e-06	0.1	1.036172e-09	2.029683e-11	0.1	1.036172e-09	1.288923e-08	0.1	1.036172e-09	1.1780063499999999e-08	0.1	1.036172e-09	8.889125e-16	0.1
