Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
2.846731e-11	9.73819661706e-06	0.1	2.846731e-11	2.6138916e-07	0.1	2.846731e-11	1.489251e-13	0.1	2.846731e-11	1.57484e-10	0.1	2.846731e-11	1.16036002e-10	0.1	2.846731e-11	8.102438e-12	0.1	2.846731e-11	3.634685e-19	0.1
6.094889e-11	9.44794451961e-06	0.1	6.094889e-11	5.5129257e-07	0.1	6.094889e-11	3.14096e-13	0.1	6.094889e-11	3.321474e-10	0.1	6.094889e-11	2.4473010099999997e-10	0.1	6.094889e-11	1.708875e-11	0.1	6.094889e-11	7.665867e-19	0.1
1.361124e-10	8.80902990882e-06	0.1	1.361124e-10	1.18943849e-06	0.1	1.361124e-10	6.776762e-13	0.1	1.361124e-10	7.166231e-10	0.1	1.361124e-10	5.28016147e-10	0.1	1.361124e-10	3.686974e-11	0.1	1.361124e-10	1.653945e-18	0.1
2.714068e-10	7.76589534027e-06	0.1	2.714068e-10	2.23131986e-06	0.1	2.714068e-10	1.271283e-12	0.1	2.714068e-10	1.344345e-09	0.1	2.714068e-10	9.9052882e-10	0.1	2.714068e-10	6.916557e-11	0.1	2.714068e-10	3.102709e-18	0.1
4.415476e-10	6.6276097232400005e-06	0.1	4.415476e-10	3.3682370999999997e-06	0.1	4.415476e-10	1.919035e-12	0.1	4.415476e-10	2.029324e-09	0.1	4.415476e-10	1.49523019e-09	0.1	4.415476e-10	1.044073e-10	0.1	4.415476e-10	4.683622e-18	0.1
6.248977e-10	5.5869941295e-06	0.1	6.248977e-10	4.4076024e-06	0.1	6.248977e-10	2.511208e-12	0.1	6.248977e-10	2.65553e-09	0.1	6.248977e-10	1.9566247e-09	0.1	6.248977e-10	1.366251e-10	0.1	6.248977e-10	6.128886e-18	0.1
8.380955e-10	4.580616193380001e-06	0.1	8.380955e-10	5.4127708e-06	0.1	8.380955e-10	3.083897e-12	0.1	8.380955e-10	3.261132e-09	0.1	8.380955e-10	2.4028400399999997e-09	0.1	8.380955e-10	1.677829e-10	0.1	8.380955e-10	7.526599e-18	0.1
1.071192e-09	3.68654213421e-06	0.1	1.071192e-09	6.305770499999999e-06	0.1	1.071192e-09	3.592679e-12	0.1	1.071192e-09	3.799154e-09	0.1	1.071192e-09	2.79926052e-09	0.1	1.071192e-09	1.954637e-10	0.1	1.071192e-09	8.768338e-18	0.1
1.304288e-09	2.96697932991e-06	0.1	1.304288e-09	7.0244679e-06	0.1	1.304288e-09	4.002153e-12	0.1	1.304288e-09	4.232162e-09	0.1	1.304288e-09	3.1183060499999997e-09	0.1	1.304288e-09	2.177417e-10	0.1	1.304288e-09	9.767707e-18	0.1
1.537384e-09	2.3878661211e-06	0.1	1.537384e-09	7.6028864e-06	0.1	1.537384e-09	4.331703e-12	0.1	1.537384e-09	4.580652e-09	0.1	1.537384e-09	3.37507789e-09	0.1	1.537384e-09	2.356712e-10	0.1	1.537384e-09	1.057201e-17	0.1
