Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
3.704001e-11	9.737902620000002e-06	0.1	3.704001e-11	2.5891647e-07	0.1	3.704001e-11	3.402107e-12	0.1	3.704001e-11	1.297367e-09	0.1	3.704001e-11	1.5176965e-09	0.1	3.704001e-11	2.071332e-10	0.1	3.704001e-11	9.911213e-16	0.1
7.930367e-11	9.44733052575e-06	0.1	7.930367e-11	5.460714999999999e-07	0.1	7.930367e-11	7.175262e-12	0.1	7.930367e-11	2.736229e-09	0.1	7.930367e-11	3.20091809e-09	0.1	7.930367e-11	4.368572e-10	0.1	7.930367e-11	2.090338e-15	0.1
1.771139e-10	8.8076819223e-06	0.1	1.771139e-10	1.17819813e-06	0.1	1.771139e-10	1.548127e-11	0.1	1.771139e-10	5.903659e-09	0.1	1.771139e-10	6.9062676e-09	0.1	1.771139e-10	9.425585e-10	0.1	1.771139e-10	4.510092e-15	0.1
3.531724e-10	7.76347536447e-06	0.1	3.531724e-10	2.21012612e-06	0.1	3.531724e-10	2.904058e-11	0.1	3.531724e-10	1.107439e-08	0.1	3.531724e-10	1.2955139e-08	0.1	3.531724e-10	1.768101e-09	0.1	3.531724e-10	8.460267e-15	0.1
5.745158e-10	6.624512754210001e-06	0.1	5.745158e-10	3.3356963e-06	0.1	5.745158e-10	4.383033e-11	0.1	5.745158e-10	1.671435e-08	0.1	5.745158e-10	1.95529169e-08	0.1	5.745158e-10	2.668557e-09	0.1	5.745158e-10	1.27689e-14	0.1
8.130078e-10	5.5835886051855e-06	0.1	8.130078e-10	4.3643785000000005e-06	0.1	8.130078e-10	5.7347e-11	0.1	8.130078e-10	2.186882e-08	0.1	8.130078e-10	2.55827721e-08	0.1	8.130078e-10	3.491503e-09	0.1	8.130078e-10	1.670666e-14	0.1
1.090321e-09	4.5770757710678e-06	0.1	1.090321e-09	5.3590562e-06	0.1	1.090321e-09	7.041685e-11	0.1	1.090321e-09	2.68529e-08	0.1	1.090321e-09	3.14132913e-08	0.1	1.090321e-09	4.287245e-09	0.1	1.090321e-09	2.051424e-14	0.1
1.393516e-09	3.6830378009425e-06	0.1	1.393516e-09	6.2425801999999995e-06	0.1	1.393516e-09	8.202617e-11	0.1	1.393516e-09	3.128003e-08	0.1	1.393516e-09	3.6592265e-08	0.1	1.393516e-09	4.994064e-09	0.1	1.393516e-09	2.389633e-14	0.1
1.696711e-09	2.9636320670137997e-06	0.1	1.696711e-09	6.9535266e-06	0.1	1.696711e-09	9.136785e-11	0.1	1.696711e-09	3.48424e-08	0.1	1.696711e-09	4.0759624e-08	0.1	1.696711e-09	5.562821e-09	0.1	1.696711e-09	2.66178e-14	0.1
1.999906e-09	2.3847479138028e-06	0.1	1.999906e-09	7.5256038e-06	0.1	1.999906e-09	9.888482e-11	0.1	1.999906e-09	3.770894e-08	0.1	1.999906e-09	4.4112986e-08	0.1	1.999906e-09	6.020483e-09	0.1	1.999906e-09	2.880769e-14	0.1
2.315574e-09	1.9018557910624998e-06	0.1	2.315574e-09	8.0028178e-06	0.1	2.315574e-09	1.051553e-10	0.1	2.315574e-09	4.010014e-08	0.1	2.315574e-09	4.6910284e-08	0.1	2.315574e-09	6.402254e-09	0.1	2.315574e-09	3.063444e-14	0.1
2.681139e-09	1.4634592189126e-06	0.1	2.681139e-09	8.4360592e-06	0.1	2.681139e-09	1.10848e-10	0.1	2.681139e-09	4.227101e-08	0.1	2.681139e-09	4.9449824e-08	0.1	2.681139e-09	6.748847e-09	0.1	2.681139e-09	3.229287e-14	0.1
3.046703e-09	1.1261176260971001e-06	0.1	3.046703e-09	8.769435e-06	0.1	3.046703e-09	1.152285e-10	0.1	3.046703e-09	4.394147e-08	0.1	3.046703e-09	5.1403976e-08	0.1	3.046703e-09	7.015547e-09	0.1	3.046703e-09	3.356902e-14	0.1
3.412267e-09	8.6653614789651e-07	0.1	3.412267e-09	9.0259628e-06	0.1	3.412267e-09	1.185992e-10	0.1	3.412267e-09	4.522687e-08	0.1	3.412267e-09	5.2907668e-08	0.1	3.412267e-09	7.22077e-09	0.1	3.412267e-09	3.4551e-14	0.1
3.777832e-09	6.6679096534323e-07	0.1	3.777832e-09	9.2233594e-06	0.1	3.777832e-09	1.21193e-10	0.1	3.777832e-09	4.621597e-08	0.1	3.777832e-09	5.4064753e-08	0.1	3.777832e-09	7.378687e-09	0.1	3.777832e-09	3.530662e-14	0.1
4.203347e-09	4.9150783572072e-07	0.1	4.203347e-09	9.3965813e-06	0.1	4.203347e-09	1.234691e-10	0.1	4.203347e-09	4.708394e-08	0.1	4.203347e-09	5.5080133e-08	0.1	4.203347e-09	7.517265e-09	0.1	4.203347e-09	3.596971e-14	0.1
4.643851e-09	3.5843107980953e-07	0.1	4.643851e-09	9.5280929e-06	0.1	4.643851e-09	1.251971e-10	0.1	4.643851e-09	4.774292e-08	0.1	4.643851e-09	5.5851023e-08	0.1	4.643851e-09	7.622475e-09	0.1	4.643851e-09	3.647313e-14	0.1
5.084354e-09	2.6138505998423e-07	0.1	5.084354e-09	9.623997600000001e-06	0.1	5.084354e-09	1.264573e-10	0.1	5.084354e-09	4.822347e-08	0.1	5.084354e-09	5.6413185e-08	0.1	5.084354e-09	7.699198e-09	0.1	5.084354e-09	3.684025e-14	0.1
5.542588e-09	1.8820729908708e-07	0.1	5.542588e-09	9.6963155e-06	0.1	5.542588e-09	1.274075e-10	0.1	5.542588e-09	4.858584e-08	0.1	5.542588e-09	5.6837088e-08	0.1	5.542588e-09	7.757052e-09	0.1	5.542588e-09	3.711708e-14	0.1
6.071745e-09	1.287996991099e-07	0.1	6.071745e-09	9.7550244e-06	0.1	6.071745e-09	1.28179e-10	0.1	6.071745e-09	4.888001e-08	0.1	6.071745e-09	5.7181226e-08	0.1	6.071745e-09	7.804019e-09	0.1	6.071745e-09	3.734181e-14	0.1
