Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
0.934381	0.9892118	0.1	0.934381	1.90131e-10	0.1	0.934381	1.00431145e-06	0.1	0.934381	0.004444848	0.1	0.934381	5.162549398e-08	0.1	0.934381	1.849293e-10	0.1	0.934381	8.746614e-09	0.1
1.029854	0.9879757	0.1	1.029854	2.093688e-10	0.1	1.029854	1.10635572e-06	0.1	1.029854	0.00504105	0.1	1.029854	5.685685787e-08	0.1	1.029854	2.036407e-10	0.1	1.029854	9.631415e-09	0.1
1.125326	0.9867327	0.1	1.125326	2.285688e-10	0.1	1.125326	1.2082207499999998e-06	0.1	1.125326	0.005645485	0.1	1.125326	6.207855444e-08	0.1	1.125326	2.223155e-10	0.1	1.125326	1.051448e-08	0.1
1.232794	0.9853276	0.1	1.232794	2.50136e-10	0.1	1.232794	1.32266396e-06	0.1	1.232794	0.006333299	0.1	1.232794	6.794456045999999e-08	0.1	1.232794	2.432927e-10	0.1	1.232794	1.150642e-08	0.1
1.348257	0.9838133	0.1	1.348257	2.73255e-10	0.1	1.348257	1.44535913e-06	0.1	1.348257	0.007078706	0.1	1.348257	7.423310767e-08	0.1	1.348257	2.657792e-10	0.1	1.348257	1.256973e-08	0.1
1.463721	0.9822962	0.1	1.463721	2.963193e-10	0.1	1.463721	1.56777806e-06	0.1	1.463721	0.007828754	0.1	1.463721	8.050717425e-08	0.1	1.463721	2.882125e-10	0.1	1.463721	1.363053e-08	0.1
1.579185	0.9807778	0.1	1.579185	3.193291e-10	0.1	1.579185	1.68991836e-06	0.1	1.579185	0.00858188	0.1	1.579185	8.676670026e-08	0.1	1.579185	3.105927e-10	0.1	1.579185	1.468882e-08	0.1
1.709161	0.9790685	0.1	1.709161	3.451662e-10	0.1	1.709161	1.8270761499999997e-06	0.1	1.709161	0.009431894	0.1	1.709161	9.379563503e-08	0.1	1.709161	3.35723e-10	0.1	1.709161	1.587714e-08	0.1
1.848813	0.9772332	0.1	1.848813	3.728504e-10	0.1	1.848813	1.97404795e-06	0.1	1.848813	0.01034645	0.1	1.848813	1.0132726831e-07	0.1	1.848813	3.626498e-10	0.1	1.848813	1.715042e-08	0.1
1.988465	0.9754003	0.1	1.988465	4.004561e-10	0.1	1.988465	2.1206090499999997e-06	0.1	1.988465	0.01126123	0.1	1.988465	1.0883782635999999e-07	0.1	1.988465	3.895003e-10	0.1	1.988465	1.842008e-08	0.1
