Batch	m_SP	7	W4_L	R	W3	P1	P2_L	P3	P4											
1.891016e-06	0.9870201	0.1	1.891016e-06	0.0003182778	0.1	1.891016e-06	5.777173e-06	0.1	1.891016e-06	0.002698482	0.1	1.891016e-06	0.00253761068	0.1	1.891016e-06	0.0003220223	0.1	1.891016e-06	1.148845e-08	0.1
2.48932e-06	0.9832568	0.1	2.48932e-06	0.000417788	0.1	2.48932e-06	7.608447e-06	0.1	2.48932e-06	0.003566277	0.1	2.48932e-06	0.0033309992	0.1	2.48932e-06	0.0004227031	0.1	2.48932e-06	1.508108e-08	0.1
3.184192e-06	0.9789031	0.1	3.184192e-06	0.0005326462	0.1	3.184192e-06	9.722658e-06	0.1	3.184192e-06	0.004577746	0.1	3.184192e-06	0.0042467577	0.1	3.184192e-06	0.0005389126	0.1	3.184192e-06	1.922784e-08	0.1
4.023917e-06	0.9736695	0.1	4.023917e-06	0.0006704319	0.1	4.023917e-06	1.225927e-05	0.1	4.023917e-06	0.005802061	0.1	4.023917e-06	0.0053453156	0.1	4.023917e-06	0.0006783193	0.1	4.023917e-06	2.420237e-08	0.1
4.863642e-06	0.9684688	0.1	4.863642e-06	0.0008071157	0.1	4.863642e-06	1.477589e-05	0.1	4.863642e-06	0.007025611	0.1	4.863642e-06	0.006435088	0.1	4.863642e-06	0.0008166112	0.1	4.863642e-06	2.913711e-08	0.1
5.703367e-06	0.9633028	0.1	5.703367e-06	0.0009427087	0.1	5.703367e-06	1.727264e-05	0.1	5.703367e-06	0.008246079	0.1	5.703367e-06	0.0075161642	0.1	5.703367e-06	0.0009537993	0.1	5.703367e-06	3.403248e-08	0.1
6.543092e-06	0.9581731	0.1	6.543092e-06	0.001077222	0.1	6.543092e-06	1.974967e-05	0.1	6.543092e-06	0.009461779	0.1	6.543092e-06	0.0085886347	0.1	6.543092e-06	0.001089896	0.1	6.543092e-06	3.888888e-08	0.1
7.382817e-06	0.9530804	0.1	7.382817e-06	0.001210669	0.1	7.382817e-06	2.220716e-05	0.1	7.382817e-06	0.0106715	0.1	7.382817e-06	0.009652595	0.1	7.382817e-06	0.001224912	0.1	7.382817e-06	4.370674e-08	0.1
8.222542e-06	0.9480252	0.1	8.222542e-06	0.00134306	0.1	8.222542e-06	2.46453e-05	0.1	8.222542e-06	0.01187435	0.1	8.222542e-06	0.0107081424	0.1	8.222542e-06	0.00135886	0.1	8.222542e-06	4.848651e-08	0.1
9.096003e-06	0.9428071	0.1	9.096003e-06	0.001479662	0.1	9.096003e-06	2.716106e-05	0.1	9.096003e-06	0.0131176	0.1	9.096003e-06	0.0117972678	0.1	9.096003e-06	0.00149707	0.1	9.096003e-06	5.341832e-08	0.1
1.01044e-05	0.936834	0.1	1.01044e-05	0.001635981	0.1	1.01044e-05	3.004001e-05	0.1	1.01044e-05	0.01454224	0.1	1.01044e-05	0.013043589	0.1	1.01044e-05	0.001655228	0.1	1.01044e-05	5.906199e-08	0.1
1.111281e-05	0.9309154	0.1	1.111281e-05	0.001790833	0.1	1.111281e-05	3.289199e-05	0.1	1.111281e-05	0.01595499	0.1	1.111281e-05	0.0142782147	0.1	1.111281e-05	0.001811902	0.1	1.111281e-05	6.465268e-08	0.1
1.232318e-05	0.923883	0.1	1.232318e-05	0.001974791	0.1	1.232318e-05	3.628005e-05	0.1	1.232318e-05	0.0176346	0.1	1.232318e-05	0.0157449012	0.1	1.232318e-05	0.001998024	0.1	1.232318e-05	7.129419e-08	0.1
1.353354e-05	0.9169281	0.1	1.353354e-05	0.002156698	0.1	1.353354e-05	3.963037e-05	0.1	1.353354e-05	0.01929645	0.1	1.353354e-05	0.0171952306	0.1	1.353354e-05	0.00218207	0.1	1.353354e-05	7.786163e-08	0.1
1.479276e-05	0.9097737	0.1	1.479276e-05	0.002343804	0.1	1.479276e-05	4.307648e-05	0.1	1.479276e-05	0.02100647	0.1	1.479276e-05	0.0186870227	0.1	1.479276e-05	0.002371378	0.1	1.479276e-05	8.461682e-08	0.1
1.624738e-05	0.9016107	0.1	1.624738e-05	0.002557273	0.1	1.624738e-05	4.700815e-05	0.1	1.624738e-05	0.02295796	0.1	1.624738e-05	0.0203890046	0.1	1.624738e-05	0.002587359	0.1	1.624738e-05	9.232379e-08	0.1
1.7702e-05	0.893555	0.1	1.7702e-05	0.00276793	0.1	1.7702e-05	5.088804e-05	0.1	1.7702e-05	0.02488408	0.1	1.7702e-05	0.0220685608	0.1	1.7702e-05	0.002800494	0.1	1.7702e-05	9.992924e-08	0.1
1.945752e-05	0.8839729	0.1	1.945752e-05	0.003018494	0.1	1.945752e-05	5.550294e-05	0.1	1.945752e-05	0.02717534	0.1	1.945752e-05	0.0240662869	0.1	1.945752e-05	0.003054005	0.1	1.945752e-05	1.089754e-07	0.1
2.121304e-05	0.8745408	0.1	2.121304e-05	0.003265129	0.1	2.121304e-05	6.00455e-05	0.1	2.121304e-05	0.02943085	0.1	2.121304e-05	0.0260326951	0.1	2.121304e-05	0.003303542	0.1	2.121304e-05	1.178798e-07	0.1
2.332915e-05	0.8633662	0.1	2.332915e-05	0.003557328	0.1	2.332915e-05	6.542725e-05	0.1	2.332915e-05	0.03210315	0.1	2.332915e-05	0.0283623913	0.1	2.332915e-05	0.003599179	0.1	2.332915e-05	1.284292e-07	0.1
2.553028e-05	0.8519629	0.1	2.553028e-05	0.003855506	0.1	2.553028e-05	7.091911e-05	0.1	2.553028e-05	0.03483018	0.1	2.553028e-05	0.0307397423	0.1	2.553028e-05	0.003900864	0.1	2.553028e-05	1.391945e-07	0.1
2.807145e-05	0.8390693	0.1	2.807145e-05	0.00419265	0.1	2.807145e-05	7.712868e-05	0.1	2.807145e-05	0.03791363	0.1	2.807145e-05	0.0334277777	0.1	2.807145e-05	0.004241975	0.1	2.807145e-05	1.513665e-07	0.1
3.11746e-05	0.8237061	0.1	3.11746e-05	0.00459437	0.1	3.11746e-05	8.452761e-05	0.1	3.11746e-05	0.0415877	0.1	3.11746e-05	0.03663067	0.1	3.11746e-05	0.004648422	0.1	3.11746e-05	1.6587e-07	0.1
3.476185e-05	0.8064498	0.1	3.476185e-05	0.00504559	0.1	3.476185e-05	9.283824e-05	0.1	3.476185e-05	0.04571449	0.1	3.476185e-05	0.040228219999999995	0.1	3.476185e-05	0.00510495	0.1	3.476185e-05	1.821606e-07	0.1
3.886452e-05	0.7873478	0.1	3.886452e-05	0.005545071	0.1	3.886452e-05	0.0001020377	0.1	3.886452e-05	0.05028268	0.1	3.886452e-05	0.044210559999999996	0.1	3.886452e-05	0.005610307	0.1	3.886452e-05	2.001936e-07	0.1
4.435428e-05	0.7627911	0.1	4.435428e-05	0.006187184	0.1	4.435428e-05	0.0001138642	0.1	4.435428e-05	0.05615535	0.1	4.435428e-05	0.04933008	0.1	4.435428e-05	0.006259974	0.1	4.435428e-05	2.23376e-07	0.1
5.120474e-05	0.7336583	0.1	5.120474e-05	0.006948954	0.1	5.120474e-05	0.0001278946	0.1	5.120474e-05	0.0631224	0.1	5.120474e-05	0.055403648	0.1	5.120474e-05	0.007030707	0.1	5.120474e-05	2.508786e-07	0.1
6.032302e-05	0.6972784	0.1	6.032302e-05	0.007900222	0.1	6.032302e-05	0.0001454152	0.1	6.032302e-05	0.07182257	0.1	6.032302e-05	0.06298804499999999	0.1	6.032302e-05	0.007993166	0.1	6.032302e-05	2.852226e-07	0.1
7.488395e-05	0.6442569	0.1	7.488395e-05	0.009286637	0.1	7.488395e-05	0.0001709503	0.1	7.488395e-05	0.08450254	0.1	7.488395e-05	0.074041866	0.1	7.488395e-05	0.009395892	0.1	7.488395e-05	3.35277e-07	0.1
8.944488e-05	0.5966841	0.1	8.944488e-05	0.01053058	0.1	8.944488e-05	0.0001938614	0.1	8.944488e-05	0.09587945	0.1	8.944488e-05	0.083959738	0.1	8.944488e-05	0.01065447	0.1	8.944488e-05	3.801875e-07	0.1
0.0001094699	0.5387983	0.1	0.0001094699	0.01204419	0.1	0.0001094699	0.0002217392	0.1	0.0001094699	0.1097227	0.1	0.0001094699	0.096027644	0.1	0.0001094699	0.01218588	0.1	0.0001094699	4.348339e-07	0.1
0.0001331376	0.4797369	0.1	0.0001331376	0.01358853	0.1	0.0001331376	0.0002501832	0.1	0.0001331376	0.1238471	0.1	0.0001331376	0.10834061199999999	0.1	0.0001331376	0.0137484	0.1	0.0001331376	4.905901e-07	0.1
0.0001651386	0.4127513	0.1	0.0001651386	0.01534008	0.1	0.0001651386	0.0002824434	0.1	0.0001651386	0.1398665	0.1	0.0001651386	0.122305646	0.1	0.0001651386	0.01552055	0.1	0.0001651386	5.53827e-07	0.1
0.0001971396	0.3573771	0.1	0.0001971396	0.01678802	0.1	0.0001971396	0.0003091116	0.1	0.0001971396	0.1531091	0.1	0.0001971396	0.133849957	0.1	0.0001971396	0.01698552	0.1	0.0001971396	6.061024e-07	0.1
0.0002291407	0.3110669	0.1	0.0002291407	0.01799894	0.1	0.0002291407	0.0003314146	0.1	0.0002291407	0.1641841	0.1	0.0002291407	0.143504615	0.1	0.0002291407	0.01821069	0.1	0.0002291407	6.49821e-07	0.1
0.0002624729	0.2704671	0.1	0.0002624729	0.01906055	0.1	0.0002624729	0.0003509675	0.1	0.0002624729	0.1738935	0.1	0.0002624729	0.15196878000000003	0.1	0.0002624729	0.01928479	0.1	0.0002624729	6.881488e-07	0.1
0.0003011299	0.2311296	0.1	0.0003011299	0.02008916	0.1	0.0003011299	0.0003699124	0.1	0.0003011299	0.1833009	0.1	0.0003011299	0.160169771	0.1	0.0003011299	0.0203255	0.1	0.0003011299	7.252849e-07	0.1
0.0003397869	0.1984066	0.1	0.0003397869	0.0209448	0.1	0.0003397869	0.0003856718	0.1	0.0003397869	0.1911266	0.1	0.0003397869	0.166991847	0.1	0.0003397869	0.02119121	0.1	0.0003397869	7.561767e-07	0.1
0.0003784438	0.1709595	0.1	0.0003784438	0.02166249	0.1	0.0003784438	0.0003988904	0.1	0.0003784438	0.1976905	0.1	0.0003784438	0.17271389599999998	0.1	0.0003784438	0.02191735	0.1	0.0003784438	7.820879e-07	0.1
0.0004171008	0.1477773	0.1	0.0004171008	0.02226866	0.1	0.0004171008	0.0004100549	0.1	0.0004171008	0.2032344	0.1	0.0004171008	0.177546922	0.1	0.0004171008	0.02253065	0.1	0.0004171008	8.039727e-07	0.1
0.0004557577	0.1280824	0.1	0.0004557577	0.02278365	0.1	0.0004557577	0.00041954	0.1	0.0004557577	0.2079444	0.1	0.0004557577	0.18165286	0.1	0.0004557577	0.02305169	0.1	0.0004557577	8.225654e-07	0.1
0.0004944147	0.1112666	0.1	0.0004944147	0.02322335	0.1	0.0004944147	0.0004276384	0.1	0.0004944147	0.2119659	0.1	0.0004944147	0.185158521	0.1	0.0004944147	0.02349657	0.1	0.0004944147	8.384402e-07	0.1
0.0005330717	0.09684804	0.1	0.0005330717	0.02360037	0.1	0.0005330717	0.0004345824	0.1	0.0005330717	0.215414	0.1	0.0005330717	0.18816453	0.1	0.0005330717	0.02387802	0.1	0.0005330717	8.520519e-07	0.1
0.0005717286	0.0844398	0.1	0.0005717286	0.02392482	0.1	0.0005717286	0.0004405582	0.1	0.0005717286	0.2183814	0.1	0.0005717286	0.190751393	0.1	0.0005717286	0.02420629	0.1	0.0005717286	8.637657e-07	0.1
0.0006103856	0.07372811	0.1	0.0006103856	0.02420492	0.1	0.0006103856	0.000445717	0.1	0.0006103856	0.2209431	0.1	0.0006103856	0.192984518	0.1	0.0006103856	0.02448968	0.1	0.0006103856	8.73878e-07	0.1
0.0006490426	0.064456	0.1	0.0006490426	0.02444736	0.1	0.0006490426	0.0004501824	0.1	0.0006490426	0.2231605	0.1	0.0006490426	0.194917504	0.1	0.0006490426	0.02473498	0.1	0.0006490426	8.826312e-07	0.1
0.0006876995	0.05641118	0.1	0.0006876995	0.02465772	0.1	0.0006876995	0.0004540568	0.1	0.0006876995	0.2250844	0.1	0.0006876995	0.196594708	0.1	0.0006876995	0.02494781	0.1	0.0006876995	8.902258e-07	0.1
0.0007263565	0.04941704	0.1	0.0007263565	0.0248406	0.1	0.0007263565	0.0004574252	0.1	0.0007263565	0.2267571	0.1	0.0007263565	0.198052791	0.1	0.0007263565	0.02513285	0.1	0.0007263565	8.968286e-07	0.1
0.0007650135	0.04332561	0.1	0.0007650135	0.02499988	0.1	0.0007650135	0.0004603588	0.1	0.0007650135	0.2282138	0.1	0.0007650135	0.19932275800000002	0.1	0.0007650135	0.025294	0.1	0.0007650135	9.025791e-07	0.1
0.0008036704	0.03801223	0.1	0.0008036704	0.02513882	0.1	0.0008036704	0.0004629178	0.1	0.0008036704	0.2294845	0.1	0.0008036704	0.20043049	0.1	0.0008036704	0.02543457	0.1	0.0008036704	9.075951e-07	0.1
