Batch	m_SP	7	W4_L	R	W3	P1	P2_L	P3	P4											
4.017103e-09	0.9885668	0.1	4.017103e-09	0.0004857426	0.1	4.017103e-09	6.768593e-06	0.1	4.017103e-09	0.001557384	0.1	4.017103e-09	0.0025505473	0.1	4.017103e-09	0.0005215761	0.1	4.017103e-09	3.209087e-07	0.1
8.193828e-09	0.978071	0.1	8.193828e-09	0.000982919	0.1	8.193828e-09	1.369661e-05	0.1	8.193828e-09	0.003152681	0.1	8.193828e-09	0.0051611307	0.1	8.193828e-09	0.001055429	0.1	8.193828e-09	6.493711e-07	0.1
1.479036e-08	0.9618278	0.1	1.479036e-08	0.001752232	0.1	1.479036e-08	2.441696e-05	0.1	1.479036e-08	0.005623593	0.1	1.479036e-08	0.0092006547	0.1	1.479036e-08	0.001881495	0.1	1.479036e-08	1.157622e-06	0.1
2.526369e-08	0.9368462	0.1	2.526369e-08	0.002935158	0.1	2.526369e-08	4.09014e-05	0.1	2.526369e-08	0.009428353	0.1	2.526369e-08	0.0154119866	0.1	2.526369e-08	0.003151686	0.1	2.526369e-08	1.939129e-06	0.1
3.913242e-08	0.9052113	0.1	3.913242e-08	0.004432723	0.1	3.913242e-08	6.177111e-05	0.1	3.913242e-08	0.01425375	0.1	3.913242e-08	0.02327543	0.1	3.913242e-08	0.004759727	0.1	3.913242e-08	2.928505e-06	0.1
5.573448e-08	0.8693613	0.1	5.573448e-08	0.006129332	0.1	5.573448e-08	8.541547e-05	0.1	5.573448e-08	0.01973093	0.1	5.573448e-08	0.032184017	0.1	5.573448e-08	0.006581496	0.1	5.573448e-08	4.049382e-06	0.1
7.301988e-08	0.8341946	0.1	7.301988e-08	0.007793161	0.1	7.301988e-08	0.0001086037	0.1	7.301988e-08	0.02511173	0.1	7.301988e-08	0.04092049	0.1	7.301988e-08	0.008368066	0.1	7.301988e-08	5.148602e-06	0.1
9.030528e-08	0.801053	0.1	9.030528e-08	0.00936082	0.1	9.030528e-08	0.0001304523	0.1	9.030528e-08	0.03018892	0.1	9.030528e-08	0.04915199	0.1	9.030528e-08	0.01005137	0.1	9.030528e-08	6.184287e-06	0.1
1.075907e-07	0.7697756	0.1	1.075907e-07	0.01084003	0.1	1.075907e-07	0.0001510686	0.1	1.075907e-07	0.03498536	0.1	1.075907e-07	0.056919071	0.1	1.075907e-07	0.01163971	0.1	1.075907e-07	7.161541e-06	0.1
1.277597e-07	0.7354446	0.1	1.277597e-07	0.01246341	0.1	1.277597e-07	0.0001736946	0.1	1.277597e-07	0.04025467	0.1	1.277597e-07	0.06544313	0.1	1.277597e-07	0.01338284	0.1	1.277597e-07	8.234036e-06	0.1
