	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.01404 0.22301 0.32686 0.24602 0.08991 0.09522
700 0.01546 0.20795 0.31286 0.24200 0.10633 0.11051
800 0.01637 0.19371 0.30068 0.23965 0.12131 0.12342
900 0.01690 0.17928 0.29182 0.23912 0.13482 0.13321
1000 0.01707 0.16342 0.28771 0.24117 0.14712 0.13868
1100 0.01688 0.14675 0.28673 0.24507 0.15868 0.13976
1200 0.01631 0.13006 0.28997 0.25092 0.17033 0.13628
1300 0.01547 0.11645 0.29310 0.25551 0.18212 0.13121
1400 0.01474 0.10801 0.29337 0.25703 0.19297 0.12774
1500 0.01443 0.10459 0.29018 0.25583 0.20144 0.12738
1600 0.01452 0.10429 0.28518 0.25341 0.20740 0.12924
1700 0.01503 0.10651 0.27810 0.25003 0.21059 0.13376
1800 0.01573 0.10961 0.27075 0.24650 0.21218 0.13921
1900 0.01653 0.11270 0.26451 0.24354 0.21308 0.14402
2000 0.01754 0.11661 0.25772 0.24006 0.21266 0.14982
