	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.01699 0.07440 0.00561 0.00690 0.17619 0.43021 0.03452 0.25058
700 0.02492 0.08789 0.00499 0.00747 0.19033 0.40797 0.04952 0.22196
800 0.03342 0.10052 0.00550 0.00938 0.20282 0.38372 0.06521 0.19449
900 0.04194 0.11228 0.00665 0.01213 0.21589 0.35832 0.08080 0.16615
1000 0.05008 0.12426 0.00842 0.01565 0.23153 0.33239 0.09589 0.13591
1100 0.05735 0.13763 0.01039 0.01954 0.24891 0.30552 0.10996 0.10485
1200 0.06381 0.15276 0.01293 0.02419 0.26326 0.27698 0.12260 0.07752
1300 0.06981 0.16873 0.01636 0.03002 0.27220 0.24723 0.13331 0.05639
1400 0.07550 0.18159 0.02142 0.03788 0.27350 0.21931 0.14149 0.04330
1500 0.08043 0.19018 0.02884 0.04889 0.27030 0.19430 0.14669 0.03479
1600 0.08302 0.18952 0.03987 0.06349 0.26043 0.17698 0.14932 0.03169
1700 0.08296 0.18377 0.05775 0.08493 0.24732 0.16076 0.14820 0.02930
1800 0.07538 0.16545 0.09982 0.13648 0.22983 0.13077 0.13840 0.02365
1900 0.07639 0.16202 0.09792 0.13636 0.22580 0.13143 0.14355 0.02649
2000 0.07792 0.16025 0.09826 0.13503 0.21944 0.13323 0.14663 0.02917
