	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.01781 0.15641 0.05196 0.13055 0.56134 0.04360 0.03802 0.00029
700 0.02592 0.16812 0.06341 0.14025 0.48962 0.05861 0.05327 0.00079
800 0.03375 0.17458 0.07238 0.14494 0.43355 0.07196 0.06721 0.00163
900 0.04089 0.17761 0.07920 0.14675 0.38982 0.08338 0.07950 0.00284
1000 0.04725 0.17858 0.08438 0.14692 0.35528 0.09304 0.09017 0.00438
1100 0.05283 0.17832 0.08831 0.14616 0.32762 0.10115 0.09937 0.00622
1200 0.05769 0.17731 0.09129 0.14493 0.30518 0.10796 0.10733 0.00831
1300 0.06190 0.17584 0.09354 0.14347 0.28674 0.11368 0.11424 0.01059
1400 0.06552 0.17406 0.09520 0.14196 0.27147 0.11846 0.12032 0.01302
1500 0.06865 0.17213 0.09643 0.14046 0.25864 0.12247 0.12567 0.01555
1600 0.07130 0.17000 0.09727 0.13907 0.24792 0.12575 0.13052 0.01817
1700 0.07354 0.16780 0.09783 0.13779 0.23882 0.12845 0.13491 0.02085
1800 0.07537 0.16544 0.09813 0.13669 0.23120 0.13057 0.13901 0.02358
1900 0.07694 0.16316 0.09834 0.13562 0.22455 0.13233 0.14273 0.02632
2000 0.07863 0.16169 0.09884 0.13410 0.21783 0.13439 0.14554 0.02894
