Batch	m_SP	4	N7a_L	T1a_L	T4a_L	N1a_L					
1.13409e-11	9.745372888644e-06	0.1	1.13409e-11	1.07072386e-13	0.1	1.13409e-11	2.5436398799999997e-07	0.1	1.13409e-11	2.6276268399999998e-24	0.1
2.428037e-11	9.463107334068e-06	0.1	2.428037e-11	2.25874492e-13	0.1	2.428037e-11	5.365585510000001e-07	0.1	2.428037e-11	1.1751551e-23	0.1
5.421553e-11	8.841501576431802e-06	0.1	5.421553e-11	4.8755231e-13	0.1	5.421553e-11	1.1580090300000001e-06	0.1	5.421553e-11	5.5366755e-23	0.1
1.080988e-10	7.8250394160816e-06	0.1	1.080988e-10	9.155850300000001e-13	0.1	1.080988e-10	2.1742166399999997e-06	0.1	1.080988e-10	1.990240052e-22	0.1
1.75719e-10	6.7149711878902e-06	0.1	1.75719e-10	1.38317738e-12	0.1	1.75719e-10	3.28400814e-06	0.1	1.75719e-10	4.64466882e-22	0.1
2.549638e-10	5.614623005294e-06	0.1	2.549638e-10	1.84675085e-12	0.1	2.549638e-10	4.38408087e-06	0.1	2.549638e-10	8.47999619e-22	0.1
3.436635e-10	4.5969613589339995e-06	0.1	3.436635e-10	2.27547349e-12	0.1	3.436635e-10	5.40148812e-06	0.1	3.436635e-10	1.3187680900000001e-21	0.1
4.701825e-10	3.4577896328241997e-06	0.1	4.701825e-10	2.75523126e-12	0.1	4.701825e-10	6.540375350000001e-06	0.1	4.701825e-10	1.991906531e-21	0.1
5.967015e-10	2.6020029588999998e-06	0.1	5.967015e-10	3.1154015400000002e-12	0.1	5.967015e-10	7.39594957e-06	0.1	5.967015e-10	2.61103281e-21	0.1
7.232205e-10	1.95860702307608e-06	0.1	7.232205e-10	3.38594333e-12	0.1	7.232205e-10	8.03918547e-06	0.1	7.232205e-10	3.1485734e-21	0.1
8.497395e-10	1.47462019500624e-06	0.1	8.497395e-10	3.58924431e-12	0.1	8.497395e-10	8.52305133e-06	0.1	8.497395e-10	3.5982647200000004e-21	0.1
9.762585e-10	1.1104034050877278e-06	0.1	9.762585e-10	3.74206427e-12	0.1	9.762585e-10	8.887179290000001e-06	0.1	9.762585e-10	3.96475169e-21	0.1
1.102777e-09	8.36238332098856e-07	0.1	1.102777e-09	3.8569667500000004e-12	0.1	1.102777e-09	9.16127585e-06	0.1	1.102777e-09	4.2575784499999995e-21	0.1
1.229296e-09	6.298180270875259e-07	0.1	1.229296e-09	3.94337746e-12	0.1	1.229296e-09	9.3676459e-06	0.1	1.229296e-09	4.4878402e-21	0.1
1.355815e-09	4.7437989291238596e-07	0.1	1.355815e-09	4.0083722399999994e-12	0.1	1.355815e-09	9.523045880000001e-06	0.1	1.355815e-09	4.66641933e-21	0.1
1.482334e-09	3.573197033330026e-07	0.1	1.482334e-09	4.0572684899999996e-12	0.1	1.482334e-09	9.64007643e-06	0.1	1.482334e-09	4.80314379e-21	0.1
1.629131e-09	2.572059787975396e-07	0.1	1.629131e-09	4.0990444399999995e-12	0.1	1.629131e-09	9.74016554e-06	0.1	1.629131e-09	4.9204206000000006e-21	0.1
1.780997e-09	1.8305855261572282e-07	0.1	1.780997e-09	4.1299565999999996e-12	0.1	1.780997e-09	9.81429432e-06	0.1	1.780997e-09	5.00590682e-21	0.1
1.932864e-09	1.3028998187624544e-07	0.1	1.932864e-09	4.15194193e-12	0.1	1.932864e-09	9.86705062e-06	0.1	1.932864e-09	5.06424131e-21	0.1
