Batch	m_SP	4	T1a_L	T4a_L	N1a_L	N7a_L					
0.0	1.0000000602999999	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
2.371161e-11	0.9999999597000001	0.1	2.371161e-11	8.364411989900001e-19	0.1	2.371161e-11	1.7008445401e-15	0.1	2.371161e-11	2.25012398e-22	0.1
2.511103e-09	0.9999999906	0.1	2.511103e-09	8.860041693500001e-17	0.1	2.511103e-09	1.8012167052e-13	0.1	2.511103e-09	2.3829101699999997e-20	0.1
9.538963e-09	0.9999999467	0.1	9.538963e-09	3.3678042310000006e-16	0.1	9.538963e-09	6.8422180709e-13	0.1	9.538963e-09	9.0518689e-20	0.1
1.840059e-08	1.0000000369	0.1	1.840059e-08	6.5016573434e-16	0.1	1.840059e-08	1.3198382844e-12	0.1	1.840059e-08	1.74607055e-19	0.1
3.888733e-08	0.9999998652	0.1	3.888733e-08	1.37659169068e-15	0.1	3.888733e-08	2.789221016e-12	0.1	3.888733e-08	3.6899818e-19	0.1
5.937407e-08	0.9999998146	0.1	5.937407e-08	2.10572699356e-15	0.1	5.937407e-08	4.2585284309e-12	0.1	5.937407e-08	5.633805700000001e-19	0.1
9.128565e-08	0.9999997504000001	0.1	9.128565e-08	3.2469249963700003e-15	0.1	9.128565e-08	6.5471034693000004e-12	0.1	9.128565e-08	8.6615287e-19	0.1
1.289864e-07	0.9999996757999999	0.1	1.289864e-07	4.60377695641e-15	0.1	1.289864e-07	9.250707679000001e-12	0.1	1.289864e-07	1.22384212e-18	0.1
1.705467e-07	0.999999508	0.1	1.705467e-07	6.11046081104e-15	0.1	1.705467e-07	1.223092919e-11	0.1	1.705467e-07	1.6181434e-18	0.1
2.12107e-07	0.9999994689	0.1	2.12107e-07	7.62870390013e-15	0.1	2.12107e-07	1.5211024675e-11	0.1	2.12107e-07	2.01244539e-18	0.1
2.621881e-07	0.9999992647999999	0.1	2.621881e-07	9.473724691310001e-15	0.1	2.621881e-07	1.8801965957999998e-11	0.1	2.621881e-07	2.48759509e-18	0.1
3.189855e-07	0.9999991664	0.1	3.189855e-07	1.158686758874e-14	0.1	3.189855e-07	2.2874288642e-11	0.1	3.189855e-07	3.0264772999999998e-18	0.1
3.831738e-07	0.9999990078000001	0.1	3.831738e-07	1.4001736264320001e-14	0.1	3.831738e-07	2.7476329593e-11	0.1	3.831738e-07	3.6355045e-18	0.1
4.59016e-07	0.9999987621	0.1	4.59016e-07	1.6892047049000002e-14	0.1	4.59016e-07	3.2913631231000004e-11	0.1	4.59016e-07	4.3551414e-18	0.1
5.526322e-07	0.9999985625000001	0.1	5.526322e-07	2.051573982068e-14	0.1	5.526322e-07	3.9624822883e-11	0.1	5.526322e-07	5.243492e-18	0.1
6.645338e-07	0.999998336	0.1	6.645338e-07	2.492971772477e-14	0.1	6.645338e-07	4.7646374729e-11	0.1	6.645338e-07	6.305464600000001e-18	0.1
7.971982e-07	0.9999979830999999	0.1	7.971982e-07	3.0281273404010003e-14	0.1	7.971982e-07	5.7155646977999995e-11	0.1	7.971982e-07	7.5646583e-18	0.1
9.875558e-07	0.9999975032	0.1	9.875558e-07	3.819012860844e-14	0.1	9.875558e-07	7.079928971999999e-11	0.1	9.875558e-07	9.3718396e-18	0.1
1.235876e-06	0.9999967456	0.1	1.235876e-06	4.89268511558e-14	0.1	1.235876e-06	8.859575061e-11	0.1	1.235876e-06	1.1730092599999999e-17	0.1
1.536183e-06	0.9999959851000001	0.1	1.536183e-06	6.25698570102e-14	0.1	1.536183e-06	1.1011618276999999e-10	0.1	1.536183e-06	1.45834652e-17	0.1
1.889874e-06	0.9999950741999999	0.1	1.889874e-06	7.960292776949999e-14	0.1	1.889874e-06	1.3546005948000002e-10	0.1	1.889874e-06	1.79463335e-17	0.1
2.243564e-06	0.9999942697	0.1	2.243564e-06	9.77280194909e-14	0.1	2.243564e-06	1.6080246127e-10	0.1	2.243564e-06	2.1311930800000002e-17	0.1
2.611759e-06	0.9999932048000001	0.1	2.611759e-06	1.178111098252e-13	0.1	2.611759e-06	1.8718303101e-10	0.1	2.611759e-06	2.4818751400000002e-17	0.1
3.037973e-06	0.9999921243	0.1	3.037973e-06	1.4268006121389999e-13	0.1	3.037973e-06	2.1771970211e-10	0.1	3.037973e-06	2.8882587e-17	0.1
3.464187e-06	0.9999911156999999	0.1	3.464187e-06	1.693725820169e-13	0.1	3.464187e-06	2.482557139e-10	0.1	3.464187e-06	3.2951494e-17	0.1
3.907726e-06	0.9999899815	0.1	3.907726e-06	1.991808276027e-13	0.1	3.907726e-06	2.8003292310999995e-10	0.1	3.907726e-06	3.7191559e-17	0.1
4.420569e-06	0.9999886249999999	0.1	4.420569e-06	2.363561077433e-13	0.1	4.420569e-06	3.1677525980999997e-10	0.1	4.420569e-06	4.2101893e-17	0.1
4.933412e-06	0.9999872912	0.1	4.933412e-06	2.765822480992e-13	0.1	4.933412e-06	3.5351801821e-10	0.1	4.933412e-06	4.7020989e-17	0.1
5.510281e-06	0.9999857098000001	0.1	5.510281e-06	3.256651155932e-13	0.1	5.510281e-06	3.9484858164e-10	0.1	5.510281e-06	5.2565283e-17	0.1
