	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.62804 0.25210 0.08887 0.01460 0.00434 0.01193
700 0.53551 0.28514 0.12329 0.02610 0.00961 0.02022
800 0.45014 0.30497 0.15636 0.04048 0.01752 0.03038
900 0.37462 0.31310 0.18574 0.05675 0.02788 0.04177
1000 0.30991 0.31196 0.21021 0.07385 0.04016 0.05377
1100 0.25570 0.30416 0.22946 0.09090 0.05376 0.06584
1200 0.21103 0.29205 0.24385 0.10728 0.06808 0.07761
1300 0.17452 0.27741 0.25394 0.12259 0.08260 0.08883
1400 0.14485 0.26159 0.26048 0.13665 0.09695 0.09938
1500 0.12077 0.24551 0.26416 0.14938 0.11088 0.10920
1600 0.10122 0.22975 0.26560 0.16083 0.12421 0.11830
1700 0.08529 0.21466 0.26533 0.17106 0.13685 0.12670
1800 0.07228 0.20045 0.26377 0.18017 0.14876 0.13446
1900 0.06159 0.18720 0.26126 0.18828 0.15993 0.14163
2000 0.05277 0.17493 0.25805 0.19549 0.17037 0.14827
