	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.45839 0.35208 0.01524 0.00138 0.00012 0.17258 0.00007 0.00003
700 0.41443 0.35534 0.02268 0.00217 0.00026 0.20474 0.00018 0.00007
800 0.38533 0.35358 0.03003 0.00306 0.00047 0.22689 0.00037 0.00013
900 0.40088 0.33793 0.03360 0.00366 0.00068 0.22233 0.00056 0.00020
1000 0.50256 0.30513 0.02519 0.00293 0.00061 0.16274 0.00052 0.00018
1100 0.56216 0.29958 0.01603 0.00197 0.00039 0.11926 0.00033 0.00011
1200 0.55026 0.31564 0.01435 0.00182 0.00032 0.11719 0.00025 0.00008
1300 0.51098 0.33448 0.01755 0.00229 0.00040 0.13383 0.00029 0.00009
1400 0.46580 0.34985 0.02351 0.00317 0.00062 0.15636 0.00045 0.00013
1500 0.42245 0.36065 0.03114 0.00435 0.00099 0.17938 0.00073 0.00021
1600 0.38258 0.36721 0.04008 0.00582 0.00154 0.20120 0.00114 0.00032
1700 0.34646 0.37006 0.05017 0.00757 0.00229 0.22115 0.00171 0.00048
1800 0.31399 0.36975 0.06123 0.00960 0.00331 0.23885 0.00249 0.00068
1900 0.28492 0.36679 0.07307 0.01192 0.00462 0.25412 0.00350 0.00093
2000 0.25909 0.36168 0.08545 0.01451 0.00628 0.26685 0.00478 0.00125
