	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.02769 0.35526 0.27203 0.13718 0.09467 0.10835
700 0.02685 0.31897 0.26415 0.15083 0.11351 0.12088
800 0.02586 0.29093 0.25802 0.16122 0.12881 0.13037
900 0.02485 0.26854 0.25311 0.16922 0.14108 0.13761
1000 0.02390 0.25065 0.24954 0.17576 0.15111 0.14342
1100 0.02302 0.23597 0.24688 0.18114 0.15929 0.14810
1200 0.02223 0.22382 0.24498 0.18558 0.16589 0.15188
1300 0.02153 0.21367 0.24368 0.18915 0.17103 0.15481
1400 0.02100 0.20567 0.24345 0.19202 0.17477 0.15697
1500 0.02072 0.19956 0.24444 0.19409 0.17690 0.15815
1600 0.02077 0.19510 0.24698 0.19547 0.17737 0.15832
1700 0.02097 0.19079 0.24993 0.19682 0.17727 0.15830
1800 0.02126 0.18718 0.25048 0.19994 0.17704 0.15983
1900 0.02127 0.18113 0.25286 0.20175 0.17806 0.16066
2000 0.02104 0.17437 0.25395 0.20395 0.17998 0.16245
