	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.01652 0.07259 0.00139 0.00292 0.17592 0.43691 0.03428 0.25462
700 0.02436 0.08668 0.00180 0.00446 0.19003 0.41329 0.04914 0.22543
800 0.03273 0.09939 0.00263 0.00668 0.20072 0.38877 0.06465 0.19963
900 0.04123 0.11059 0.00387 0.00951 0.20838 0.36392 0.08012 0.17677
1000 0.04964 0.12052 0.00556 0.01294 0.21383 0.33987 0.09522 0.15681
1100 0.05757 0.12912 0.00762 0.01682 0.21742 0.31697 0.10946 0.13939
1200 0.06491 0.13653 0.01013 0.02119 0.21952 0.29530 0.12265 0.12415
1300 0.07149 0.14276 0.01307 0.02597 0.22034 0.27490 0.13455 0.11078
1400 0.07725 0.14803 0.01657 0.03127 0.22037 0.25610 0.14512 0.09917
1500 0.08203 0.15232 0.02085 0.03726 0.21966 0.23869 0.15404 0.08900
1600 0.08571 0.15568 0.02698 0.04491 0.21807 0.22195 0.16087 0.07985
1700 0.08754 0.15770 0.03955 0.05832 0.21409 0.20283 0.16362 0.07042
1800 0.07559 0.15053 0.13006 0.14164 0.18391 0.13665 0.13299 0.04437
1900 0.07741 0.15036 0.12881 0.14109 0.18185 0.13685 0.13645 0.04293
2000 0.07970 0.15095 0.12565 0.13843 0.18001 0.13908 0.13991 0.04202
