	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
700 0.85443 0.13196 0.00032 0.00004 0.00000 0.01166 0.00000 0.00000
800 0.80070 0.17442 0.00084 0.00010 0.00000 0.02245 0.00000 0.00000
900 0.74394 0.21522 0.00186 0.00022 0.00001 0.03736 0.00000 0.00000
1000 0.68587 0.25230 0.00357 0.00042 0.00002 0.05594 0.00001 0.00000
1100 0.62902 0.28488 0.00622 0.00075 0.00006 0.07762 0.00003 0.00001
1200 0.57342 0.31207 0.01005 0.00124 0.00013 0.10158 0.00008 0.00002
1300 0.52006 0.33377 0.01529 0.00195 0.00027 0.12705 0.00017 0.00005
1400 0.46958 0.34994 0.02209 0.00292 0.00052 0.15303 0.00035 0.00010
1500 0.42266 0.36097 0.03049 0.00418 0.00091 0.17861 0.00064 0.00018
1600 0.37984 0.36716 0.04033 0.00576 0.00150 0.20260 0.00108 0.00030
1700 0.34153 0.36908 0.05125 0.00762 0.00231 0.22392 0.00171 0.00047
1800 0.30835 0.36823 0.06305 0.00978 0.00340 0.24260 0.00255 0.00069
1900 0.27951 0.36450 0.07514 0.01215 0.00477 0.25759 0.00361 0.00096
2000 0.25494 0.35894 0.08722 0.01470 0.00644 0.26918 0.00488 0.00127
