	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.00013 0.00347 0.55113 0.28249 0.15778 0.00499
700 0.00040 0.00790 0.50693 0.29220 0.17939 0.01076
800 0.00091 0.01440 0.47141 0.29644 0.19522 0.01886
900 0.00172 0.02262 0.44103 0.29657 0.20615 0.02879
1000 0.00282 0.03209 0.41485 0.29419 0.21344 0.03996
1100 0.00420 0.04228 0.39169 0.29000 0.21782 0.05175
1200 0.00582 0.05272 0.37094 0.28458 0.21995 0.06366
1300 0.00761 0.06308 0.35249 0.27860 0.22055 0.07535
1400 0.00953 0.07312 0.33595 0.27231 0.22000 0.08658
1500 0.01155 0.08273 0.32134 0.26617 0.21881 0.09726
1600 0.01362 0.09175 0.30811 0.26004 0.21702 0.10723
1700 0.01571 0.10021 0.29633 0.25422 0.21497 0.11654
1800 0.01780 0.10807 0.28573 0.24868 0.21272 0.12517
1900 0.01986 0.11532 0.27615 0.24341 0.21034 0.13313
2000 0.02190 0.12205 0.26754 0.23850 0.20798 0.14050
