	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.64975 0.26342 0.00474 0.00044 0.00002 0.08162 0.00001 0.00000
700 0.85372 0.13185 0.00032 0.00004 0.00000 0.01165 0.00000 0.00000
800 0.79967 0.17419 0.00084 0.00010 0.00000 0.02242 0.00000 0.00000
900 0.74266 0.21484 0.00185 0.00022 0.00001 0.03729 0.00000 0.00000
1000 0.68537 0.25209 0.00357 0.00042 0.00002 0.05588 0.00001 0.00000
1100 0.62871 0.28457 0.00619 0.00075 0.00006 0.07743 0.00003 0.00001
1200 0.57370 0.31160 0.00993 0.00123 0.00013 0.10098 0.00008 0.00002
1300 0.52158 0.33318 0.01494 0.00191 0.00026 0.12560 0.00016 0.00005
1400 0.47278 0.34937 0.02131 0.00281 0.00048 0.15032 0.00031 0.00009
1500 0.42802 0.36085 0.02906 0.00397 0.00083 0.17440 0.00056 0.00016
1600 0.38697 0.36774 0.03812 0.00541 0.00134 0.19697 0.00094 0.00026
1700 0.34991 0.37089 0.04842 0.00714 0.00207 0.21766 0.00149 0.00041
1800 0.31654 0.37074 0.05978 0.00916 0.00306 0.23603 0.00225 0.00060
1900 0.28665 0.36779 0.07200 0.01146 0.00437 0.25185 0.00324 0.00086
2000 0.26015 0.36268 0.08485 0.01404 0.00603 0.26505 0.00450 0.00117
