	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
700 0.02215 0.70871 0.20379 0.02920 0.00835 0.02546
800 0.02737 0.63079 0.24008 0.04590 0.01655 0.03694
900 0.03119 0.55836 0.26721 0.06457 0.02794 0.04934
1000 0.03354 0.49138 0.28537 0.08402 0.04213 0.06216
1100 0.03459 0.43113 0.29605 0.10344 0.05855 0.07519
1200 0.03455 0.37781 0.30046 0.12194 0.07628 0.08805
1300 0.03368 0.33187 0.30013 0.13880 0.09418 0.10037
1400 0.03229 0.29341 0.29666 0.15353 0.11116 0.11179
1500 0.03066 0.26209 0.29154 0.16600 0.12651 0.12215
1600 0.02896 0.23688 0.28570 0.17625 0.13976 0.13130
1700 0.02733 0.21675 0.27988 0.18462 0.15094 0.13935
1800 0.02582 0.20061 0.27439 0.19142 0.16019 0.14640
1900 0.02447 0.18757 0.26938 0.19698 0.16776 0.15258
2000 0.02325 0.17688 0.26483 0.20150 0.17385 0.15796
