Batch	m_SP	5	C5H5	T1a_L	T4a_L	N1a_L	N7a_L							
3.181133e-10	0.9839617	0.1	3.181133e-10	0.0160370223	0.1	3.181133e-10	3.1532691030000004e-09	0.1	3.181133e-10	5.07076131e-07	0.1	3.181133e-10	4.5753788e-11	0.1
4.910972e-10	0.9754545	0.1	4.910972e-10	0.024543594000000002	0.1	4.910972e-10	4.828208035999999e-09	0.1	4.910972e-10	7.760462519999999e-07	0.1	4.910972e-10	7.002345499999999e-11	0.1
7.302377e-10	0.9639332	0.1	7.302377e-10	0.036064081000000005	0.1	7.302377e-10	7.099330948e-09	0.1	7.302377e-10	1.1403134400000002e-06	0.1	7.302377e-10	1.0289234999999999e-10	0.1
1.009237e-09	0.9508308	0.1	1.009237e-09	0.049165476	0.1	1.009237e-09	9.686162425e-09	0.1	1.009237e-09	1.55456747e-06	0.1	1.009237e-09	1.40272291e-10	0.1
1.31481e-09	0.9368831	0.1	1.31481e-09	0.063112021	0.1	1.31481e-09	1.2444908219e-08	0.1	1.31481e-09	1.9955451799999998e-06	0.1	1.31481e-09	1.80064266e-10	0.1
1.620383e-09	0.9233388	0.1	1.620383e-09	0.076655335	0.1	1.620383e-09	1.5129203401e-08	0.1	1.620383e-09	2.42377191e-06	0.1	1.620383e-09	2.1870649000000002e-10	0.1
1.96425e-09	0.9085579	0.1	1.96425e-09	0.091435107	0.1	1.96425e-09	1.8064959407e-08	0.1	1.96425e-09	2.89109542e-06	0.1	1.96425e-09	2.6087752e-10	0.1
2.333646e-09	0.8931979	0.1	2.333646e-09	0.106793892	0.1	2.333646e-09	2.1123305777999998e-08	0.1	2.333646e-09	3.3767263900000004e-06	0.1	2.333646e-09	3.0470172e-10	0.1
2.703043e-09	0.8783487	0.1	2.703043e-09	0.121642003	0.1	2.703043e-09	2.4087849340000003e-08	0.1	2.703043e-09	3.84620991e-06	0.1	2.703043e-09	3.4706984e-10	0.1
3.07244e-09	0.8639851	0.1	3.07244e-09	0.1360045	0.1	3.07244e-09	2.696335667e-08	0.1	3.07244e-09	4.30033894e-06	0.1	3.07244e-09	3.8805336e-10	0.1
3.515819e-09	0.8473531	0.1	3.515819e-09	0.152635148	0.1	3.515819e-09	3.03034338e-08	0.1	3.515819e-09	4.8261860500000005e-06	0.1	3.515819e-09	4.3551069e-10	0.1
3.959198e-09	0.8313495	0.1	3.959198e-09	0.168637633	0.1	3.959198e-09	3.352876255e-08	0.1	3.959198e-09	5.3321692099999994e-06	0.1	3.959198e-09	4.8117696e-10	0.1
4.402577e-09	0.8159391	0.1	4.402577e-09	0.184046827	0.1	4.402577e-09	3.664594073e-08	0.1	4.402577e-09	5.81939445e-06	0.1	4.402577e-09	5.251518899999999e-10	0.1
4.863717e-09	0.800506	0.1	4.863717e-09	0.19947872	0.1	4.863717e-09	3.977983257e-08	0.1	4.863717e-09	6.3073366e-06	0.1	4.863717e-09	5.6919322e-10	0.1
5.395904e-09	0.7834054	0.1	5.395904e-09	0.21657805000000002	0.1	5.395904e-09	4.326762209e-08	0.1	5.395904e-09	6.848002039999999e-06	0.1	5.395904e-09	6.1799548e-10	0.1
5.928091e-09	0.7670201	0.1	5.928091e-09	0.23296209	0.1	5.928091e-09	4.662582888e-08	0.1	5.928091e-09	7.36605021e-06	0.1	5.928091e-09	6.6475854e-10	0.1
6.460278e-09	0.7513061	0.1	6.460278e-09	0.24867482000000002	0.1	6.460278e-09	4.986269144e-08	0.1	6.460278e-09	7.86287317e-06	0.1	6.460278e-09	7.0960773e-10	0.1
7.014463e-09	0.7356127	0.1	7.014463e-09	0.26436703	0.1	7.014463e-09	5.311251547e-08	0.1	7.014463e-09	8.35904642e-06	0.1	7.014463e-09	7.5440103e-10	0.1
7.656639e-09	0.7182282	0.1	7.656639e-09	0.28175024000000004	0.1	7.656639e-09	5.673428547e-08	0.1	7.656639e-09	8.908687870000001e-06	0.1	7.656639e-09	8.040240499999999e-10	0.1
8.298816e-09	0.7016464	0.1	8.298816e-09	0.29833077999999996	0.1	8.298816e-09	6.021198023e-08	0.1	8.298816e-09	9.432949210000001e-06	0.1	8.298816e-09	8.513591399999999e-10	0.1
8.940992e-09	0.6858129	0.1	8.940992e-09	0.31416300999999996	0.1	8.940992e-09	6.355567064e-08	0.1	8.940992e-09	9.933550199999999e-06	0.1	8.940992e-09	8.9656099e-10	0.1
