Batch	m_SP	5	N7a_L	C5H5	T1a_L	T4a_L	N1a_L							
5.40661e-12	9.791566994743401e-06	0.1	5.40661e-12	3.652866e-17	0.1	5.40661e-12	1.6603546499999999e-16	0.1	5.40661e-12	2.08237345e-07	0.1	5.40661e-12	2.1206839669999997e-33	0.1
1.204278e-11	9.541912407935e-06	0.1	1.204278e-11	8.031838e-17	0.1	1.204278e-11	3.6507296399999997e-16	0.1	1.204278e-11	4.57896045e-07	0.1	1.204278e-11	1.0431217804e-32	0.1
2.499769e-11	9.0727909705514e-06	0.1	2.499769e-11	1.625877e-16	0.1	2.499769e-11	7.390060799999999e-16	0.1	2.499769e-11	9.27026944e-07	0.1	2.499769e-11	4.419775162e-32	0.1
4.798366e-11	8.2966087945054e-06	0.1	4.798366e-11	2.986582e-16	0.1	4.798366e-11	1.35746096e-15	0.1	4.798366e-11	1.703223645e-06	0.1	4.798366e-11	1.5813206007e-31	0.1
8.00094e-11	7.3248639197916e-06	0.1	8.00094e-11	4.68919e-16	0.1	8.00094e-11	2.131284e-15	0.1	8.00094e-11	2.6749866609999996e-06	0.1	8.00094e-11	4.223300707e-31	0.1
1.252833e-10	6.14246159731102e-06	0.1	1.252833e-10	6.759256e-16	0.1	1.252833e-10	3.0720661599999997e-15	0.1	1.252833e-10	3.857411475e-06	0.1	1.252833e-10	9.79713795e-31	0.1
1.705571e-10	5.151203059878279e-06	0.1	1.705571e-10	8.493016e-16	0.1	1.705571e-10	3.8599649000000004e-15	0.1	1.705571e-10	4.8486887810000005e-06	0.1	1.705571e-10	1.720737603e-30	0.1
2.393638e-10	3.94258024481804e-06	0.1	2.393638e-10	1.060438e-15	0.1	2.393638e-10	4.8194059e-15	0.1	2.393638e-10	6.05733567e-06	0.1	2.393638e-10	3.132921692e-30	0.1
3.081705e-10	3.0177575266423403e-06	0.1	3.081705e-10	1.22175e-15	0.1	3.081705e-10	5.5523927e-15	0.1	3.081705e-10	6.98217623e-06	0.1	3.081705e-10	4.817308745e-30	0.1
3.769772e-10	2.309998477306436e-06	0.1	3.769772e-10	1.345011e-15	0.1	3.769772e-10	6.1124457e-15	0.1	3.769772e-10	7.68994823e-06	0.1	3.769772e-10	6.709623388999999e-30	0.1
4.457839e-10	1.7683008497756699e-06	0.1	4.457839e-10	1.439206e-15	0.1	4.457839e-10	6.5404090999999995e-15	0.1	4.457839e-10	8.23165635e-06	0.1	4.457839e-10	8.760791692e-30	0.1
5.145906e-10	1.353672644805624e-06	0.1	5.145906e-10	1.511194e-15	0.1	5.145906e-10	6.867463199999999e-15	0.1	5.145906e-10	8.64629317e-06	0.1	5.145906e-10	1.0933330464999999e-29	0.1
5.833973e-10	1.0362881620222359e-06	0.1	5.833973e-10	1.566213e-15	0.1	5.833973e-10	7.1174184e-15	0.1	5.833973e-10	8.96368273e-06	0.1	5.833973e-10	1.3198630761e-29	0.1
6.52204e-10	7.933310757311466e-07	0.1	6.52204e-10	1.608267e-15	0.1	6.52204e-10	7.308459299999999e-15	0.1	6.52204e-10	9.2066452e-06	0.1	6.52204e-10	1.5534790767e-29	0.1
7.210106e-10	6.073430819554189e-07	0.1	7.210106e-10	1.640412e-15	0.1	7.210106e-10	7.4544778e-15	0.1	7.210106e-10	9.392637000000002e-06	0.1	7.210106e-10	1.792512917e-29	0.1
7.898173e-10	4.649625129937514e-07	0.1	7.898173e-10	1.664983e-15	0.1	7.898173e-10	7.5660924e-15	0.1	7.898173e-10	9.53501949e-06	0.1	7.898173e-10	2.035686703e-29	0.1
8.701775e-10	3.403498235973854e-07	0.1	8.701775e-10	1.686454e-15	0.1	8.701775e-10	7.6636192e-15	0.1	8.701775e-10	9.65963496e-06	0.1	8.701775e-10	2.3236421279999998e-29	0.1
9.534261e-10	2.463581237689794e-07	0.1	9.534261e-10	1.702622e-15	0.1	9.534261e-10	7.7370542e-15	0.1	9.534261e-10	9.75362841e-06	0.1	9.534261e-10	2.6252686e-29	0.1
1.036675e-09	1.783247139483897e-07	0.1	1.036675e-09	1.714304e-15	0.1	1.036675e-09	7.7901127e-15	0.1	1.036675e-09	9.82166385e-06	0.1	1.036675e-09	2.9293468989999997e-29	0.1
1.123354e-09	1.273723713806224e-07	0.1	1.123354e-09	1.723038e-15	0.1	1.123354e-09	7.829782e-15	0.1	1.123354e-09	9.872617070000001e-06	0.1	1.123354e-09	3.247830072e-29	0.1
