Batch	m_SP	5	T1a_L	C5H5	T4a_L	N1a_L	N7a_L							
3.112992e-11	0.98622399	0.1	3.112992e-11	0.01349496	0.1	3.112992e-11	6.755596430000001e-07	0.1	3.112992e-11	0.000134893199	0.1	3.112992e-11	1.9424543999999998e-07	0.1
4.718467e-11	0.97923335	0.1	4.718467e-11	0.02034279	0.1	4.718467e-11	1.028579251e-06	0.1	4.718467e-11	0.00020337413599999998	0.1	4.718467e-11	2.9415545000000005e-07	0.1
6.966131e-11	0.96957401	0.1	6.966131e-11	0.02980488	0.1	6.966131e-11	1.527985386e-06	0.1	6.966131e-11	0.000298031927	0.1	6.966131e-11	4.3373153e-07	0.1
1.081927e-10	0.95335195	0.1	1.081927e-10	0.04569559	0.1	1.081927e-10	2.397895535e-06	0.1	1.081927e-10	0.00045708531000000004	0.1	1.081927e-10	6.7222257e-07	0.1
1.724117e-10	0.9272206099999999	0.1	1.724117e-10	0.0712926	0.1	1.724117e-10	3.885233459e-06	0.1	1.724117e-10	0.00071350081	0.1	1.724117e-10	1.0676250199999999e-06	0.1
2.492099e-10	0.89737092	0.1	2.492099e-10	0.1005317	0.1	2.492099e-10	5.72270496e-06	0.1	2.492099e-10	0.00100669186	0.1	2.492099e-10	1.5372993e-06	0.1
3.343943e-10	0.8659193199999999	0.1	3.343943e-10	0.1313394	0.1	3.343943e-10	7.83156197e-06	0.1	3.343943e-10	0.00131591422	0.1	3.343943e-10	2.054544e-06	0.1
4.195788e-10	0.83608111	0.1	4.195788e-10	0.1605663	0.1	4.195788e-10	1.001029923e-05	0.1	4.195788e-10	0.00160952594	0.1	4.195788e-10	2.5682041e-06	0.1
5.047632e-10	0.8077359100000001	0.1	5.047632e-10	0.1883307	0.1	5.047632e-10	1.225452727e-05	0.1	5.047632e-10	0.00188864635	0.1	5.047632e-10	3.0785672e-06	0.1
5.899477e-10	0.78077564	0.1	5.899477e-10	0.2147382	0.1	5.899477e-10	1.4560127389999997e-05	0.1	5.899477e-10	0.00215428971	0.1	5.899477e-10	3.5858739e-06	0.1
6.751321e-10	0.75510298	0.1	6.751321e-10	0.2398842	0.1	6.751321e-10	1.692323343e-05	0.1	6.751321e-10	0.00240737361	0.1	6.751321e-10	4.0903279000000004e-06	0.1
7.672143e-10	0.72869869	0.1	7.672143e-10	0.2657469	0.1	7.672143e-10	1.9538177800000002e-05	0.1	7.672143e-10	0.00266778636	0.1	7.672143e-10	4.6326237e-06	0.1
8.696431e-10	0.7008527800000001	0.1	8.696431e-10	0.2930215	0.1	8.696431e-10	2.251566475e-05	0.1	8.696431e-10	0.0029425269500000005	0.1	8.696431e-10	5.2323997e-06	0.1
9.720719e-10	0.67449392	0.1	9.720719e-10	0.3188395	0.1	9.720719e-10	2.5560190319999997e-05	0.1	9.720719e-10	0.00320268675	0.1	9.720719e-10	5.8287432e-06	0.1
1.074501e-09	0.6495106399999999	0.1	1.074501e-09	0.3433101	0.1	1.074501e-09	2.866660293e-05	0.1	1.074501e-09	0.0034493395700000004	0.1	1.074501e-09	6.4218284e-06	0.1
1.181052e-09	0.6248742500000001	0.1	1.181052e-09	0.367441	0.1	1.181052e-09	3.1958557879999996e-05	0.1	1.181052e-09	0.00369262598	0.1	1.181052e-09	7.035477099999999e-06	0.1
1.304091e-09	0.5980102049999999	0.1	1.304091e-09	0.3937539	0.1	1.304091e-09	3.583021866e-05	0.1	1.304091e-09	0.00395796635	0.1	1.304091e-09	7.7400623e-06	0.1
1.427131e-09	0.5727113060000001	0.1	1.427131e-09	0.4185337	0.1	1.427131e-09	3.977035661e-05	0.1	1.427131e-09	0.00420789184	0.1	1.427131e-09	8.440484899999999e-06	0.1
1.55017e-09	0.5488525320000001	0.1	1.55017e-09	0.4419029	0.1	1.55017e-09	4.377236032e-05	0.1	1.55017e-09	0.0044436249	0.1	1.55017e-09	9.1368697e-06	0.1
1.688388e-09	0.523629436	0.1	1.688388e-09	0.4666085	0.1	1.688388e-09	4.8334215419999996e-05	0.1	1.688388e-09	0.0046928662000000005	0.1	1.688388e-09	9.914455800000001e-06	0.1
1.836725e-09	0.498263702	0.1	1.836725e-09	0.491454	0.1	1.836725e-09	5.329914886e-05	0.1	1.836725e-09	0.0049435459	0.1	1.836725e-09	1.07435377e-05	0.1
1.985061e-09	0.474510389	0.1	1.985061e-09	0.5147202	0.1	1.985061e-09	5.8326756650000004e-05	0.1	1.985061e-09	0.0051783082000000005	0.1	1.985061e-09	1.15670717e-05	0.1
2.151645e-09	0.44958703099999997	0.1	2.151645e-09	0.5391325	0.1	2.151645e-09	6.403724305e-05	0.1	2.151645e-09	0.0054246508	0.1	2.151645e-09	1.24853519e-05	0.1
2.330393e-09	0.424716764	0.1	2.330393e-09	0.5634927	0.1	2.330393e-09	7.022880254e-05	0.1	2.330393e-09	0.0056704825	0.1	2.330393e-09	1.34630023e-05	0.1
2.509141e-09	0.40160383400000005	0.1	2.509141e-09	0.5861319	0.1	2.509141e-09	7.64749605e-05	0.1	2.509141e-09	0.0058989544	0.1	2.509141e-09	1.4432680900000001e-05	0.1
2.724242e-09	0.375889446	0.1	2.724242e-09	0.6113194	0.1	2.724242e-09	8.404849022e-05	0.1	2.724242e-09	0.0061531517	0.1	2.724242e-09	1.5588966e-05	0.1
2.939344e-09	0.352235257	0.1	2.939344e-09	0.6344889	0.1	2.939344e-09	9.166834033000001e-05	0.1	2.939344e-09	0.0063869904000000005	0.1	2.939344e-09	1.6733561e-05	0.1
3.190312e-09	0.32695662799999997	0.1	3.190312e-09	0.6592498	0.1	3.190312e-09	0.00010059715620000001	0.1	3.190312e-09	0.0066368938999999995	0.1	3.190312e-09	1.8054052e-05	0.1
3.450248e-09	0.30311378600000005	0.1	3.450248e-09	0.6826044	0.1	3.450248e-09	0.00010986696879999999	0.1	3.450248e-09	0.0068726103	0.1	3.450248e-09	1.9404486000000002e-05	0.1
3.753771e-09	0.277922451	0.1	3.753771e-09	0.70728	0.1	3.753771e-09	0.0001206921504	0.1	3.753771e-09	0.007121662	0.1	3.753771e-09	2.0958794e-05	0.1
4.068191e-09	0.254462503	0.1	4.068191e-09	0.7302598	0.1	4.068191e-09	0.00013187800180000002	0.1	4.068191e-09	0.007353601600000001	0.1	4.068191e-09	2.254278e-05	0.1
4.440847e-09	0.22966578699999998	0.1	4.440847e-09	0.7545492	0.1	4.440847e-09	0.0001450617392	0.1	4.440847e-09	0.0075987608	0.1	4.440847e-09	2.4385051e-05	0.1
4.828062e-09	0.206878024	0.1	4.828062e-09	0.776871	0.1	4.828062e-09	0.0001586364397	0.1	4.828062e-09	0.0078240631	0.1	4.828062e-09	2.6258183e-05	0.1
5.294559e-09	0.182849126	0.1	5.294559e-09	0.8004086	0.1	5.294559e-09	0.0001747723506	0.1	5.294559e-09	0.008061642099999999	0.1	5.294559e-09	2.8458154e-05	0.1
5.761057e-09	0.161985566	0.1	5.761057e-09	0.8208459	0.1	5.761057e-09	0.00019062149569999999	0.1	5.761057e-09	0.0082679291	0.1	5.761057e-09	3.0595168e-05	0.1
6.265687e-09	0.142409819	0.1	6.265687e-09	0.8400218	0.1	6.265687e-09	0.0002073957856	0.1	6.265687e-09	0.008461488	0.1	6.265687e-09	3.2835044e-05	0.1
6.827517e-09	0.12367977	0.1	6.827517e-09	0.8583695	0.1	6.827517e-09	0.00022557027829999999	0.1	6.827517e-09	0.0086466905	0.1	6.827517e-09	3.5240178e-05	0.1
7.389347e-09	0.10764521699999999	0.1	7.389347e-09	0.8740769	0.1	7.389347e-09	0.00024317570020000002	0.1	7.389347e-09	0.008805245	0.1	7.389347e-09	3.7551514999999995e-05	0.1
7.951177e-09	0.093863129	0.1	7.951177e-09	0.887578	0.1	7.951177e-09	0.0002601809541	0.1	7.951177e-09	0.008941531400000001	0.1	7.951177e-09	3.976909e-05	0.1
8.513007e-09	0.081976244	0.1	8.513007e-09	0.8992227	0.1	8.513007e-09	0.0002765646221	0.1	8.513007e-09	0.009059080899999999	0.1	8.513007e-09	4.1893384e-05	0.1
9.074837e-09	0.071693433	0.1	9.074837e-09	0.9092961	0.1	9.074837e-09	0.00029231297069999996	0.1	9.074837e-09	0.0091607714	0.1	9.074837e-09	4.3925256e-05	0.1
9.636667e-09	0.062775376	0.1	9.636667e-09	0.9180327	0.1	9.636667e-09	0.000307419086	0.1	9.636667e-09	0.0092489699	0.1	9.636667e-09	4.5865942e-05	0.1
1.01985e-08	0.0550236913	0.1	1.01985e-08	0.9256268	0.1	1.01985e-08	0.0003218811559	0.1	1.01985e-08	0.0093256361	0.1	1.01985e-08	4.7716967999999996e-05	0.1
1.076033e-08	0.0482727752	0.1	1.076033e-08	0.9322405	0.1	1.076033e-08	0.00033570199279999997	0.1	1.076033e-08	0.0093924061	0.1	1.076033e-08	4.9480162e-05	0.1
1.132216e-08	0.0423834797	0.1	1.132216e-08	0.9380103	0.1	1.132216e-08	0.0003488884552	0.1	1.132216e-08	0.009450658899999999	0.1	1.132216e-08	5.1157551e-05	0.1
1.188399e-08	0.037238303	0.1	1.188399e-08	0.9430511	0.1	1.188399e-08	0.00036145012619999997	0.1	1.188399e-08	0.0095015534	0.1	1.188399e-08	5.275137e-05	0.1
1.244582e-08	0.0327374245	0.1	1.244582e-08	0.9474608	0.1	1.244582e-08	0.00037339930039999997	0.1	1.244582e-08	0.0095460767	0.1	1.244582e-08	5.4264021e-05	0.1
1.300765e-08	0.028795736800000003	0.1	1.300765e-08	0.9513227	0.1	1.300765e-08	0.0003847506413	0.1	1.300765e-08	0.0095850714	0.1	1.300765e-08	5.5698043e-05	0.1
1.356948e-08	0.0253403629	0.1	1.356948e-08	0.9547082	0.1	1.356948e-08	0.00039552001060000005	0.1	1.356948e-08	0.0096192551	0.1	1.356948e-08	5.7056049e-05	0.1
1.413131e-08	0.0223086828	0.1	1.413131e-08	0.9576787	0.1	1.413131e-08	0.0004057252455	0.1	1.413131e-08	0.0096492514	0.1	1.413131e-08	5.8340779000000005e-05	0.1
1.469314e-08	0.019646727899999997	0.1	1.469314e-08	0.9602869	0.1	1.469314e-08	0.00041538463169999996	0.1	1.469314e-08	0.0096755895	0.1	1.469314e-08	5.9554969000000003e-05	0.1
1.525497e-08	0.0173078481	0.1	1.525497e-08	0.9625787	0.1	1.525497e-08	0.00042451777120000003	0.1	1.525497e-08	0.0096987333	0.1	1.525497e-08	6.0701428e-05	0.1
1.58168e-08	0.0152516294	0.1	1.58168e-08	0.9645935	0.1	1.58168e-08	0.00043314441749999996	0.1	1.58168e-08	0.0097190821	0.1	1.58168e-08	6.1782962e-05	0.1
1.637863e-08	0.0134429801	0.1	1.637863e-08	0.9663658	0.1	1.637863e-08	0.0004412846329	0.1	1.637863e-08	0.009736981799999999	0.1	1.637863e-08	6.2802378e-05	0.1
1.694046e-08	0.011851369300000001	0.1	1.694046e-08	0.9679255	0.1	1.694046e-08	0.00044895918260000003	0.1	1.694046e-08	0.0097527356	0.1	1.694046e-08	6.3762452e-05	0.1
1.759275e-08	0.0102407658	0.1	1.759275e-08	0.9695038	0.1	1.759275e-08	0.00045731184400000006	0.1	1.759275e-08	0.0097686779	0.1	1.759275e-08	6.4806303e-05	0.1
