Batch	m_SP	5	T4a_L	C5H5	T1a_L	N1a_L	N7a_L							
2.384896e-07	0.9894532699999999	0.1	2.384896e-07	0.0001095658	0.1	2.384896e-07	0.00034883137	0.1	2.384896e-07	4.26993625e-07	0.1	2.384896e-07	2.4708662999999998e-05	0.1
2.688151e-07	0.98875693	0.1	2.688151e-07	0.0001328957	0.1	2.688151e-07	0.0004282079	0.1	2.688151e-07	5.15279147e-07	0.1	2.688151e-07	3.006122e-05	0.1
2.991405e-07	0.9881417299999999	0.1	2.991405e-07	0.0001574224	0.1	2.991405e-07	0.0005121072699999999	0.1	2.991405e-07	6.078757850000001e-07	0.1	2.991405e-07	3.5691344e-05	0.1
3.320128e-07	0.987552	0.1	3.320128e-07	0.000185153	0.1	3.320128e-07	0.00060737695	0.1	3.320128e-07	7.1237021e-07	0.1	3.320128e-07	4.2059651999999995e-05	0.1
3.687052e-07	0.98697365	0.1	3.687052e-07	0.0002172829	0.1	3.687052e-07	0.00071816586	0.1	3.687052e-07	8.332469e-07	0.1	3.687052e-07	4.9440938e-05	0.1
4.053976e-07	0.98646496	0.1	4.053976e-07	0.0002504398	0.1	4.053976e-07	0.0008328365100000001	0.1	4.053976e-07	9.5782224e-07	0.1	4.053976e-07	5.7060399000000004e-05	0.1
4.4209e-07	0.98601361	0.1	4.4209e-07	0.0002844398	0.1	4.4209e-07	0.0009506949500000001	0.1	4.4209e-07	1.08543457e-06	0.1	4.4209e-07	6.4875418e-05	0.1
4.787824e-07	0.98560942	0.1	4.787824e-07	0.0003191321	0.1	4.787824e-07	0.00107117067	0.1	4.787824e-07	1.21553995e-06	0.1	4.787824e-07	7.2850985e-05	0.1
5.199425e-07	0.98520173	0.1	5.199425e-07	0.0003587193	0.1	5.199425e-07	0.00120885235	0.1	5.199425e-07	1.3639027499999998e-06	0.1	5.199425e-07	8.195326899999999e-05	0.1
5.640811e-07	0.9848078000000001	0.1	5.640811e-07	0.0004018044	0.1	5.640811e-07	0.00135889207	0.1	5.640811e-07	1.52528125e-06	0.1	5.640811e-07	9.186106300000001e-05	0.1
6.082198e-07	0.9844496800000001	0.1	6.082198e-07	0.0004454083	0.1	6.082198e-07	0.00151089475	0.1	6.082198e-07	1.6885275e-06	0.1	6.082198e-07	0.000101889204	0.1
6.523584e-07	0.98411951	0.1	6.523584e-07	0.00048942	0.1	6.523584e-07	0.0016644413299999998	0.1	6.523584e-07	1.85324278e-06	0.1	6.523584e-07	0.00011201196700000001	0.1
6.96497e-07	0.9838120399999999	0.1	6.96497e-07	0.0005337522	0.1	6.96497e-07	0.0018192012000000002	0.1	6.96497e-07	2.01911063e-06	0.1	6.96497e-07	0.000122209036	0.1
7.47993e-07	0.98347501	0.1	7.47993e-07	0.0005857873	0.1	7.47993e-07	0.00200094488	0.1	7.47993e-07	2.21375308e-06	0.1	7.47993e-07	0.000134178538	0.1
8.013285e-07	0.9831452399999999	0.1	8.013285e-07	0.0006399512	0.1	8.013285e-07	0.00219020479	0.1	8.013285e-07	2.4163197599999997e-06	0.1	8.013285e-07	0.000146638248	0.1
8.546639e-07	0.9828301299999999	0.1	8.546639e-07	0.0006943189	0.1	8.546639e-07	0.0023802393000000002	0.1	8.546639e-07	2.61961958e-06	0.1	8.546639e-07	0.000159145236	0.1
9.079993e-07	0.98252647	0.1	9.079993e-07	0.0007488366	0.1	9.079993e-07	0.0025708444399999996	0.1	9.079993e-07	2.8234562400000002e-06	0.1	9.079993e-07	0.00017168712000000002	0.1
9.700721e-07	0.9821832599999999	0.1	9.700721e-07	0.0008124207	0.1	9.700721e-07	0.0027931905700000004	0.1	9.700721e-07	3.06117204e-06	0.1	9.700721e-07	0.0001863149	0.1
1.034329e-06	0.98183661	0.1	1.034329e-06	0.0008783483	0.1	1.034329e-06	0.0030237674100000002	0.1	1.034329e-06	3.30763093e-06	0.1	1.034329e-06	0.00020148218	0.1
1.098586e-06	0.98149648	0.1	1.098586e-06	0.0009443467	0.1	1.098586e-06	0.0032546177	0.1	1.098586e-06	3.55434317e-06	0.1	1.098586e-06	0.0002166658	0.1
1.168171e-06	0.98113289	0.1	1.168171e-06	0.001015866	0.1	1.168171e-06	0.0035047977000000003	0.1	1.168171e-06	3.82168018e-06	0.1	1.168171e-06	0.0002331197	0.1
1.245745e-06	0.98073191	0.1	1.245745e-06	0.001095629	0.1	1.245745e-06	0.0037838375999999997	0.1	1.245745e-06	4.11983026e-06	0.1	1.245745e-06	0.00025147054	0.1
1.32332e-06	0.9803342399999999	0.1	1.32332e-06	0.001175406	0.1	1.32332e-06	0.0040629329	0.1	1.32332e-06	4.41802054e-06	0.1	1.32332e-06	0.00026982434	0.1
1.410386e-06	0.97989029	0.1	1.410386e-06	0.00126494	0.1	1.410386e-06	0.004376175	0.1	1.410386e-06	4.75267919e-06	0.1	1.410386e-06	0.00029042311000000004	0.1
1.50378e-06	0.97941585	0.1	1.50378e-06	0.001360963	0.1	1.50378e-06	0.004712126299999999	0.1	1.50378e-06	5.11158793e-06	0.1	1.50378e-06	0.00031251476	0.1
1.601088e-06	0.97892313	0.1	1.601088e-06	0.001460979	0.1	1.601088e-06	0.005062053699999999	0.1	1.601088e-06	5.48541979e-06	0.1	1.601088e-06	0.00033552520999999996	0.1
1.714054e-06	0.9783522199999999	0.1	1.714054e-06	0.00157704	0.1	1.714054e-06	0.005468119400000001	0.1	1.714054e-06	5.91922042e-06	0.1	1.714054e-06	0.000362227	0.1
1.831902e-06	0.97775775	0.1	1.831902e-06	0.001698053	0.1	1.831902e-06	0.005891515999999999	0.1	1.831902e-06	6.371531229999999e-06	0.1	1.831902e-06	0.00039006835000000004	0.1
1.969279e-06	0.97706541	0.1	1.969279e-06	0.001839034	0.1	1.969279e-06	0.0063847758999999995	0.1	1.969279e-06	6.8984719e-06	0.1	1.969279e-06	0.00042250345	0.1
2.118682e-06	0.97631347	0.1	2.118682e-06	0.001992246	0.1	2.118682e-06	0.0069208298	0.1	2.118682e-06	7.4711307e-06	0.1	2.118682e-06	0.00045775256999999996	0.1
2.286123e-06	0.9754716	0.1	2.286123e-06	0.002163817	0.1	2.286123e-06	0.007521119500000001	0.1	2.286123e-06	8.1124064e-06	0.1	2.286123e-06	0.00049722554	0.1
2.48906e-06	0.97445234	0.1	2.48906e-06	0.00237156	0.1	2.48906e-06	0.008247967299999999	0.1	2.48906e-06	8.8888831e-06	0.1	2.48906e-06	0.00054502067	0.1
2.72277e-06	0.9732801	0.1	2.72277e-06	0.002610532	0.1	2.72277e-06	0.0090840772	0.1	2.72277e-06	9.7820802e-06	0.1	2.72277e-06	0.00060000037	0.1
2.993664e-06	0.97192323	0.1	2.993664e-06	0.002887155	0.1	2.993664e-06	0.0100519255	0.1	2.993664e-06	1.0816007700000002e-05	0.1	2.993664e-06	0.0006636424999999999	0.1
3.331231e-06	0.9702354799999999	0.1	3.331231e-06	0.003231302	0.1	3.331231e-06	0.0112560243	0.1	3.331231e-06	1.2102315799999998e-05	0.1	3.331231e-06	0.00074281979	0.1
3.784672e-06	0.96797381	0.1	3.784672e-06	0.003692597	0.1	3.784672e-06	0.0128700016	0.1	3.784672e-06	1.38264779e-05	0.1	3.784672e-06	0.0008489490999999999	0.1
4.380483e-06	0.9650105499999999	0.1	4.380483e-06	0.004296996	0.1	4.380483e-06	0.0149846765	0.1	4.380483e-06	1.60855226e-05	0.1	4.380483e-06	0.00098800244	0.1
5.146397e-06	0.96121675	0.1	5.146397e-06	0.005071037	0.1	5.146397e-06	0.017692895800000004	0.1	5.146397e-06	1.89786292e-05	0.1	5.146397e-06	0.00116608476	0.1
