Batch	m_SP	21	N1a_L	C5H5	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																							
1.364747e-11	9.724528533047601e-06	0.1	1.364747e-11	1.183507e-07	0.1	1.364747e-11	5.297056e-09	0.1	1.364747e-11	3.215487e-08	0.1	1.364747e-11	4.570342e-08	0.1	1.364747e-11	4.908132e-08	0.1	1.364747e-11	4.293041e-08	0.1	1.364747e-11	4.089275e-08	0.1	1.364747e-11	1.071035e-11	0.1	1.364747e-11	2.939405e-11	0.1	1.364747e-11	7.59142e-13	0.1	1.364747e-11	8.64445e-13	0.1	1.364747e-11	1.818586e-13	0.1	1.364747e-11	2.792269e-14	0.1	1.364747e-11	9.85045e-15	0.1	1.364747e-11	7.808036e-13	0.1	1.364747e-11	8.675444e-15	0.1	1.364747e-11	2.870644e-15	0.1	1.364747e-11	4.573961e-20	0.1	1.364747e-11	7.412975e-19	0.1	1.364747e-11	1.62803e-19	0.1
2.915416e-11	9.4209526350458e-06	0.1	2.915416e-11	2.488114e-07	0.1	2.915416e-11	1.111137e-08	0.1	2.915416e-11	6.738981e-08	0.1	2.915416e-11	9.63889e-08	0.1	2.915416e-11	1.034432e-07	0.1	2.915416e-11	9.031386e-08	0.1	2.915416e-11	8.572029e-08	0.1	2.915416e-11	2.251845e-11	0.1	2.915416e-11	6.180134e-11	0.1	2.915416e-11	1.59444e-12	0.1	2.915416e-11	1.820187e-12	0.1	2.915416e-11	3.824093e-13	0.1	2.915416e-11	5.870702e-14	0.1	2.915416e-11	2.075654e-14	0.1	2.915416e-11	1.641373e-12	0.1	2.915416e-11	1.822981e-14	0.1	2.915416e-11	6.002129e-15	0.1	2.915416e-11	2.049969e-19	0.1	2.915416e-11	3.296709e-18	0.1	2.915416e-11	7.297629e-19	0.1
6.524216e-11	8.7506733577247e-06	0.1	6.524216e-11	5.36627e-07	0.1	6.524216e-11	2.383864e-08	0.1	6.524216e-11	1.442824e-07	0.1	6.524216e-11	2.094293e-07	0.1	6.524216e-11	2.243983e-07	0.1	6.524216e-11	1.950869e-07	0.1	6.524216e-11	1.836155e-07	0.1	6.524216e-11	4.857589e-11	0.1	6.524216e-11	1.333184e-10	0.1	6.524216e-11	3.431102e-12	0.1	6.524216e-11	3.940139e-12	0.1	6.524216e-11	8.251902e-13	0.1	6.524216e-11	1.266396e-13	0.1	6.524216e-11	4.500788e-14	0.1	6.524216e-11	3.5394e-12	0.1	6.524216e-11	3.927261e-14	0.1	6.524216e-11	1.277961e-14	0.1	6.524216e-11	9.845201e-19	0.1	6.524216e-11	1.555222e-17	0.1	6.524216e-11	3.50598e-18	0.1
1.302006e-10	7.6621739222145e-06	0.1	1.302006e-10	1.003295e-06	0.1	1.302006e-10	4.413446e-08	0.1	1.302006e-10	2.661409e-07	0.1	1.302006e-10	3.967878e-07	0.1	1.302006e-10	4.238922e-07	0.1	1.302006e-10	3.657459e-07	0.1	1.302006e-10	3.389768e-07	0.1	1.302006e-10	9.084648e-11	0.1	1.302006e-10	2.493457e-10	0.1	1.302006e-10	6.38832e-12	0.1	1.302006e-10	7.41609e-12	0.1	1.302006e-10	1.544247e-12	0.1	1.302006e-10	2.368437e-13	0.1	1.302006e-10	8.496753e-14	0.1	1.302006e-10	6.615108e-12	0.1	1.302006e-10	7.326982e-14	0.1	1.302006e-10	2.33335e-14	0.1	1.302006e-10	3.638612e-18	0.1	1.302006e-10	5.569327e-17	0.1	1.302006e-10	1.296557e-17	0.1
1.927081e-10	6.7429012190554406e-06	0.1	1.927081e-10	1.396633e-06	0.1	1.927081e-10	6.083642e-08	0.1	1.927081e-10	3.655775e-07	0.1	1.927081e-10	5.594208e-07	0.1	1.927081e-10	5.958743e-07	0.1	1.927081e-10	5.10466e-07	0.1	1.927081e-10	4.659882e-07	0.1	1.927081e-10	1.264949e-10	0.1	1.927081e-10	3.472152e-10	0.1	1.927081e-10	8.856318e-12	0.1	1.927081e-10	1.039132e-11	0.1	1.927081e-10	2.15163e-12	0.1	1.927081e-10	3.297941e-13	0.1	1.927081e-10	1.19389e-13	0.1	1.927081e-10	9.205388e-12	0.1	1.927081e-10	1.017787e-13	0.1	1.927081e-10	3.172876e-14	0.1	1.927081e-10	7.423352e-18	0.1	1.927081e-10	1.103135e-16	0.1	1.927081e-10	2.646777e-17	0.1
2.407129e-10	6.11258515558416e-06	0.1	2.407129e-10	1.665878e-06	0.1	2.407129e-10	7.200052e-08	0.1	2.407129e-10	4.315212e-07	0.1	2.407129e-10	6.737887e-07	0.1	2.407129e-10	7.160248e-07	0.1	2.407129e-10	6.100802e-07	0.1	2.407129e-10	5.503624e-07	0.1	2.407129e-10	1.509068e-10	0.1	2.407129e-10	4.14252e-10	0.1	2.407129e-10	1.052951e-11	0.1	2.407129e-10	1.245778e-11	0.1	2.407129e-10	2.568247e-12	0.1	2.407129e-10	3.934584e-13	0.1	2.407129e-10	1.434305e-13	0.1	2.407129e-10	1.097705e-11	0.1	2.407129e-10	1.211953e-13	0.1	2.407129e-10	3.715502e-14	0.1	2.407129e-10	1.097179e-17	0.1	2.407129e-10	1.594701e-16	0.1	2.407129e-10	3.913772e-17	0.1
3.068285e-10	5.339863960501899e-06	0.1	3.068285e-10	1.995391e-06	0.1	3.068285e-10	8.528994e-08	0.1	3.068285e-10	5.093429e-07	0.1	3.068285e-10	8.178809e-07	0.1	3.068285e-10	8.662909e-07	0.1	3.068285e-10	7.327222e-07	0.1	3.068285e-10	6.501166e-07	0.1	3.068285e-10	1.807935e-10	0.1	3.068285e-10	4.963498e-10	0.1	3.068285e-10	1.255487e-11	0.1	3.068285e-10	1.502801e-11	0.1	3.068285e-10	3.079298e-12	0.1	3.068285e-10	4.714235e-13	0.1	3.068285e-10	1.735053e-13	0.1	3.068285e-10	1.314333e-11	0.1	3.068285e-10	1.448207e-13	0.1	3.068285e-10	4.336562e-14	0.1	3.068285e-10	1.655711e-17	0.1	3.068285e-10	2.335944e-16	0.1	3.068285e-10	5.909891e-17	0.1
3.999694e-10	4.414262615648559e-06	0.1	3.999694e-10	2.389189e-06	0.1	3.999694e-10	1.004681e-07	0.1	3.999694e-10	5.970617e-07	0.1	3.999694e-10	9.97624e-07	0.1	3.999694e-10	1.051617e-06	0.1	3.999694e-10	8.805925e-07	0.1	3.999694e-10	7.628661e-07	0.1	3.999694e-10	2.165225e-10	0.1	3.999694e-10	5.945561e-10	0.1	3.999694e-10	1.493354e-11	0.1	3.999694e-10	1.81766e-11	0.1	3.999694e-10	3.692245e-12	0.1	3.999694e-10	5.646855e-13	0.1	3.999694e-10	2.10643e-13	0.1	3.999694e-10	1.572862e-11	0.1	3.999694e-10	1.727933e-13	0.1	3.999694e-10	5.000954e-14	0.1	3.999694e-10	2.538985e-17	0.1	3.999694e-10	3.440312e-16	0.1	3.999694e-10	9.070784e-17	0.1
5.268566e-10	3.40611990747408e-06	0.1	5.268566e-10	2.816797e-06	0.1	5.268566e-10	1.156999e-07	0.1	5.268566e-10	6.832694e-07	0.1	5.268566e-10	1.205674e-06	0.1	5.268566e-10	1.262327e-06	0.1	5.268566e-10	1.04332e-06	0.1	5.268566e-10	8.741516e-07	0.1	5.268566e-10	2.55323e-10	0.1	5.268566e-10	7.01332e-10	0.1	5.268566e-10	1.744295e-11	0.1	5.268566e-10	2.173076e-11	0.1	5.268566e-10	4.361688e-12	0.1	5.268566e-10	6.660923e-13	0.1	5.268566e-10	2.530201e-13	0.1	5.268566e-10	1.852968e-11	0.1	5.268566e-10	2.026963e-13	0.1	5.268566e-10	5.591615e-14	0.1	5.268566e-10	3.840769e-17	0.1	5.268566e-10	4.940062e-16	0.1	5.268566e-10	1.37383e-16	0.1
6.537437e-10	2.6284087251452004e-06	0.1	6.537437e-10	3.145569e-06	0.1	6.537437e-10	1.260355e-07	0.1	6.537437e-10	7.400192e-07	0.1	6.537437e-10	1.379203e-06	0.1	6.537437e-10	1.433885e-06	0.1	6.537437e-10	1.170653e-06	0.1	6.537437e-10	9.478731e-07	0.1	6.537437e-10	2.851398e-10	0.1	6.537437e-10	7.835521e-10	0.1	6.537437e-10	1.929236e-11	0.1	6.537437e-10	2.461098e-11	0.1	6.537437e-10	4.880664e-12	0.1	6.537437e-10	7.441944e-13	0.1	6.537437e-10	2.877759e-13	0.1	6.537437e-10	2.06769e-11	0.1	6.537437e-10	2.251599e-13	0.1	6.537437e-10	5.910806e-14	0.1	6.537437e-10	5.171725e-17	0.1	6.537437e-10	6.33589e-16	0.1	6.537437e-10	1.852156e-16	0.1
