Batch	m_SP	21	N7a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h																																							
3.237293e-12	9.8037739206e-06	0.1	3.237293e-12	4.589852e-18	0.1	3.237293e-12	3.992931e-41	0.1	3.237293e-12	2.45898e-37	0.1	3.237293e-12	8.767132e-39	0.1	3.237293e-12	9.953185e-19	0.1	3.237293e-12	1.24153e-17	0.1	3.237293e-12	9.61692e-18	0.1	3.237293e-12	4.736499e-18	0.1	3.237293e-12	3.234928e-18	0.1	3.237293e-12	3.841529e-18	0.1	3.237293e-12	1.791855e-15	0.1	3.237293e-12	3.00616e-12	0.1	3.237293e-12	2.1004e-08	0.1	3.237293e-12	2.730063e-08	0.1	3.237293e-12	2.16727e-08	0.1	3.237293e-12	2.071195e-08	0.1	3.237293e-12	3.176574e-08	0.1	3.237293e-12	3.055828e-08	0.1	3.237293e-12	2.614571e-08	0.1	3.237293e-12	1.687051e-08	0.1
7.065971e-12	9.577590444359998e-06	0.1	7.065971e-12	9.920036e-18	0.1	7.065971e-12	1.869849e-40	0.1	7.065971e-12	1.152079e-36	0.1	7.065971e-12	4.108447e-38	0.1	7.065971e-12	2.151078e-18	0.1	7.065971e-12	2.68315e-17	0.1	7.065971e-12	2.078451e-17	0.1	7.065971e-12	1.023663e-17	0.1	7.065971e-12	6.991525e-18	0.1	7.065971e-12	8.302472e-18	0.1	7.065971e-12	3.872324e-15	0.1	7.065971e-12	6.495191e-12	0.1	7.065971e-12	4.53638e-08	0.1	7.065971e-12	5.872254e-08	0.1	7.065971e-12	4.640238e-08	0.1	7.065971e-12	4.434846e-08	0.1	7.065971e-12	6.836937e-08	0.1	7.065971e-12	6.605396e-08	0.1	7.065971e-12	5.648175e-08	0.1	7.065971e-12	3.647346e-08	0.1
1.451748e-11	9.15428791058e-06	0.1	1.451748e-11	1.999677e-17	0.1	1.451748e-11	7.63377e-40	0.1	1.451748e-11	4.707879e-36	0.1	1.451748e-11	1.679577e-37	0.1	1.451748e-11	4.335748e-18	0.1	1.451748e-11	5.408044e-17	0.1	1.451748e-11	4.189535e-17	0.1	1.451748e-11	2.063359e-17	0.1	1.451748e-11	1.409304e-17	0.1	1.451748e-11	1.673526e-17	0.1	1.451748e-11	7.804256e-15	0.1	1.451748e-11	1.308529e-11	0.1	1.451748e-11	9.132169e-08	0.1	1.451748e-11	1.172958e-07	0.1	1.451748e-11	9.186326e-08	0.1	1.451748e-11	8.780902e-08	0.1	1.451748e-11	1.367287e-07	0.1	1.451748e-11	1.331858e-07	0.1	1.451748e-11	1.137531e-07	0.1	1.451748e-11	7.356737e-08	0.1
2.77646e-11	8.45344492772e-06	0.1	2.77646e-11	3.698346e-17	0.1	2.77646e-11	2.632309e-39	0.1	2.77646e-11	1.626067e-35	0.1	2.77646e-11	5.805331e-37	0.1	2.77646e-11	8.017631e-18	0.1	2.77646e-11	1.000002e-16	0.1	2.77646e-11	7.747807e-17	0.1	2.77646e-11	3.815697e-17	0.1	2.77646e-11	2.606328e-17	0.1	2.77646e-11	3.09488e-17	0.1	2.77646e-11	1.442887e-14	0.1	2.77646e-11	2.417682e-11	0.1	2.77646e-11	1.685141e-07	0.1	2.77646e-11	2.135719e-07	0.1	2.77646e-11	1.646651e-07	0.1	2.77646e-11	1.574359e-07	0.1	2.77646e-11	2.494748e-07	0.1	2.77646e-11	2.464447e-07	0.1	2.77646e-11	2.100629e-07	0.1	2.77646e-11	1.362071e-07	0.1
4.56961e-11	7.6001109947399995e-06	0.1	4.56961e-11	5.821121e-17	0.1	4.56961e-11	6.589454e-39	0.1	4.56961e-11	4.079344e-35	0.1	4.56961e-11	1.457781e-36	0.1	4.56961e-11	1.261719e-17	0.1	4.56961e-11	1.573589e-16	0.1	4.56961e-11	1.219367e-16	0.1	4.56961e-11	6.004989e-17	0.1	4.56961e-11	4.102032e-17	0.1	4.56961e-11	4.870764e-17	0.1	4.56961e-11	2.270112e-14	0.1	4.56961e-11	3.800636e-11	0.1	4.56961e-11	2.644823e-07	0.1	4.56961e-11	3.295265e-07	0.1	4.56961e-11	2.488517e-07	0.1	4.56961e-11	2.380042e-07	0.1	4.56961e-11	3.859727e-07	0.1	4.56961e-11	3.881806e-07	0.1	4.56961e-11	3.300043e-07	0.1	4.56961e-11	2.147005e-07	0.1
6.911796e-11	6.62907941576e-06	0.1	6.911796e-11	8.316111e-17	0.1	6.911796e-11	1.362072e-38	0.1	6.911796e-11	8.455081e-35	0.1	6.911796e-11	3.025109e-36	0.1	6.911796e-11	1.8021e-17	0.1	6.911796e-11	2.247377e-16	0.1	6.911796e-11	1.741796e-16	0.1	6.911796e-11	8.577372e-17	0.1	6.911796e-11	5.859739e-17	0.1	6.911796e-11	6.95755e-17	0.1	6.911796e-11	3.24148e-14	0.1	6.911796e-11	5.421628e-11	0.1	6.911796e-11	3.76569e-07	0.1	6.911796e-11	4.596029e-07	0.1	6.911796e-11	3.381057e-07	0.1	6.911796e-11	3.235041e-07	0.1	6.911796e-11	5.401584e-07	0.1	6.911796e-11	5.551312e-07	0.1	6.911796e-11	4.70388e-07	0.1	6.911796e-11	3.073083e-07	0.1
9.253982e-11	5.7961414748520006e-06	0.1	9.253982e-11	1.053036e-16	0.1	9.253982e-11	2.209899e-38	0.1	9.253982e-11	1.375343e-34	0.1	9.253982e-11	4.926447e-36	0.1	9.253982e-11	2.281469e-17	0.1	9.253982e-11	2.845008e-16	0.1	9.253982e-11	2.205337e-16	0.1	9.253982e-11	1.085959e-16	0.1	9.253982e-11	7.41943e-17	0.1	9.253982e-11	8.809077e-17	0.1	9.253982e-11	4.102721e-14	0.1	9.253982e-11	6.856173e-11	0.1	9.253982e-11	4.753989e-07	0.1	9.253982e-11	5.694097e-07	0.1	9.253982e-11	4.085014e-07	0.1	9.253982e-11	3.910221e-07	0.1	9.253982e-11	6.713519e-07	0.1	9.253982e-11	7.037194e-07	0.1	9.253982e-11	5.944435e-07	0.1	9.253982e-11	3.898693e-07	0.1
1.2736e-10	4.766677064552e-06	0.1	1.2736e-10	1.337203e-16	0.1	1.2736e-10	3.620975e-38	0.1	1.2736e-10	2.261667e-34	0.1	1.2736e-10	8.114365e-36	0.1	1.2736e-10	2.896382e-17	0.1	1.2736e-10	3.611507e-16	0.1	1.2736e-10	2.800086e-16	0.1	1.2736e-10	1.378751e-16	0.1	1.2736e-10	9.420744e-17	0.1	1.2736e-10	1.118461e-16	0.1	1.2736e-10	5.206856e-14	0.1	1.2736e-10	8.691602e-11	0.1	1.2736e-10	6.013413e-07	0.1	1.2736e-10	7.025644e-07	0.1	1.2736e-10	4.866475e-07	0.1	1.2736e-10	4.661039e-07	0.1	1.2736e-10	8.319852e-07	0.1	1.2736e-10	8.951811e-07	0.1	1.2736e-10	7.529211e-07	0.1	1.2736e-10	4.964485e-07	0.1
1.621802e-10	3.937124155942e-06	0.1	1.621802e-10	1.575534e-16	0.1	1.621802e-10	5.099078e-38	0.1	1.621802e-10	3.195519e-34	0.1	1.621802e-10	1.148215e-35	0.1	1.621802e-10	3.411856e-17	0.1	1.621802e-10	4.253952e-16	0.1	1.621802e-10	3.298783e-16	0.1	1.621802e-10	1.624231e-16	0.1	1.621802e-10	1.109896e-16	0.1	1.621802e-10	1.317641e-16	0.1	1.621802e-10	6.131894e-14	0.1	1.621802e-10	1.022611e-10	0.1	1.621802e-10	7.061945e-07	0.1	1.621802e-10	8.075232e-07	0.1	1.621802e-10	5.41589e-07	0.1	1.621802e-10	5.190224e-07	0.1	1.621802e-10	9.600707e-07	0.1	1.621802e-10	1.056643e-06	0.1	1.621802e-10	8.852091e-07	0.1	1.621802e-10	5.865028e-07	0.1
1.970004e-10	3.264282013054e-06	0.1	1.970004e-10	1.775571e-16	0.1	1.970004e-10	6.559176e-38	0.1	1.970004e-10	4.123173e-34	0.1	1.970004e-10	1.483621e-35	0.1	1.970004e-10	3.844327e-17	0.1	1.970004e-10	4.792874e-16	0.1	1.970004e-10	3.717274e-16	0.1	1.970004e-10	1.830211e-16	0.1	1.970004e-10	1.250734e-16	0.1	1.970004e-10	1.484778e-16	0.1	1.970004e-10	6.907595e-14	0.1	1.970004e-10	1.151063e-10	0.1	1.970004e-10	7.93655e-07	0.1	1.970004e-10	8.909133e-07	0.1	1.970004e-10	5.802323e-07	0.1	1.970004e-10	5.563542e-07	0.1	1.970004e-10	1.062979e-06	0.1	1.970004e-10	1.192989e-06	0.1	1.970004e-10	9.958071e-07	0.1	1.970004e-10	6.626753e-07	0.1
2.318206e-10	2.7153139926339995e-06	0.1	2.318206e-10	1.943573e-16	0.1	2.318206e-10	7.94891e-38	0.1	2.318206e-10	5.010864e-34	0.1	2.318206e-10	1.805379e-35	0.1	2.318206e-10	4.20741e-17	0.1	2.318206e-10	5.245274e-16	0.1	2.318206e-10	4.068693e-16	0.1	2.318206e-10	2.003163e-16	0.1	2.318206e-10	1.369003e-16	0.1	2.318206e-10	1.625117e-16	0.1	2.318206e-10	7.558571e-14	0.1	2.318206e-10	1.258703e-10	0.1	2.318206e-10	8.66725e-07	0.1	2.318206e-10	9.576612e-07	0.1	2.318206e-10	6.074259e-07	0.1	2.318206e-10	5.82719e-07	0.1	2.318206e-10	1.146238e-06	0.1	2.318206e-10	1.308255e-06	0.1	2.318206e-10	1.088393e-06	0.1	2.318206e-10	7.27163e-07	0.1
2.666408e-10	2.26504519819e-06	0.1	2.666408e-10	2.084746e-16	0.1	2.666408e-10	9.238422e-38	0.1	2.666408e-10	5.838765e-34	0.1	2.666408e-10	2.10619e-35	0.1	2.666408e-10	4.512415e-17	0.1	2.666408e-10	5.625268e-16	0.1	2.666408e-10	4.363956e-16	0.1	2.666408e-10	2.148467e-16	0.1	2.666408e-10	1.468375e-16	0.1	2.666408e-10	1.743022e-16	0.1	2.666408e-10	8.105228e-14	0.1	2.666408e-10	1.348982e-10	0.1	2.666408e-10	9.278554e-07	0.1	2.666408e-10	1.011457e-06	0.1	2.666408e-10	6.265738e-07	0.1	2.666408e-10	6.013628e-07	0.1	2.666408e-10	1.214028e-06	0.1	2.666408e-10	1.405791e-06	0.1	2.666408e-10	1.165986e-06	0.1	2.666408e-10	7.817986e-07	0.1
3.01461e-10	1.894005319136e-06	0.1	3.01461e-10	2.203425e-16	0.1	3.01461e-10	1.041311e-37	0.1	3.01461e-10	6.596635e-34	0.1	3.01461e-10	2.382196e-35	0.1	3.01461e-10	4.768755e-17	0.1	3.01461e-10	5.944601e-16	0.1	3.01461e-10	4.612155e-16	0.1	3.01461e-10	2.270601e-16	0.1	3.01461e-10	1.551907e-16	0.1	3.01461e-10	1.842124e-16	0.1	3.01461e-10	8.564534e-14	0.1	3.01461e-10	1.424758e-10	0.1	3.01461e-10	9.790559e-07	0.1	3.01461e-10	1.055088e-06	0.1	3.01461e-10	6.40066e-07	0.1	3.01461e-10	6.145673e-07	0.1	3.01461e-10	1.269539e-06	0.1	3.01461e-10	1.488389e-06	0.1	3.01461e-10	1.231075e-06	0.1	3.01461e-10	8.281152e-07	0.1
3.362812e-10	1.5870022893194e-06	0.1	3.362812e-10	2.303232e-16	0.1	3.362812e-10	1.14685e-37	0.1	3.362812e-10	7.280703e-34	0.1	3.362812e-10	2.631882e-35	0.1	3.362812e-10	4.984283e-17	0.1	3.362812e-10	6.213068e-16	0.1	3.362812e-10	4.820877e-16	0.1	3.362812e-10	2.373302e-16	0.1	3.362812e-10	1.622151e-16	0.1	3.362812e-10	1.925454e-16	0.1	3.362812e-10	8.950622e-14	0.1	3.362812e-10	1.4884e-10	0.1	3.362812e-10	1.021981e-06	0.1	3.362812e-10	1.090676e-06	0.1	3.362812e-10	6.495813e-07	0.1	3.362812e-10	6.239364e-07	0.1	3.362812e-10	1.315226e-06	0.1	3.362812e-10	1.558383e-06	0.1	3.362812e-10	1.285718e-06	0.1	3.362812e-10	8.673993e-07	0.1
3.769562e-10	1.2936284169142e-06	0.1	3.769562e-10	2.399942e-16	0.1	3.769562e-10	1.25532e-37	0.1	3.769562e-10	7.987123e-34	0.1	3.769562e-10	2.890324e-35	0.1	3.769562e-10	5.193078e-17	0.1	3.769562e-10	6.473124e-16	0.1	3.769562e-10	5.023119e-16	0.1	3.769562e-10	2.472806e-16	0.1	3.769562e-10	1.690211e-16	0.1	3.769562e-10	2.006185e-16	0.1	3.769562e-10	9.324572e-14	0.1	3.769562e-10	1.549995e-10	0.1	3.769562e-10	1.063459e-06	0.1	3.769562e-10	1.124221e-06	0.1	3.769562e-10	6.572163e-07	0.1	3.769562e-10	6.315132e-07	0.1	3.769562e-10	1.358681e-06	0.1	3.769562e-10	1.626781e-06	0.1	3.769562e-10	1.338586e-06	0.1	3.769562e-10	9.058197e-07	0.1
4.190949e-10	1.048917421232e-06	0.1	4.190949e-10	2.481554e-16	0.1	4.190949e-10	1.351887e-37	0.1	4.190949e-10	8.619123e-34	0.1	4.190949e-10	3.122103e-35	0.1	4.190949e-10	5.36924e-17	0.1	4.190949e-10	6.692511e-16	0.1	4.190949e-10	5.193792e-16	0.1	4.190949e-10	2.55677e-16	0.1	4.190949e-10	1.747643e-16	0.1	4.190949e-10	2.0743e-16	0.1	4.190949e-10	9.640021e-14	0.1	4.190949e-10	1.601918e-10	0.1	4.190949e-10	1.098374e-06	0.1	4.190949e-10	1.151834e-06	0.1	4.190949e-10	6.62456e-07	0.1	4.190949e-10	6.367675e-07	0.1	4.190949e-10	1.39478e-06	0.1	4.190949e-10	1.685056e-06	0.1	4.190949e-10	1.383145e-06	0.1	4.190949e-10	9.385784e-07	0.1
4.612337e-10	8.519520306186e-07	0.1	4.612337e-10	2.547804e-16	0.1	4.612337e-10	1.433874e-37	0.1	4.612337e-10	9.158222e-34	0.1	4.612337e-10	3.320276e-35	0.1	4.612337e-10	5.512216e-17	0.1	4.612337e-10	6.870548e-16	0.1	4.612337e-10	5.332348e-16	0.1	4.612337e-10	2.624928e-16	0.1	4.612337e-10	1.794262e-16	0.1	4.612337e-10	2.129585e-16	0.1	4.612337e-10	9.896008e-14	0.1	4.612337e-10	1.644031e-10	0.1	4.612337e-10	1.126658e-06	0.1	4.612337e-10	1.173801e-06	0.1	4.612337e-10	6.659075e-07	0.1	4.612337e-10	6.402737e-07	0.1	4.612337e-10	1.423745e-06	0.1	4.612337e-10	1.732835e-06	0.1	4.612337e-10	1.419283e-06	0.1	4.612337e-10	9.654539e-07	0.1
5.120406e-10	6.641998357376e-07	0.1	5.120406e-10	2.61134e-16	0.1	5.120406e-10	1.515732e-37	0.1	5.120406e-10	9.699057e-34	0.1	5.120406e-10	3.519572e-35	0.1	5.120406e-10	5.64931e-17	0.1	5.120406e-10	7.041237e-16	0.1	5.120406e-10	5.465247e-16	0.1	5.120406e-10	2.690294e-16	0.1	5.120406e-10	1.83897e-16	0.1	5.120406e-10	2.182595e-16	0.1	5.120406e-10	1.014144e-13	0.1	5.120406e-10	1.684389e-10	0.1	5.120406e-10	1.153736e-06	0.1	5.120406e-10	1.194513e-06	0.1	5.120406e-10	6.685505e-07	0.1	5.120406e-10	6.430053e-07	0.1	5.120406e-10	1.451292e-06	0.1	5.120406e-10	1.779168e-06	0.1	5.120406e-10	1.453916e-06	0.1	5.120406e-10	9.915303e-07	0.1
5.628475e-10	5.1863662406006e-07	0.1	5.628475e-10	2.660779e-16	0.1	5.628475e-10	1.581771e-37	0.1	5.628475e-10	1.01375e-33	0.1	5.628475e-10	3.681542e-35	0.1	5.628475e-10	5.755966e-17	0.1	5.628475e-10	7.174004e-16	0.1	5.628475e-10	5.568684e-16	0.1	5.628475e-10	2.741159e-16	0.1	5.628475e-10	1.873757e-16	0.1	5.628475e-10	2.223834e-16	0.1	5.628475e-10	1.033237e-13	0.1	5.628475e-10	1.715772e-10	0.1	5.628475e-10	1.174773e-06	0.1	5.628475e-10	1.210409e-06	0.1	5.628475e-10	6.701612e-07	0.1	5.628475e-10	6.447094e-07	0.1	5.628475e-10	1.472615e-06	0.1	5.628475e-10	1.815672e-06	0.1	5.628475e-10	1.480853e-06	0.1	5.628475e-10	1.012083e-06	0.1
6.198092e-10	3.9358131721622006e-07	0.1	6.198092e-10	2.703298e-16	0.1	6.198092e-10	1.640336e-37	0.1	6.198092e-10	1.052814e-33	0.1	6.198092e-10	3.826209e-35	0.1	6.198092e-10	5.847675e-17	0.1	6.198092e-10	7.288137e-16	0.1	6.198092e-10	5.657673e-16	0.1	6.198092e-10	2.78491e-16	0.1	6.198092e-10	1.903674e-16	0.1	6.198092e-10	2.25929e-16	0.1	6.198092e-10	1.049653e-13	0.1	6.198092e-10	1.742748e-10	0.1	6.198092e-10	1.192844e-06	0.1	6.198092e-10	1.223943e-06	0.1	6.198092e-10	6.712392e-07	0.1	6.198092e-10	6.45885e-07	0.1	6.198092e-10	1.490924e-06	0.1	6.198092e-10	1.847484e-06	0.1	6.198092e-10	1.504014e-06	0.1	6.198092e-10	1.029999e-06	0.1
6.808742e-10	2.9317425939754e-07	0.1	6.808742e-10	2.737391e-16	0.1	6.808742e-10	1.688578e-37	0.1	6.808742e-10	1.085141e-33	0.1	6.808742e-10	3.946227e-35	0.1	6.808742e-10	5.921194e-17	0.1	6.808742e-10	7.379601e-16	0.1	6.808742e-10	5.729067e-16	0.1	6.808742e-10	2.819998e-16	0.1	6.808742e-10	1.927662e-16	0.1	6.808742e-10	2.28771e-16	0.1	6.808742e-10	1.062814e-13	0.1	6.808742e-10	1.76437e-10	0.1	6.808742e-10	1.207318e-06	0.1	6.808742e-10	1.234722e-06	0.1	6.808742e-10	6.719018e-07	0.1	6.808742e-10	6.466376e-07	0.1	6.808742e-10	1.505628e-06	0.1	6.808742e-10	1.873369e-06	0.1	6.808742e-10	1.522586e-06	0.1	6.808742e-10	1.044578e-06	0.1
7.468448e-10	2.1350927872902e-07	0.1	7.468448e-10	2.764344e-16	0.1	7.468448e-10	1.727598e-37	0.1	7.468448e-10	1.111405e-33	0.1	7.468448e-10	4.043974e-35	0.1	7.468448e-10	5.9793e-17	0.1	7.468448e-10	7.451852e-16	0.1	7.468448e-10	5.785554e-16	0.1	7.468448e-10	2.847747e-16	0.1	7.468448e-10	1.946625e-16	0.1	7.468448e-10	2.310165e-16	0.1	7.468448e-10	1.073217e-13	0.1	7.468448e-10	1.781457e-10	0.1	7.468448e-10	1.218752e-06	0.1	7.468448e-10	1.243211e-06	0.1	7.468448e-10	6.72301e-07	0.1	7.468448e-10	6.471155e-07	0.1	7.468448e-10	1.517311e-06	0.1	7.468448e-10	1.894161e-06	0.1	7.468448e-10	1.53727e-06	0.1	7.468448e-10	1.056285e-06	0.1
