	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.00013 0.00350 0.55446 0.28085 0.15610 0.00496
700 0.00040 0.00789 0.50643 0.29371 0.18076 0.01082
800 0.00092 0.01447 0.47370 0.29684 0.19519 0.01889
900 0.00173 0.02274 0.44329 0.29714 0.20626 0.02885
1000 0.00284 0.03224 0.41679 0.29464 0.21347 0.04003
1100 0.00422 0.04242 0.39300 0.29049 0.21803 0.05185
1200 0.00583 0.05288 0.37211 0.28514 0.22025 0.06379
1300 0.00763 0.06326 0.35351 0.27917 0.22091 0.07551
1400 0.00956 0.07332 0.33689 0.27296 0.22048 0.08679
1500 0.01157 0.08285 0.32178 0.26683 0.21948 0.09749
1600 0.01366 0.09201 0.30899 0.26055 0.21734 0.10745
1700 0.01575 0.10045 0.29703 0.25470 0.21531 0.11676
1800 0.01789 0.10831 0.28626 0.24909 0.21304 0.12541
1900 0.01991 0.11557 0.27670 0.24380 0.21066 0.13336
2000 0.02193 0.12223 0.26793 0.23887 0.20831 0.14072
