	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.04636 0.40762 0.12637 0.10061 0.18990 0.11609 0.01296 0.00010
700 0.05794 0.37628 0.03734 0.03362 0.32523 0.13353 0.03553 0.00053
800 0.06647 0.34386 0.14937 0.07127 0.19615 0.14172 0.03040 0.00074
900 0.05273 0.22895 0.04115 0.13656 0.35747 0.10762 0.07290 0.00260
1000 0.07208 0.27248 0.14620 0.09090 0.21834 0.14189 0.05541 0.00269
1100 0.05842 0.19718 0.09067 0.13759 0.30572 0.11189 0.09272 0.00581
1200 0.05213 0.16023 0.08296 0.15385 0.32870 0.09756 0.11562 0.00895
1300 0.04002 0.11363 0.06003 0.18352 0.36879 0.07345 0.14694 0.01362
1400 0.06998 0.18593 0.10177 0.13411 0.25596 0.12654 0.11344 0.01227
1500 0.06411 0.16072 0.08987 0.14819 0.27346 0.11434 0.13288 0.01644
1600 0.06957 0.16585 0.09475 0.14195 0.25329 0.12267 0.13335 0.01857
1700 0.07401 0.16886 0.09829 0.13711 0.23754 0.12925 0.13419 0.02074
1800 0.07951 0.17450 0.10334 0.13046 0.21986 0.13771 0.13219 0.02243
1900 0.07979 0.16913 0.10152 0.13160 0.21725 0.13715 0.13809 0.02548
2000 0.08032 0.16505 0.10028 0.13196 0.21389 0.13716 0.14291 0.02843
