Batch	m_SP	18	T1a_L	C5H5	N1a	N1b	N1c	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																	
0.0	1.00000003	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
6.833887e-14	1.00000008	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1	6.833887e-14	0.0	0.1
2.338509e-12	1.00000012	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1	2.338509e-12	0.0	0.1
8.946002e-12	1.00000009	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1	8.946002e-12	0.0	0.1
2.04188e-11	0.99999995	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1	2.04188e-11	0.0	0.1
4.162267e-11	1.00000008	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1	4.162267e-11	0.0	0.1
6.500109e-11	1.00000001	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1	6.500109e-11	0.0	0.1
9.753312e-11	1.00000001	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1	9.753312e-11	0.0	0.1
1.53048e-10	1.0000000599999999	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1	1.53048e-10	0.0	0.1
2.455729e-10	0.9999999500000001	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1	2.455729e-10	0.0	0.1
3.606546e-10	1.0000001	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1	3.606546e-10	0.0	0.1
4.94509e-10	1.0000000900000001	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1	4.94509e-10	0.0	0.1
6.480636e-10	0.9999999900000001	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1	6.480636e-10	0.0	0.1
8.016181e-10	1.0000000000000002	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1	8.016181e-10	0.0	0.1
9.551726e-10	1.00000011	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1	9.551726e-10	0.0	0.1
1.108727e-09	0.9999999	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1	1.108727e-09	0.0	0.1
