Batch	m_SP	16	T4a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	N7a	N7c	N7b																													
0.0	0.99999997	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
6.832948e-14	1.000000065	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1	6.832948e-14	0.0	0.1
1.411995e-12	0.9999999850000001	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1	1.411995e-12	0.0	0.1
5.240001e-12	1.000000011	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1	5.240001e-12	0.0	0.1
1.18199e-11	0.9999999740000001	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1	1.18199e-11	0.0	0.1
2.310269e-11	1.000000099	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1	2.310269e-11	0.0	0.1
3.54158e-11	0.999999939	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1	3.54158e-11	0.0	0.1
5.257242e-11	0.9999999980000002	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1	5.257242e-11	0.0	0.1
8.187868e-11	1.00000003	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1	8.187868e-11	0.0	0.1
1.307225e-10	1.0000000199999999	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1	1.307225e-10	0.0	0.1
