	T[K]	N1a	N1b	N1c	N_2
600 0.02717 0.96425 0.00044 0.00815
700 0.06057 0.89776 0.00153 0.04014
800 0.03188 0.93009 0.00042 0.03761
900 0.06299 0.82653 0.00096 0.10952
1000 0.10042 0.68519 0.00182 0.21257
1100 0.14365 0.55059 0.00272 0.30304
1200 0.19959 0.44939 0.00357 0.34745
1300 0.27281 0.38746 0.00446 0.33527
1400 0.35713 0.36106 0.00559 0.27622
1500 0.43209 0.36471 0.00720 0.19600
1600 0.47495 0.39257 0.00956 0.12292
1700 0.47849 0.43727 0.01287 0.07136
1800 0.45176 0.49029 0.01742 0.04044
1900 0.40891 0.54388 0.02365 0.02347
2000 0.36139 0.59180 0.03223 0.01449
