Batch	m_SP	5	Azln	N1a_L	N7a_L	Nphln	Flvln							
2.304305e-11	9.883408164930001e-06	0.1	2.304305e-11	2.11884324e-14	0.1	2.304305e-11	1.16456783e-07	0.1	2.304305e-11	7.122251e-15	0.1	2.304305e-11	7.11917e-19	0.1
3.747479e-11	9.811142887590001e-06	0.1	3.747479e-11	3.43327504e-14	0.1	3.747479e-11	1.88719172e-07	0.1	3.747479e-11	1.710623e-14	0.1	3.747479e-11	1.153558e-18	0.1
6.633825e-11	9.66819231711e-06	0.1	6.633825e-11	6.033375859999999e-14	0.1	6.633825e-11	3.31662794e-07	0.1	6.633825e-11	4.948747e-14	0.1	6.633825e-11	2.027177e-18	0.1
1.240652e-10	9.38850911397e-06	0.1	1.240652e-10	1.1120476309999999e-13	0.1	1.240652e-10	6.1133221e-07	0.1	1.240652e-10	1.629642e-13	0.1	1.240652e-10	3.736414e-18	0.1
2.395191e-10	8.85318246729e-06	0.1	2.395191e-10	2.08574539e-13	0.1	2.395191e-10	1.14663418e-06	0.1	2.395191e-10	5.774703e-13	0.1	2.395191e-10	7.007984e-18	0.1
4.321289e-10	8.02717572744e-06	0.1	4.321289e-10	3.5881558e-13	0.1	4.321289e-10	1.97260208e-06	0.1	4.321289e-10	1.788259e-12	0.1	4.321289e-10	1.2056e-17	0.1
6.931729e-10	7.02931270617e-06	0.1	6.931729e-10	5.403151530000001e-13	0.1	6.931729e-10	2.97041774e-06	0.1	6.931729e-10	4.358661e-12	0.1	6.931729e-10	1.815428e-17	0.1
1.027935e-09	5.92901970921e-06	0.1	1.027935e-09	7.404455369999999e-13	0.1	1.027935e-09	4.0706589e-06	0.1	1.027935e-09	8.997967e-12	0.1	1.027935e-09	2.487855e-17	0.1
1.397716e-09	4.91268487266e-06	0.1	1.397716e-09	9.253049579999999e-13	0.1	1.397716e-09	5.0869446e-06	0.1	1.397716e-09	1.557028e-11	0.1	1.397716e-09	3.108972e-17	0.1
1.907579e-09	3.79069709265e-06	0.1	1.907579e-09	1.1293814159999999e-12	0.1	1.907579e-09	6.208880199999999e-06	0.1	1.907579e-09	2.65751e-11	0.1	1.907579e-09	3.794657e-17	0.1
2.417441e-09	2.92495475016e-06	0.1	2.417441e-09	1.286849659e-12	0.1	2.417441e-09	7.0745811e-06	0.1	2.417441e-09	3.924858e-11	0.1	2.417441e-09	4.323742e-17	0.1
2.927304e-09	2.25693643041e-06	0.1	2.927304e-09	1.4083545230000002e-12	0.1	2.927304e-09	7.7425681e-06	0.1	2.927304e-09	5.308887e-11	0.1	2.927304e-09	4.731991e-17	0.1
3.437166e-09	1.7414835849900002e-06	0.1	3.437166e-09	1.5021091800000003e-12	0.1	3.437166e-09	8.2579959e-06	0.1	3.437166e-09	6.771222e-11	0.1	3.437166e-09	5.047002e-17	0.1
3.947029e-09	1.34375356233e-06	0.1	3.947029e-09	1.5744518040000001e-12	0.1	3.947029e-09	8.655707800000001e-06	0.1	3.947029e-09	8.282592e-11	0.1	3.947029e-09	5.290068e-17	0.1
4.456891e-09	1.03685863131e-06	0.1	4.456891e-09	1.6302721969999998e-12	0.1	4.456891e-09	8.9625879e-06	0.1	4.456891e-09	9.820739e-11	0.1	4.456891e-09	5.477622e-17	0.1
4.966754e-09	8.00055099369e-07	0.1	4.966754e-09	1.6733441309999998e-12	0.1	4.966754e-09	9.199380299999999e-06	0.1	4.966754e-09	1.136881e-10	0.1	4.966754e-09	5.622341e-17	0.1
5.476616e-09	6.17333726601e-07	0.1	5.476616e-09	1.706578993e-12	0.1	5.476616e-09	9.3820932e-06	0.1	5.476616e-09	1.29141e-10	0.1	5.476616e-09	5.734009e-17	0.1
5.986479e-09	4.76343436518e-07	0.1	5.986479e-09	1.7322235559999997e-12	0.1	5.986479e-09	9.5230776e-06	0.1	5.986479e-09	1.444713e-10	0.1	5.986479e-09	5.820173e-17	0.1
6.559626e-09	3.55913340831e-07	0.1	6.559626e-09	1.754128231e-12	0.1	6.559626e-09	9.643501300000001e-06	0.1	6.559626e-09	1.614712e-10	0.1	6.559626e-09	5.893772e-17	0.1
7.174964e-09	2.6028599711400004e-07	0.1	7.174964e-09	1.771521608e-12	0.1	7.174964e-09	9.7391249e-06	0.1	7.174964e-09	1.793701e-10	0.1	7.174964e-09	5.952213e-17	0.1
7.790301e-09	1.9035209646000002e-07	0.1	7.790301e-09	1.784242084e-12	0.1	7.790301e-09	9.809054900000001e-06	0.1	7.790301e-09	1.968457e-10	0.1	7.790301e-09	5.994952e-17	0.1
8.405639e-09	1.39208007906e-07	0.1	8.405639e-09	1.7935442890000003e-12	0.1	8.405639e-09	9.860197e-06	0.1	8.405639e-09	2.138594e-10	0.1	8.405639e-09	6.026208e-17	0.1
