	T[K]	N1a	N1b	N1c	N_2
600 0.70127 0.27655 0.01350 0.00632
700 0.57261 0.38649 0.03277 0.00539
800 0.46543 0.46745 0.05922 0.00466
900 0.38244 0.52092 0.08932 0.00413
1000 0.31986 0.55398 0.12006 0.00373
1100 0.27182 0.57138 0.14905 0.00344
1200 0.23613 0.58190 0.17621 0.00323
1300 0.20784 0.58476 0.19999 0.00308
1400 0.18610 0.58556 0.22144 0.00298
1500 0.16886 0.58449 0.24034 0.00292
1600 0.15493 0.58220 0.25685 0.00288
1700 0.14358 0.57948 0.27133 0.00287
1800 0.13424 0.57665 0.28402 0.00287
1900 0.12623 0.57284 0.29462 0.00289
2000 0.11965 0.57001 0.30424 0.00292
