	T[K]	N1a	N1b	N1c	N_2
600 0.67319 0.30313 0.01601 0.00514
700 0.57200 0.38826 0.03226 0.00434
800 0.48685 0.45337 0.05307 0.00381
900 0.41714 0.50003 0.07662 0.00343
1000 0.36087 0.53219 0.10137 0.00315
1100 0.31464 0.55210 0.12588 0.00294
1200 0.27789 0.56564 0.15002 0.00279
1300 0.24763 0.57323 0.17300 0.00267
1400 0.22266 0.57698 0.19472 0.00258
1500 0.20174 0.57777 0.21502 0.00251
1600 0.18410 0.57657 0.23393 0.00245
1700 0.16909 0.57408 0.25153 0.00241
1800 0.15621 0.57065 0.26788 0.00238
1900 0.14506 0.56658 0.28306 0.00236
2000 0.13535 0.56218 0.29720 0.00235
