	T[K]	N1a	N1b	N1c	N_2
600 0.78086 0.20162 0.00738 0.00859
700 0.66717 0.30434 0.01971 0.00721
800 0.56042 0.39311 0.03862 0.00616
900 0.46925 0.46167 0.06222 0.00534
1000 0.39488 0.51092 0.08815 0.00470
1100 0.33525 0.54425 0.11436 0.00421
1200 0.28825 0.56672 0.13979 0.00382
1300 0.25070 0.58077 0.16351 0.00352
1400 0.22059 0.58925 0.18527 0.00329
1500 0.19630 0.59417 0.20508 0.00310
1600 0.17639 0.59642 0.22288 0.00295
1700 0.15995 0.59705 0.23885 0.00283
1800 0.14620 0.59653 0.25311 0.00274
1900 0.13463 0.59545 0.26592 0.00266
2000 0.12479 0.59393 0.27736 0.00260
