	T[K]	N1a	N1b	N1c	N_2
600 0.84616 0.14334 0.00320 0.00730
700 0.74166 0.24073 0.01034 0.00646
800 0.63245 0.33617 0.02347 0.00580
900 0.53333 0.41713 0.04233 0.00525
1000 0.44832 0.47826 0.06521 0.00479
1100 0.37966 0.52253 0.09044 0.00443
1200 0.32401 0.55173 0.11620 0.00413
1300 0.27964 0.57045 0.14152 0.00390
1400 0.24472 0.58311 0.16616 0.00373
1500 0.21589 0.58886 0.18892 0.00358
1600 0.19234 0.59077 0.20996 0.00347
1700 0.17326 0.59122 0.22972 0.00340
1800 0.15710 0.58896 0.24747 0.00334
1900 0.14372 0.58636 0.26401 0.00330
2000 0.13232 0.58283 0.27904 0.00327
