Batch	m_SP	5	Flvln	N1a_L	N7a_L	Nphln	Azln							
1.078187e-11	9.87340726494e-06	0.1	1.078187e-11	1.2227865319999998e-07	0.1	1.078187e-11	5.9786226e-10	0.1	1.078187e-11	2.851764e-09	0.1	1.078187e-11	7.19377e-10	0.1
1.815098e-11	9.78787412028e-06	0.1	1.815098e-11	2.0496175829999999e-07	0.1	1.815098e-11	1.020821e-09	0.1	1.815098e-11	4.780697e-09	0.1	1.815098e-11	1.205814e-09	0.1
3.202687e-11	9.6288237108e-06	0.1	3.202687e-11	3.58713159e-07	0.1	3.202687e-11	1.8089463e-09	0.1	3.202687e-11	8.3687e-09	0.1	3.202687e-11	2.110356e-09	0.1
5.908106e-11	9.326112737940001e-06	0.1	5.908106e-11	6.513387709999999e-07	0.1	5.908106e-11	3.3130546999999997e-09	0.1	5.908106e-11	1.520106e-08	0.1	5.908106e-11	3.831916e-09	0.1
9.276625e-11	8.96247337437e-06	0.1	9.276625e-11	1.0028623199999999e-06	0.1	9.276625e-11	5.125855599999999e-09	0.1	9.276625e-11	2.341374e-08	0.1	9.276625e-11	5.899983e-09	0.1
1.331885e-10	8.54477355141e-06	0.1	1.331885e-10	1.406645516e-06	0.1	1.331885e-10	7.2144965e-09	0.1	1.331885e-10	3.285284e-08	0.1	1.331885e-10	8.275503e-09	0.1
2.005589e-10	7.89141708504e-06	0.1	2.005589e-10	2.0382334650000004e-06	0.1	2.005589e-10	1.0491328e-08	0.1	2.005589e-10	4.762575e-08	0.1	2.005589e-10	1.199124e-08	0.1
3.352996e-10	6.73075769175e-06	0.1	3.352996e-10	3.160223505e-06	0.1	3.352996e-10	1.6329946e-08	0.1	3.352996e-10	7.388429e-08	0.1	3.352996e-10	1.859208e-08	0.1
4.871075e-10	5.6262807366300005e-06	0.1	4.871075e-10	4.22790259e-06	0.1	4.871075e-10	2.1895516999999998e-08	0.1	4.871075e-10	9.888004e-08	0.1	4.871075e-10	2.487341e-08	0.1
6.645159e-10	4.56301236942e-06	0.1	6.645159e-10	5.255745540000001e-06	0.1	6.645159e-10	2.72565e-08	0.1	6.645159e-10	1.229458e-07	0.1	6.645159e-10	3.092039e-08	0.1
8.419244e-10	3.7006829928000003e-06	0.1	8.419244e-10	6.08934477e-06	0.1	8.419244e-10	3.1605041e-08	0.1	8.419244e-10	1.424642e-07	0.1	8.419244e-10	3.582459e-08	0.1
1.019333e-09	3.00131798652e-06	0.1	1.019333e-09	6.765409260000001e-06	0.1	1.019333e-09	3.5131913e-08	0.1	1.019333e-09	1.582941e-07	0.1	1.019333e-09	3.980198e-08	0.1
1.196741e-09	2.43412165854e-06	0.1	1.196741e-09	7.31370717e-06	0.1	1.196741e-09	3.7992293000000004e-08	0.1	1.196741e-09	1.711324e-07	0.1	1.196741e-09	4.302772e-08	0.1
1.37415e-09	1.9741152586500003e-06	0.1	1.37415e-09	7.75838635e-06	0.1	1.37415e-09	4.0312119999999996e-08	0.1	1.37415e-09	1.815445e-07	0.1	1.37415e-09	4.564385e-08	0.1
1.565887e-09	1.5741832580100002e-06	0.1	1.565887e-09	8.14499468e-06	0.1	1.565887e-09	4.2328978e-08	0.1	1.565887e-09	1.905968e-07	0.1	1.565887e-09	4.791832e-08	0.1
1.779117e-09	1.2238197616800002e-06	0.1	1.779117e-09	8.48368545e-06	0.1	1.779117e-09	4.4095874999999996e-08	0.1	1.779117e-09	1.985272e-07	0.1	1.779117e-09	4.991089e-08	0.1
1.992347e-09	9.51435185553e-07	0.1	1.992347e-09	8.746994990000001e-06	0.1	1.992347e-09	4.546951e-08	0.1	1.992347e-09	2.046925e-07	0.1	1.992347e-09	5.145998e-08	0.1
2.205577e-09	7.39675403172e-07	0.1	2.205577e-09	8.95169841e-06	0.1	2.205577e-09	4.6537422e-08	0.1	2.205577e-09	2.094857e-07	0.1	2.205577e-09	5.266429e-08	0.1
2.418807e-09	5.75046649476e-07	0.1	2.418807e-09	9.110841900000001e-06	0.1	2.418807e-09	4.7367648e-08	0.1	2.418807e-09	2.13212e-07	0.1	2.418807e-09	5.360056e-08	0.1
2.667171e-09	4.28893411023e-07	0.1	2.667171e-09	9.2521267e-06	0.1	2.667171e-09	4.8104704e-08	0.1	2.667171e-09	2.165201e-07	0.1	2.667171e-09	5.443176e-08	0.1
2.924319e-09	3.1658603410800005e-07	0.1	2.924319e-09	9.360693260000001e-06	0.1	2.924319e-09	4.8671066e-08	0.1	2.924319e-09	2.190622e-07	0.1	2.924319e-09	5.507047e-08	0.1
3.181467e-09	2.33686763109e-07	0.1	3.181467e-09	9.440829859999999e-06	0.1	3.181467e-09	4.9089145e-08	0.1	3.181467e-09	2.209386e-07	0.1	3.181467e-09	5.554193e-08	0.1
3.438614e-09	1.72494975033e-07	0.1	3.438614e-09	9.499983289999999e-06	0.1	3.438614e-09	4.9397725e-08	0.1	3.438614e-09	2.223236e-07	0.1	3.438614e-09	5.588994e-08	0.1
3.748513e-09	1.1963810360700001e-07	0.1	3.748513e-09	9.55107945e-06	0.1	3.748513e-09	4.9664296e-08	0.1	3.748513e-09	2.2352e-07	0.1	3.748513e-09	5.619054e-08	0.1
