Batch	m_SP	5	N1a_L	N7a_L	Nphln	Flvln	Azln							
7.903663e-08	0.98885248051	0.1	7.903663e-08	0.010978644559999999	0.1	7.903663e-08	6.151416e-05	0.1	7.903663e-08	1.430886e-05	0.1	7.903663e-08	1.099383e-09	0.1
9.103512e-08	0.9871687835399999	0.1	9.103512e-08	0.012634495780000001	0.1	9.103512e-08	7.328767e-05	0.1	9.103512e-08	1.646694e-05	0.1	9.103512e-08	1.265192e-09	0.1
1.055051e-07	0.9851419166000001	0.1	1.055051e-07	0.01462763188	0.1	1.055051e-07	8.75179e-05	0.1	1.055051e-07	1.906462e-05	0.1	1.055051e-07	1.464778e-09	0.1
1.212386e-07	0.98294290413	0.1	1.212386e-07	0.01679012286	0.1	1.212386e-07	0.00010299	0.1	1.212386e-07	2.188301e-05	0.1	1.212386e-07	1.681322e-09	0.1
1.388672e-07	0.98048476328	0.1	1.388672e-07	0.0192073096	0.1	1.388672e-07	0.0001203008	0.1	1.388672e-07	2.503335e-05	0.1	1.388672e-07	1.923369e-09	0.1
1.609726e-07	0.9774112238799999	0.1	1.609726e-07	0.02222974876	0.1	1.609726e-07	0.0001419548	0.1	1.609726e-07	2.897252e-05	0.1	1.609726e-07	2.226025e-09	0.1
1.870305e-07	0.9738005430100001	0.1	1.870305e-07	0.02578033098	0.1	1.870305e-07	0.0001673965	0.1	1.870305e-07	3.360001e-05	0.1	1.870305e-07	2.581566e-09	0.1
2.180029e-07	0.9695264552599999	0.1	2.180029e-07	0.029983347460000004	0.1	2.180029e-07	0.0001975144	0.1	2.180029e-07	3.907784e-05	0.1	2.180029e-07	3.00244e-09	0.1
2.580935e-07	0.9640220774699999	0.1	2.580935e-07	0.0353961437	0.1	2.580935e-07	0.0002363016	0.1	2.580935e-07	4.613237e-05	0.1	2.580935e-07	3.544456e-09	0.1
3.155565e-07	0.95618734937	0.1	3.155565e-07	0.0431004636	0.1	3.155565e-07	0.0002915096	0.1	3.155565e-07	5.617347e-05	0.1	3.155565e-07	4.315936e-09	0.1
4.02085e-07	0.94451072253	0.1	4.02085e-07	0.0545828267	0.1	4.02085e-07	0.0003737905	0.1	4.02085e-07	7.113853e-05	0.1	4.02085e-07	5.465736e-09	0.1
5.504196e-07	0.9248269180099999	0.1	5.504196e-07	0.07393910629999999	0.1	5.504196e-07	0.0005124947	0.1	5.504196e-07	9.636572e-05	0.1	5.504196e-07	7.403999e-09	0.1
7.976438e-07	0.89293462366	0.1	7.976438e-07	0.10530067709999999	0.1	7.976438e-07	0.0007372271	0.1	7.976438e-07	0.0001372395	0.1	7.976438e-07	1.054442e-08	0.1
1.275246e-06	0.8344260341	0.1	1.275246e-06	0.16283585890000002	0.1	1.275246e-06	0.001149515	0.1	1.275246e-06	0.0002122255	0.1	1.275246e-06	1.630577e-08	0.1
1.872511e-06	0.7666573428	0.1	1.872511e-06	0.2294769054	0.1	1.872511e-06	0.001627055	0.1	1.872511e-06	0.0002990793	0.1	1.872511e-06	2.297895e-08	0.1
2.649269e-06	0.6867347705799999	0.1	2.649269e-06	0.30806962200000004	0.1	2.649269e-06	0.002190239	0.1	2.649269e-06	0.0004015098	0.1	2.649269e-06	3.084892e-08	0.1
3.426027e-06	0.61518680619	0.1	3.426027e-06	0.378427108	0.1	3.426027e-06	0.00269441	0.1	3.426027e-06	0.0004932073	0.1	3.426027e-06	3.789425e-08	0.1
4.202785e-06	0.5511273526599999	0.1	4.202785e-06	0.441420652	0.1	4.202785e-06	0.003145813	0.1	4.202785e-06	0.0005753072	0.1	4.202785e-06	4.420217e-08	0.1
4.979543e-06	0.49376592365	0.1	4.979543e-06	0.49782760600000003	0.1	4.979543e-06	0.003550017	0.1	4.979543e-06	0.0006488228	0.1	4.979543e-06	4.985055e-08	0.1
5.756301e-06	0.44239678344999994	0.1	5.756301e-06	0.548341993	0.1	5.756301e-06	0.003911995	0.1	5.756301e-06	0.0007146586	0.1	5.756301e-06	5.490886e-08	0.1
6.533059e-06	0.39638961418	0.1	6.533059e-06	0.593583724	0.1	6.533059e-06	0.00423619	0.1	6.533059e-06	0.0007736225	0.1	6.533059e-06	5.943919e-08	0.1
7.309818e-06	0.35518118901	0.1	7.309818e-06	0.634106432	0.1	7.309818e-06	0.004526571	0.1	7.309818e-06	0.0008264361	0.1	7.309818e-06	6.349698e-08	0.1
8.179813e-06	0.3141041077100001	0.1	8.179813e-06	0.67450002	0.1	8.179813e-06	0.004816025	0.1	8.179813e-06	0.0008790813	0.1	8.179813e-06	6.754183e-08	0.1
9.111966e-06	0.27536133607	0.1	9.111966e-06	0.71259815	0.1	9.111966e-06	0.00508903	0.1	9.111966e-06	0.0009287349	0.1	9.111966e-06	7.135683e-08	0.1
1.004412e-05	0.2414069536	0.1	1.004412e-05	0.745987565	0.1	1.004412e-05	0.005328294	0.1	1.004412e-05	0.0009722517	0.1	1.004412e-05	7.470032e-08	0.1
1.097627e-05	0.21164678067	0.1	1.097627e-05	0.7752525849999999	0.1	1.097627e-05	0.005538003	0.1	1.097627e-05	0.001010393	0.1	1.097627e-05	7.76308e-08	0.1
1.190843e-05	0.18556113136999997	0.1	1.190843e-05	0.800904171	0.1	1.190843e-05	0.005721818	0.1	1.190843e-05	0.001043825	0.1	1.190843e-05	8.019946e-08	0.1
1.284058e-05	0.16269487774000002	0.1	1.284058e-05	0.82338985	0.1	1.284058e-05	0.005882948	0.1	1.284058e-05	0.001073131	0.1	1.284058e-05	8.245109e-08	0.1
1.377273e-05	0.14264983152	0.1	1.377273e-05	0.8431014229999999	0.1	1.377273e-05	0.006024198	0.1	1.377273e-05	0.001098821	0.1	1.377273e-05	8.442493e-08	0.1
1.470489e-05	0.12507703611999998	0.1	1.470489e-05	0.860381849	0.1	1.470489e-05	0.006148027	0.1	1.470489e-05	0.001121343	0.1	1.470489e-05	8.615532e-08	0.1
1.563704e-05	0.109670972988	0.1	1.563704e-05	0.875531587	0.1	1.563704e-05	0.006256587	0.1	1.563704e-05	0.001141087	0.1	1.563704e-05	8.767236e-08	0.1
1.656919e-05	0.09616405705400001	0.1	1.656919e-05	0.888813769	0.1	1.656919e-05	0.006351765	0.1	1.656919e-05	0.001158398	0.1	1.656919e-05	8.900238e-08	0.1
1.750135e-05	0.08432181156099999	0.1	1.750135e-05	0.900458953	0.1	1.750135e-05	0.006435213	0.1	1.750135e-05	0.001173575	0.1	1.750135e-05	9.016849e-08	0.1
1.84335e-05	0.073938789267	0.1	1.84335e-05	0.910669207	0.1	1.84335e-05	0.006508378	0.1	1.84335e-05	0.001186882	0.1	1.84335e-05	9.11909e-08	0.1
1.936566e-05	0.06483498892500002	0.1	1.936566e-05	0.9196215270000001	0.1	1.936566e-05	0.006572529	0.1	1.936566e-05	0.00119855	0.1	1.936566e-05	9.208735e-08	0.1
2.029781e-05	0.05685264809800001	0.1	2.029781e-05	0.927471006	0.1	2.029781e-05	0.006628778	0.1	2.029781e-05	0.00120878	0.1	2.029781e-05	9.287338e-08	0.1
2.122996e-05	0.049853472504999996	0.1	2.122996e-05	0.934353772	0.1	2.122996e-05	0.006678098	0.1	2.122996e-05	0.001217751	0.1	2.122996e-05	9.356258e-08	0.1
2.216212e-05	0.043716300608	0.1	2.216212e-05	0.940388837	0.1	2.216212e-05	0.006721345	0.1	2.216212e-05	0.001225616	0.1	2.216212e-05	9.416691e-08	0.1
2.309427e-05	0.038334871821	0.1	2.309427e-05	0.945680707	0.1	2.309427e-05	0.006759265	0.1	2.309427e-05	0.001232513	0.1	2.309427e-05	9.469682e-08	0.1
2.402642e-05	0.033616079337999996	0.1	2.402642e-05	0.950321026	0.1	2.402642e-05	0.006792517	0.1	2.402642e-05	0.001238561	0.1	2.402642e-05	9.516148e-08	0.1
2.495858e-05	0.029478296292000005	0.1	2.495858e-05	0.9543899630000001	0.1	2.495858e-05	0.006821674	0.1	2.495858e-05	0.001243864	0.1	2.495858e-05	9.556893e-08	0.1
