Batch	m_SP	5	Nphln	N1a_L	N7a_L	Flvln	Azln							
2.480699e-08	9.891160087410002e-06	0.1	2.480699e-08	1.4598276839999998e-10	0.1	2.480699e-08	1.07571007e-07	0.1	2.480699e-08	4.710605e-11	0.1	2.480699e-08	1.184766e-11	0.1
5.103665e-08	9.77798621916e-06	0.1	5.103665e-08	2.98623963e-10	0.1	5.103665e-08	2.2054359e-07	0.1	5.103665e-08	9.655021e-11	0.1	5.103665e-08	2.429471e-11	0.1
1.03496e-07	9.55550844396e-06	0.1	1.03496e-07	5.986869270000001e-10	0.1	1.03496e-07	4.4262572e-07	0.1	1.03496e-07	1.937478e-10	0.1	1.03496e-07	4.876319e-11	0.1
2.084146e-07	9.125623742850001e-06	0.1	2.084146e-07	1.1784861360000001e-09	0.1	2.084146e-07	8.7174582e-07	0.1	2.084146e-07	3.815588e-10	0.1	2.084146e-07	9.604261e-11	0.1
3.854691e-07	8.44357856337e-06	0.1	3.854691e-07	2.098383393e-09	0.1	3.854691e-07	1.55257887e-06	0.1	3.854691e-07	6.795356e-10	0.1	3.854691e-07	1.710552e-10	0.1
6.31383e-07	7.5800141991000005e-06	0.1	6.31383e-07	3.26310094e-09	0.1	6.31383e-07	2.4146078e-06	0.1	6.31383e-07	1.056816e-09	0.1	6.31383e-07	2.660314e-10	0.1
1.021047e-06	6.38886011076e-06	0.1	1.021047e-06	4.86964988e-09	0.1	1.021047e-06	3.6036439e-06	0.1	1.021047e-06	1.577215e-09	0.1	1.021047e-06	3.970366e-10	0.1
1.41071e-06	5.38488815058e-06	0.1	1.41071e-06	6.2237388999999995e-09	0.1	1.41071e-06	4.605830699999999e-06	0.1	1.41071e-06	2.015838e-09	0.1	1.41071e-06	5.074551e-10	0.1
1.963061e-06	4.22602173936e-06	0.1	1.963061e-06	7.78674044e-09	0.1	1.963061e-06	5.7626383e-06	0.1	1.963061e-06	2.522132e-09	0.1	1.963061e-06	6.349093e-10	0.1
2.556083e-06	3.25789542072e-06	0.1	2.556083e-06	9.09248494e-09	0.1	2.556083e-06	6.729042e-06	0.1	2.556083e-06	2.945093e-09	0.1	2.556083e-06	7.413855e-10	0.1
3.149105e-06	2.51155388421e-06	0.1	3.149105e-06	1.0099098799999998e-08	0.1	3.149105e-06	7.474056799999999e-06	0.1	3.149105e-06	3.27116e-09	0.1	3.149105e-06	8.234694e-10	0.1
3.742127e-06	1.93618963791e-06	0.1	3.742127e-06	1.0875111380000001e-08	0.1	3.742127e-06	8.0483981e-06	0.1	3.742127e-06	3.522529e-09	0.1	3.742127e-06	8.86749e-10	0.1
4.335149e-06	1.49263407351e-06	0.1	4.335149e-06	1.1473350579999999e-08	0.1	4.335149e-06	8.4911652e-06	0.1	4.335149e-06	3.716313e-09	0.1	4.335149e-06	9.35532e-10	0.1
4.928171e-06	1.15069049298e-06	0.1	4.928171e-06	1.193453908e-08	0.1	4.928171e-06	8.8325005e-06	0.1	4.928171e-06	3.865704e-09	0.1	4.928171e-06	9.731395e-10	0.1
5.521193e-06	8.87082529086e-07	0.1	5.521193e-06	1.2290076800000001e-08	0.1	5.521193e-06	9.095640299999999e-06	0.1	5.521193e-06	3.980871e-09	0.1	5.521193e-06	1.002132e-09	0.1
6.114215e-06	6.83863461297e-07	0.1	6.114215e-06	1.2564165170000001e-08	0.1	6.114215e-06	9.298497699999999e-06	0.1	6.114215e-06	4.069654e-09	0.1	6.114215e-06	1.024482e-09	0.1
6.707237e-06	5.27199327954e-07	0.1	6.707237e-06	1.277546271e-08	0.1	6.707237e-06	9.4548831e-06	0.1	6.707237e-06	4.138099e-09	0.1	6.707237e-06	1.041712e-09	0.1
7.34776e-06	3.98042319537e-07	0.1	7.34776e-06	1.294966191e-08	0.1	7.34776e-06	9.5838109e-06	0.1	7.34776e-06	4.194526e-09	0.1	7.34776e-06	1.055917e-09	0.1
8.059536e-06	2.91277787193e-07	0.1	8.059536e-06	1.3093658269999999e-08	0.1	8.059536e-06	9.690385e-06	0.1	8.059536e-06	4.24117e-09	0.1	8.059536e-06	1.067659e-09	0.1
8.771311e-06	2.1315006847800002e-07	0.1	8.771311e-06	1.31990321e-08	0.1	8.771311e-06	9.768374400000002e-06	0.1	8.771311e-06	4.275303e-09	0.1	8.771311e-06	1.076252e-09	0.1
9.483086e-06	1.55978140203e-07	0.1	9.483086e-06	1.327614168e-08	0.1	9.483086e-06	9.8254449e-06	0.1	9.483086e-06	4.300281e-09	0.1	9.483086e-06	1.08254e-09	0.1
1.02853e-05	1.09700502984e-07	0.1	1.02853e-05	1.333855623e-08	0.1	1.02853e-05	9.87164e-06	0.1	1.02853e-05	4.320499e-09	0.1	1.02853e-05	1.087629e-09	0.1
