	T[K]	N1a	N1b	N1c	N_2
600 0.02286 0.96713 0.00314 0.00687
700 0.02084 0.96509 0.00014 0.01393
800 0.03730 0.91780 0.00021 0.04469
900 0.08250 0.76492 0.00039 0.15219
1000 0.12952 0.54410 0.00057 0.32580
1100 0.15953 0.34409 0.00068 0.49570
1200 0.17385 0.21241 0.00070 0.61304
1300 0.18153 0.13292 0.00068 0.68487
1400 0.18859 0.08751 0.00065 0.72325
1500 0.19652 0.06073 0.00061 0.74214
1600 0.20627 0.04426 0.00058 0.74889
1700 0.21966 0.03367 0.00055 0.74612
1800 0.22844 0.02654 0.00053 0.74449
1900 0.24061 0.02158 0.00051 0.73730
2000 0.25902 0.01803 0.00049 0.72247
