	T[K]	N1a	N1b	N1c	N_2
600 0.00178 0.99582 0.00004 0.00053
700 0.00881 0.98369 0.00009 0.00586
800 0.02584 0.94185 0.00017 0.03053
900 0.05492 0.84729 0.00033 0.09610
1000 0.09542 0.69307 0.00063 0.20957
1100 0.14238 0.52072 0.00123 0.33454
1200 0.19456 0.40414 0.00231 0.39829
1300 0.26335 0.35110 0.00354 0.38165
1400 0.34733 0.33619 0.00493 0.31136
1500 0.42377 0.34671 0.00667 0.22271
1600 0.46806 0.37763 0.00906 0.14514
1700 0.47085 0.41852 0.01220 0.09835
1800 0.36041 0.21458 0.00657 0.41726
1900 0.32471 0.14147 0.00469 0.52771
2000 0.31670 0.09891 0.00364 0.57878
