Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
8.801234e-12	0.9889276504	0.1	8.801234e-12	0.0002512017	0.1	8.801234e-12	1.522978e-06	0.1	8.801234e-12	0.0001431923	0.1	8.801234e-12	4.209505e-06	0.1	8.801234e-12	0.003911877	0.1	8.801234e-12	0.004222941	0.1	8.801234e-12	0.0003682804	0.1	8.801234e-12	0.001081097	0.1	8.801234e-12	3.379539e-06	0.1	8.801234e-12	6.805806e-08	0.1
9.93024e-12	0.9875223017	0.1	9.93024e-12	0.0002506526	0.1	9.93024e-12	1.519697e-06	0.1	9.93024e-12	0.0001616452	0.1	9.93024e-12	4.200765e-06	0.1	9.93024e-12	0.00420114	0.1	9.93024e-12	0.004971246	0.1	9.93024e-12	0.0004425595	0.1	9.93024e-12	0.001218311	0.1	9.93024e-12	3.979982e-06	0.1	9.93024e-12	7.795745e-08	0.1
1.138467e-11	0.9857167438	0.1	1.138467e-11	0.000249944	0.1	1.138467e-11	1.515457e-06	0.1	1.138467e-11	0.0001853014	0.1	1.138467e-11	4.188898e-06	0.1	1.138467e-11	0.00452154	0.1	1.138467e-11	0.005973546	0.1	1.138467e-11	0.0005482278	0.1	1.138467e-11	0.00139459	0.1	1.138467e-11	4.803626e-06	0.1	1.138467e-11	9.104265e-08	0.1
1.292045e-11	0.9838162848999998	0.1	1.292045e-11	0.0002491962	0.1	1.292045e-11	1.510972e-06	0.1	1.292045e-11	0.0002101402	0.1	1.292045e-11	4.176203e-06	0.1	1.292045e-11	0.004805048	0.1	1.292045e-11	0.007069502	0.1	1.292045e-11	0.0006722258	0.1	1.292045e-11	0.00158014	0.1	1.292045e-11	5.733106e-06	0.1	1.292045e-11	1.052491e-07	0.1
1.445623e-11	0.9819218699	0.1	1.445623e-11	0.0002484494	0.1	1.445623e-11	1.506485e-06	0.1	1.445623e-11	0.0002348349	0.1	1.445623e-11	4.163516e-06	0.1	1.445623e-11	0.005040968	0.1	1.445623e-11	0.008195198	0.1	1.445623e-11	0.0008091657	0.1	1.445623e-11	0.001765089	0.1	1.445623e-11	6.722478e-06	0.1	1.445623e-11	1.198392e-07	0.1
1.599201e-11	0.9800336028	0.1	1.599201e-11	0.0002477043	0.1	1.599201e-11	1.502e-06	0.1	1.599201e-11	0.0002593862	0.1	1.599201e-11	4.150881e-06	0.1	1.599201e-11	0.005236794	0.1	1.599201e-11	0.009343044	0.1	1.599201e-11	0.0009591746	0.1	1.599201e-11	0.001949439	0.1	1.599201e-11	7.770404e-06	0.1	1.599201e-11	1.347987e-07	0.1
1.75278e-11	0.9781512874	0.1	1.75278e-11	0.0002469611	0.1	1.75278e-11	1.497521e-06	0.1	1.75278e-11	0.0002837948	0.1	1.75278e-11	4.138307e-06	0.1	1.75278e-11	0.005398847	0.1	1.75278e-11	0.01050668	0.1	1.75278e-11	0.001122328	0.1	1.75278e-11	0.002133194	0.1	1.75278e-11	8.875711e-06	0.1	1.75278e-11	1.501157e-07	0.1
1.937116e-11	0.9759001098	0.1	1.937116e-11	0.0002460722	0.1	1.937116e-11	1.492157e-06	0.1	1.937116e-11	0.0003129042	0.1	1.937116e-11	4.123301e-06	0.1	1.937116e-11	0.005556196	0.1	1.937116e-11	0.01191676	0.1	1.937116e-11	0.001335555	0.1	1.937116e-11	0.002352969	0.1	1.937116e-11	1.02767e-05	0.1	1.937116e-11	1.689583e-07	0.1
2.121452e-11	0.9736573732	0.1	2.121452e-11	0.0002451871	0.1	2.121452e-11	1.48681e-06	0.1	2.121452e-11	0.0003418102	0.1	2.121452e-11	4.10839e-06	0.1	2.121452e-11	0.005680156	0.1	2.121452e-11	0.01333438	0.1	2.121452e-11	0.001567748	0.1	2.121452e-11	0.002571898	0.1	2.121452e-11	1.175727e-05	0.1	2.121452e-11	1.882869e-07	0.1
2.305789e-11	0.9714233829	0.1	2.305789e-11	0.0002443062	0.1	2.305789e-11	1.481484e-06	0.1	2.305789e-11	0.0003705139	0.1	2.305789e-11	4.093574e-06	0.1	2.305789e-11	0.00577695	0.1	2.305789e-11	0.01475344	0.1	2.305789e-11	0.001818836	0.1	2.305789e-11	0.002789987	0.1	2.305789e-11	1.331605e-05	0.1	2.305789e-11	2.080895e-07	0.1
2.490125e-11	0.9691977437	0.1	2.490125e-11	0.0002434297	0.1	2.490125e-11	1.476181e-06	0.1	2.490125e-11	0.0003990166	0.1	2.490125e-11	4.078853e-06	0.1	2.490125e-11	0.005851645	0.1	2.490125e-11	0.01616904	0.1	2.490125e-11	0.002088695	0.1	2.490125e-11	0.003007239	0.1	2.490125e-11	1.495181e-05	0.1	2.490125e-11	2.283564e-07	0.1
2.674461e-11	0.9669806601	0.1	2.674461e-11	0.0002425579	0.1	2.674461e-11	1.470903e-06	0.1	2.674461e-11	0.0004273196	0.1	2.674461e-11	4.064229e-06	0.1	2.674461e-11	0.00590837	0.1	2.674461e-11	0.01757725	0.1	2.674461e-11	0.002377167	0.1	2.674461e-11	0.003223662	0.1	2.674461e-11	1.666344e-05	0.1	2.674461e-11	2.490793e-07	0.1
2.896817e-11	0.9643174172	0.1	2.896817e-11	0.0002415128	0.1	2.896817e-11	1.464572e-06	0.1	2.896817e-11	0.0004611962	0.1	2.896817e-11	4.046714e-06	0.1	2.896817e-11	0.005957616	0.1	2.896817e-11	0.01926169	0.1	2.896817e-11	0.002749629	0.1	2.896817e-11	0.003483624	0.1	2.896817e-11	1.882767e-05	0.1	2.896817e-11	2.746737e-07	0.1
3.119172e-11	0.9616662223	0.1	3.119172e-11	0.0002404749	0.1	3.119172e-11	1.458282e-06	0.1	3.119172e-11	0.0004947863	0.1	3.119172e-11	4.029338e-06	0.1	3.119172e-11	0.005990285	0.1	3.119172e-11	0.02092663	0.1	3.119172e-11	0.003148516	0.1	3.119172e-11	0.003742395	0.1	3.119172e-11	2.10993e-05	0.1	3.119172e-11	3.009126e-07	0.1
3.341527e-11	0.9590270815	0.1	3.341527e-11	0.0002394443	0.1	3.341527e-11	1.452034e-06	0.1	3.341527e-11	0.0005280924	0.1	3.341527e-11	4.012097e-06	0.1	3.341527e-11	0.006010059	0.1	3.341527e-11	0.02256888	0.1	3.341527e-11	0.003573412	0.1	3.341527e-11	0.003999986	0.1	3.341527e-11	2.347691e-05	0.1	3.341527e-11	3.277883e-07	0.1
3.563882e-11	0.9563998002	0.1	3.563882e-11	0.0002384212	0.1	3.563882e-11	1.44583e-06	0.1	3.563882e-11	0.0005611167	0.1	3.563882e-11	3.994992e-06	0.1	3.563882e-11	0.00601981	0.1	3.563882e-11	0.02418609	0.1	3.563882e-11	0.004023874	0.1	3.563882e-11	0.004256404	0.1	3.563882e-11	2.595921e-05	0.1	3.563882e-11	3.552945e-07	0.1
3.813679e-11	0.9534624324000001	0.1	3.813679e-11	0.0002372807	0.1	3.813679e-11	1.438913e-06	0.1	3.813679e-11	0.0005978835	0.1	3.813679e-11	3.975935e-06	0.1	3.813679e-11	0.006021575	0.1	3.813679e-11	0.02597093	0.1	3.813679e-11	0.004559851	0.1	3.813679e-11	0.004543081	0.1	3.813679e-11	2.887121e-05	0.1	3.813679e-11	3.869414e-07	0.1
4.081771e-11	0.9503262561	0.1	4.081771e-11	0.0002360672	0.1	4.081771e-11	1.431551e-06	0.1	4.081771e-11	0.0006369542	0.1	4.081771e-11	3.955667e-06	0.1	4.081771e-11	0.006015306	0.1	4.081771e-11	0.02784706	0.1	4.081771e-11	0.005169565	0.1	4.081771e-11	0.004849135	0.1	4.081771e-11	3.213995e-05	0.1	4.081771e-11	4.217779e-07	0.1
4.349863e-11	0.9472070427	0.1	4.349863e-11	0.0002348644	0.1	4.349863e-11	1.424254e-06	0.1	4.349863e-11	0.0006756264	0.1	4.349863e-11	3.935587e-06	0.1	4.349863e-11	0.006002793	0.1	4.349863e-11	0.02968113	0.1	4.349863e-11	0.005814152	0.1	4.349863e-11	0.005153526	0.1	4.349863e-11	3.555538e-05	0.1	4.349863e-11	4.575112e-07	0.1
4.617954e-11	0.9441043986000002	0.1	4.617954e-11	0.0002336723	0.1	4.617954e-11	1.417021e-06	0.1	4.617954e-11	0.0007139039	0.1	4.617954e-11	3.915692e-06	0.1	4.617954e-11	0.005985719	0.1	4.617954e-11	0.03147244	0.1	4.617954e-11	0.00649276	0.1	4.617954e-11	0.005456271	0.1	4.617954e-11	3.911575e-05	0.1	4.617954e-11	4.941368e-07	0.1
4.930531e-11	0.9405079010999999	0.1	4.930531e-11	0.0002322958	0.1	4.930531e-11	1.408669e-06	0.1	4.930531e-11	0.0007580397	0.1	4.930531e-11	3.892726e-06	0.1	4.930531e-11	0.005961695	0.1	4.930531e-11	0.03350663	0.1	4.930531e-11	0.007325792	0.1	4.930531e-11	0.00580719	0.1	4.930531e-11	4.344762e-05	0.1	4.930531e-11	5.379607e-07	0.1
5.254228e-11	0.9368068692	0.1	5.254228e-11	0.0002308853	0.1	5.254228e-11	1.400109e-06	0.1	5.254228e-11	0.0008031923	0.1	5.254228e-11	3.869198e-06	0.1	5.254228e-11	0.005933581	0.1	5.254228e-11	0.03555166	0.1	5.254228e-11	0.008234558	0.1	5.254228e-11	0.006168279	0.1	5.254228e-11	4.813608e-05	0.1	5.254228e-11	5.846108e-07	0.1
5.577925e-11	0.9331294166999999	0.1	5.577925e-11	0.0002294897	0.1	5.577925e-11	1.39164e-06	0.1	5.577925e-11	0.0008477883	0.1	5.577925e-11	3.845926e-06	0.1	5.577925e-11	0.005903275	0.1	5.577925e-11	0.03753465	0.1	5.577925e-11	0.009188769	0.1	5.577925e-11	0.006527038	0.1	5.577925e-11	5.302779e-05	0.1	5.577925e-11	6.325447e-07	0.1
5.941954e-11	0.929021555	0.1	5.941954e-11	0.0002279378	0.1	5.941954e-11	1.382223e-06	0.1	5.941954e-11	0.0008972842	0.1	5.941954e-11	3.820051e-06	0.1	5.941954e-11	0.005867531	0.1	5.941954e-11	0.03969168	0.1	5.941954e-11	0.01031437	0.1	5.941954e-11	0.006927742	0.1	5.941954e-11	5.876846e-05	0.1	5.941954e-11	6.87979e-07	0.1
6.332871e-11	0.9246428195	0.1	6.332871e-11	0.0002262915	0.1	6.332871e-11	1.372232e-06	0.1	6.332871e-11	0.0009496718	0.1	6.332871e-11	3.792608e-06	0.1	6.332871e-11	0.005828	0.1	6.332871e-11	0.04192368	0.1	6.332871e-11	0.01158277	0.1	6.332871e-11	0.007354831	0.1	6.332871e-11	6.52113e-05	0.1	6.332871e-11	7.493026e-07	0.1
6.723788e-11	0.920297281	0.1	6.723788e-11	0.0002246658	0.1	6.723788e-11	1.362367e-06	0.1	6.723788e-11	0.001001279	0.1	6.723788e-11	3.765512e-06	0.1	6.723788e-11	0.005787873	0.1	6.723788e-11	0.04407043	0.1	6.723788e-11	0.01291059	0.1	6.723788e-11	0.007778636	0.1	6.723788e-11	7.193778e-05	0.1	6.723788e-11	8.124778e-07	0.1
