Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
4.447553e-13	0.9999999820269452	0.1	4.447553e-13	5.33774e-18	0.1	4.447553e-13	3.429235e-19	0.1	4.447553e-13	1.179794e-17	0.1	4.447553e-13	1.441676e-19	0.1	4.447553e-13	7.951316e-13	0.1	4.447553e-13	5.087435e-15	0.1	4.447553e-13	1.950123e-14	0.1	4.447553e-13	7.220187e-16	0.1	4.447553e-13	2.21167e-19	0.1	4.447553e-13	8.625715e-14	0.1	4.447553e-13	1.003676e-12	0.1
1.144334e-11	0.9999999497040818	0.1	1.144334e-11	1.373861e-16	0.1	1.144334e-11	8.81666e-18	0.1	1.144334e-11	2.914926e-16	0.1	1.144334e-11	1.572688e-17	0.1	1.144334e-11	5.128559e-12	0.1	1.144334e-11	4.625633e-15	0.1	1.144334e-11	5.440338e-13	0.1	1.144334e-11	2.230588e-15	0.1	1.144334e-11	5.690525e-18	0.1	1.144334e-11	2.219741e-12	0.1	1.144334e-11	2.582409e-11	0.1
5.264087e-11	1.000000031196745	0.1	5.264087e-11	6.327646e-16	0.1	5.264087e-11	4.047063e-17	0.1	5.264087e-11	1.215654e-15	0.1	5.264087e-11	1.968106e-16	0.1	5.264087e-11	5.321569e-12	0.1	5.264087e-11	4.691467e-15	0.1	5.264087e-11	2.551951e-12	0.1	5.264087e-11	2.243109e-15	0.1	5.264087e-11	2.617731e-17	0.1	5.264087e-11	1.02154e-11	0.1	5.264087e-11	1.187942e-10	0.1
2.405423e-10	0.9999999564180001	0.1	2.405423e-10	2.913679e-15	0.1	2.405423e-10	1.830972e-16	0.1	2.405423e-10	4.500255e-15	0.1	2.405423e-10	1.929265e-15	0.1	2.405423e-10	5.544505e-12	0.1	2.405423e-10	4.824624e-15	0.1	2.405423e-10	1.169086e-11	0.1	2.405423e-10	2.254541e-15	0.1	2.405423e-10	1.196226e-16	0.1	2.405423e-10	4.676823e-11	0.1	2.405423e-10	5.4283e-10	0.1
6.961228e-10	1.0000000427923599	0.1	6.961228e-10	8.608125e-15	0.1	6.961228e-10	5.173608e-16	0.1	6.961228e-10	1.167585e-14	0.1	6.961228e-10	6.729453e-15	0.1	6.961228e-10	5.711809e-12	0.1	6.961228e-10	5.007096e-15	0.1	6.961228e-10	3.36577e-11	0.1	6.961228e-10	2.260281e-15	0.1	6.961228e-10	3.462314e-16	0.1	6.961228e-10	1.359338e-10	0.1	6.961228e-10	1.570935e-09	0.1
1.226666e-09	1.0000000192222	0.1	1.226666e-09	1.553032e-14	0.1	1.226666e-09	8.869032e-16	0.1	1.226666e-09	1.98347e-14	0.1	1.226666e-09	1.218055e-14	0.1	1.226666e-09	5.832004e-12	0.1	1.226666e-09	5.138669e-15	0.1	1.226666e-09	5.878239e-11	0.1	1.226666e-09	2.26417e-15	0.1	1.226666e-09	6.10205e-16	0.1	1.226666e-09	2.406402e-10	0.1	1.226666e-09	2.768207e-09	0.1
2.069939e-09	1.00000000347894	0.1	2.069939e-09	2.715508e-14	0.1	2.069939e-09	1.433392e-15	0.1	2.069939e-09	3.236216e-14	0.1	2.069939e-09	2.056089e-14	0.1	2.069939e-09	5.928298e-12	0.1	2.069939e-09	5.245289e-15	0.1	2.069939e-09	9.747724e-11	0.1	2.069939e-09	2.266806e-15	0.1	2.069939e-09	1.029942e-15	0.1	2.069939e-09	4.087616e-10	0.1	2.069939e-09	4.671212e-09	0.1
3.19122e-09	0.99999996637458	0.1	3.19122e-09	4.374237e-14	0.1	3.19122e-09	2.089002e-15	0.1	3.19122e-09	4.822653e-14	0.1	3.19122e-09	3.117297e-14	0.1	3.19122e-09	5.971299e-12	0.1	3.19122e-09	5.294968e-15	0.1	3.19122e-09	1.463329e-10	0.1	3.19122e-09	2.267134e-15	0.1	3.19122e-09	1.588351e-15	0.1	3.19122e-09	6.351628e-10	0.1	3.19122e-09	7.201593e-09	0.1
4.499796e-09	1.00000000239791	0.1	4.499796e-09	6.463678e-14	0.1	4.499796e-09	2.762993e-15	0.1	4.499796e-09	6.565549e-14	0.1	4.499796e-09	4.283164e-14	0.1	4.499796e-09	5.976083e-12	0.1	4.499796e-09	5.303748e-15	0.1	4.499796e-09	1.995485e-10	0.1	4.499796e-09	2.265831e-15	0.1	4.499796e-09	2.240433e-15	0.1	4.499796e-09	9.030611e-10	0.1	4.499796e-09	1.015464e-08	0.1
6.012194e-09	1.00000001778879	0.1	6.012194e-09	9.070453e-14	0.1	6.012194e-09	3.43588e-15	0.1	6.012194e-09	8.443564e-14	0.1	6.012194e-09	5.539408e-14	0.1	6.012194e-09	5.963596e-12	0.1	6.012194e-09	5.294324e-15	0.1	6.012194e-09	2.561706e-10	0.1	6.012194e-09	2.263671e-15	0.1	6.012194e-09	2.994578e-15	0.1	6.012194e-09	1.217139e-09	0.1	6.012194e-09	1.356765e-08	0.1
8.090139e-09	0.99999994653671	0.1	8.090139e-09	1.295911e-13	0.1	8.090139e-09	4.204741e-15	0.1	8.090139e-09	1.080423e-13	0.1	8.090139e-09	7.118496e-14	0.1	8.090139e-09	5.939495e-12	0.1	8.090139e-09	5.273741e-15	0.1	8.090139e-09	3.261083e-10	0.1	8.090139e-09	2.260479e-15	0.1	8.090139e-09	4.031518e-15	0.1	8.090139e-09	1.655632e-09	0.1	8.090139e-09	1.825691e-08	0.1
1.107894e-08	0.99999990894102	0.1	1.107894e-08	1.910634e-13	0.1	1.107894e-08	5.060412e-15	0.1	1.107894e-08	1.380048e-13	0.1	1.107894e-08	9.122705e-14	0.1	1.107894e-08	5.903562e-12	0.1	1.107894e-08	5.242529e-15	0.1	1.107894e-08	4.125986e-10	0.1	1.107894e-08	2.255917e-15	0.1	1.107894e-08	5.524413e-15	0.1	1.107894e-08	2.298605e-09	0.1	1.107894e-08	2.500166e-08	0.1
1.622536e-08	0.9999998749154599	0.1	1.622536e-08	3.096951e-13	0.1	1.622536e-08	6.048461e-15	0.1	1.622536e-08	1.802878e-13	0.1	1.622536e-08	1.195097e-13	0.1	1.622536e-08	5.844136e-12	0.1	1.622536e-08	5.190815e-15	0.1	1.622536e-08	5.294066e-10	0.1	1.622536e-08	2.248366e-15	0.1	1.622536e-08	8.098277e-15	0.1	1.622536e-08	3.432978e-09	0.1	1.622536e-08	3.661543e-08	0.1
