Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
0.0	1.00000003	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
1.098031e-15	0.9999999799999999	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1	1.098031e-15	0.0	0.1
8.218607e-15	0.99999998	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1	8.218607e-15	0.0	0.1
2.131371e-14	0.99999996	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1	2.131371e-14	0.0	0.1
4.289898e-14	1.0000000100000002	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1	4.289898e-14	0.0	0.1
7.127932e-14	0.99999997	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1	7.127932e-14	0.0	0.1
9.965966e-14	0.9999999599999999	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1	9.965966e-14	0.0	0.1
1.550316e-13	1.0000000299999998	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1	1.550316e-13	0.0	0.1
2.547012e-13	1.00000001	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1	2.547012e-13	0.0	0.1
3.788812e-13	0.99999991	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1	3.788812e-13	0.0	0.1
