Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
0.0	1.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
1.334103e-15	1.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1	1.334103e-15	0.0	0.1
1.006505e-14	1.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1	1.006505e-14	0.0	0.1
2.619515e-14	1.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1	2.619515e-14	0.0	0.1
5.358722e-14	1.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1	5.358722e-14	0.0	0.1
9.042715e-14	1.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1	9.042715e-14	0.0	0.1
1.272671e-13	1.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1	1.272671e-13	0.0	0.1
1.991487e-13	1.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1	1.991487e-13	0.0	0.1
3.285355e-13	1.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1	3.285355e-13	0.0	0.1
4.86114e-13	1.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1	4.86114e-13	0.0	0.1
