Batch	m_SP	2	P1	P2_L	
0.000000000000e+00	9.999900000000e-06	1.000000000000e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e-01
5.193975000000e-09	9.999890000100e-06	1.000000000000e-01	5.193975000000e-09	1.853400977000e-15	1.000000000000e-01
6.150361000000e-08	9.999789001110e-06	1.000000000000e-01	6.150361000000e-08	2.393209769000e-14	1.000000000000e-01
1.605300000000e-07	9.999651002490e-06	1.000000000000e-01	1.605300000000e-07	7.060514529000e-14	1.000000000000e-01
3.121924000000e-07	9.999509003910e-06	1.000000000000e-01	3.121924000000e-07	1.561667164200e-13	1.000000000000e-01
5.611473000000e-07	9.999384005160e-06	1.000000000000e-01	5.611473000000e-07	3.188420712000e-13	1.000000000000e-01
8.950119000000e-07	9.999317005830e-06	1.000000000000e-01	8.950119000000e-07	5.578845856000e-13	1.000000000000e-01
1.271461000000e-06	9.999292006080e-06	1.000000000000e-01	1.271461000000e-06	8.387342346000e-13	1.000000000000e-01
1.736298000000e-06	9.999283006170e-06	1.000000000000e-01	1.736298000000e-06	1.191535073800e-12	1.000000000000e-01
2.355669000000e-06	9.999280006200e-06	1.000000000000e-01	2.355669000000e-06	1.666091423000e-12	1.000000000000e-01
3.254292000000e-06	9.999278006220e-06	1.000000000000e-01	3.254292000000e-06	2.360597227000e-12	1.000000000000e-01
4.736943000000e-06	9.999275006250e-06	1.000000000000e-01	4.736943000000e-06	3.520367668000e-12	1.000000000000e-01
7.278629000000e-06	9.999270006300e-06	1.000000000000e-01	7.278629000000e-06	5.546898150000e-12	1.000000000000e-01
1.236200000000e-05	9.999261006390e-06	1.000000000000e-01	1.236200000000e-05	9.734580440000e-12	1.000000000000e-01
2.422320000000e-05	9.999239006610e-06	1.000000000000e-01	2.422320000000e-05	2.009599488000e-11	1.000000000000e-01
4.794561000000e-05	9.999198007020e-06	1.000000000000e-01	4.794561000000e-05	4.259789310000e-11	1.000000000000e-01
9.304801000000e-05	9.999125007750e-06	1.000000000000e-01	9.304801000000e-05	8.878780030000e-11	1.000000000000e-01
1.641955000000e-04	9.999017008830e-06	1.000000000000e-01	1.641955000000e-04	1.646413820000e-10	1.000000000000e-01
2.697595000000e-04	9.998866010340e-06	1.000000000000e-01	2.697595000000e-04	2.779919230000e-10	1.000000000000e-01
4.388234000000e-04	9.998640012600e-06	1.000000000000e-01	4.388234000000e-04	4.577569110000e-10	1.000000000000e-01
6.808765000000e-04	9.998336015640e-06	1.000000000000e-01	6.808765000000e-04	7.082742270000e-10	1.000000000000e-01
9.978330000000e-04	9.997961019390e-06	1.000000000000e-01	9.978330000000e-04	1.018670930000e-09	1.000000000000e-01
1.441920000000e-03	9.997481024190e-06	1.000000000000e-01	1.441920000000e-03	1.409309270000e-09	1.000000000000e-01
2.053410000000e-03	9.996914029860e-06	1.000000000000e-01	2.053410000000e-03	1.848962710000e-09	1.000000000000e-01
2.487358000000e-03	9.996579033210e-06	1.000000000000e-01	2.487358000000e-03	2.091595910000e-09	1.000000000000e-01
3.286366000000e-03	9.996089038110e-06	1.000000000000e-01	3.286366000000e-03	2.408988380000e-09	1.000000000000e-01
4.343401000000e-03	9.995630042700e-06	1.000000000000e-01	4.343401000000e-03	2.644521260000e-09	1.000000000000e-01
5.400436000000e-03	9.995300046000e-06	1.000000000000e-01	5.400436000000e-03	2.759671630000e-09	1.000000000000e-01
