Batch	m_SP	2	P2_L	W4_L	
9.469575000000e-14	9.773649993091e-06	1.000000000000e-01	9.469575000000e-14	1.839595880000e-07	1.000000000000e-01
2.252327000000e-13	9.524981496560e-06	1.000000000000e-01	2.252327000000e-13	4.319738800000e-07	1.000000000000e-01
4.991305000000e-13	9.023613684117e-06	1.000000000000e-01	4.991305000000e-13	9.320513900000e-07	1.000000000000e-01
9.953474000000e-13	8.181625934209e-06	1.000000000000e-01	9.953474000000e-13	1.771963940000e-06	1.000000000000e-01
1.735344000000e-12	7.069823390704e-06	1.000000000000e-01	1.735344000000e-12	2.881205100000e-06	1.000000000000e-01
2.599802000000e-12	5.961037696862e-06	1.000000000000e-01	2.599802000000e-12	3.987655900000e-06	1.000000000000e-01
3.511233000000e-12	4.979929409420e-06	1.000000000000e-01	3.511233000000e-12	4.966891200000e-06	1.000000000000e-01
4.610556000000e-12	4.009045471487e-06	1.000000000000e-01	4.610556000000e-12	5.936116000000e-06	1.000000000000e-01
5.709879000000e-12	3.227566557378e-06	1.000000000000e-01	5.709879000000e-12	6.716412700000e-06	1.000000000000e-01
6.809202000000e-12	2.598504708866e-06	1.000000000000e-01	6.809202000000e-12	7.344629000000e-06	1.000000000000e-01
7.908525000000e-12	2.092110209959e-06	1.000000000000e-01	7.908525000000e-12	7.850421900000e-06	1.000000000000e-01
9.189279000000e-12	1.625260259145e-06	1.000000000000e-01	9.189279000000e-12	8.316784000000e-06	1.000000000000e-01
1.051539000000e-11	1.251386955760e-06	1.000000000000e-01	1.051539000000e-11	8.690316700000e-06	1.000000000000e-01
1.184150000000e-11	9.635449527155e-07	1.000000000000e-01	1.184150000000e-11	8.977931300000e-06	1.000000000000e-01
1.316761000000e-11	7.419296038111e-07	1.000000000000e-01	1.316761000000e-11	9.199395100000e-06	1.000000000000e-01
1.460240000000e-11	5.591919208379e-07	1.000000000000e-01	1.460240000000e-11	9.382022700000e-06	1.000000000000e-01
1.620021000000e-11	4.081472548916e-07	1.000000000000e-01	1.620021000000e-11	9.532990800000e-06	1.000000000000e-01
1.779802000000e-11	2.979079153225e-07	1.000000000000e-01	1.779802000000e-11	9.643182000000e-06	1.000000000000e-01
1.939582000000e-11	2.174475385622e-07	1.000000000000e-01	1.939582000000e-11	9.723612200000e-06	1.000000000000e-01
2.125032000000e-11	1.508931922958e-07	1.000000000000e-01	2.125032000000e-11	9.790145000000e-06	1.000000000000e-01
2.316899000000e-11	1.033952784431e-07	1.000000000000e-01	2.316899000000e-11	9.837630600000e-06	1.000000000000e-01
