Batch	m_SP	2	P3	W4_L	
4.820483000000e-14	9.809736901650e-06	1.000000000000e-01	4.820483000000e-14	1.901657900000e-07	1.000000000000e-01
1.139576000000e-13	9.556164437400e-06	1.000000000000e-01	1.139576000000e-13	4.437405700000e-07	1.000000000000e-01
2.518608000000e-13	9.045437544720e-06	1.000000000000e-01	2.518608000000e-13	9.544741000000e-07	1.000000000000e-01
5.017317000000e-13	8.188563113550e-06	1.000000000000e-01	5.017317000000e-13	1.811358600000e-06	1.000000000000e-01
8.739343000000e-13	7.060333395960e-06	1.000000000000e-01	8.739343000000e-13	2.939602000000e-06	1.000000000000e-01
1.307114000000e-12	5.941487584530e-06	1.000000000000e-01	1.307114000000e-12	4.058461500000e-06	1.000000000000e-01
1.763777000000e-12	4.953396465540e-06	1.000000000000e-01	1.763777000000e-12	5.046565400000e-06	1.000000000000e-01
2.314371000000e-12	3.977984219760e-06	1.000000000000e-01	2.314371000000e-12	6.021990000000e-06	1.000000000000e-01
2.864965000000e-12	3.194648053200e-06	1.000000000000e-01	2.864965000000e-12	6.805336000000e-06	1.000000000000e-01
3.415559000000e-12	2.565564344100e-06	1.000000000000e-01	3.415559000000e-12	7.434430000000e-06	1.000000000000e-01
3.966153000000e-12	2.060359396200e-06	1.000000000000e-01	3.966153000000e-12	7.939642000000e-06	1.000000000000e-01
4.606873000000e-12	1.596295036890e-06	1.000000000000e-01	4.606873000000e-12	8.403713000000e-06	1.000000000000e-01
5.270125000000e-12	1.225704742830e-06	1.000000000000e-01	5.270125000000e-12	8.774308000000e-06	1.000000000000e-01
5.933377000000e-12	9.411496884090e-07	1.000000000000e-01	5.933377000000e-12	9.058868000000e-06	1.000000000000e-01
6.596629000000e-12	7.226557733700e-07	1.000000000000e-01	6.596629000000e-12	9.277365000000e-06	1.000000000000e-01
7.314704000000e-12	5.429013709320e-07	1.000000000000e-01	7.314704000000e-12	9.457123000000e-06	1.000000000000e-01
8.115016000000e-12	3.947166527940e-07	1.000000000000e-01	8.115016000000e-12	9.605310000000e-06	1.000000000000e-01
8.915329000000e-12	2.869789301820e-07	1.000000000000e-01	8.915329000000e-12	9.713050000000e-06	1.000000000000e-01
9.715641000000e-12	2.086482134970e-07	1.000000000000e-01	9.715641000000e-12	9.791381000000e-06	1.000000000000e-01
1.064609000000e-11	1.440353596320e-07	1.000000000000e-01	1.064609000000e-11	9.855996000000e-06	1.000000000000e-01
