Batch	m_SP	2	P4	W3	
9.608800000000e-14	9.824324755770e-06	1.000000000000e-01	9.608800000000e-14	1.755504000000e-07	1.000000000000e-01
2.288754000000e-13	9.586754131500e-06	1.000000000000e-01	2.288754000000e-13	4.130882000000e-07	1.000000000000e-01
5.068551000000e-13	9.107855920530e-06	1.000000000000e-01	5.068551000000e-13	8.919192000000e-07	1.000000000000e-01
1.009983000000e-12	8.301088988280e-06	1.000000000000e-01	1.009983000000e-12	1.698573000000e-06	1.000000000000e-01
1.763512000000e-12	7.224476754510e-06	1.000000000000e-01	1.763512000000e-12	2.775034000000e-06	1.000000000000e-01
2.656146000000e-12	6.128312716260e-06	1.000000000000e-01	2.656146000000e-12	3.871044000000e-06	1.000000000000e-01
3.597562000000e-12	5.151928480200e-06	1.000000000000e-01	3.597562000000e-12	4.847291000000e-06	1.000000000000e-01
4.734104000000e-12	4.178079218790e-06	1.000000000000e-01	4.734104000000e-12	5.821004000000e-06	1.000000000000e-01
5.870646000000e-12	3.388313116530e-06	1.000000000000e-01	5.870646000000e-12	6.610659000000e-06	1.000000000000e-01
7.007188000000e-12	2.747833521390e-06	1.000000000000e-01	7.007188000000e-12	7.251049000000e-06	1.000000000000e-01
8.143730000000e-12	2.228421715560e-06	1.000000000000e-01	8.143730000000e-12	7.770388000000e-06	1.000000000000e-01
9.509817000000e-12	1.732313676690e-06	1.000000000000e-01	9.509817000000e-12	8.266426000000e-06	1.000000000000e-01
1.087590000000e-11	1.346653533330e-06	1.000000000000e-01	1.087590000000e-11	8.652033000000e-06	1.000000000000e-01
1.224199000000e-11	1.046851531380e-06	1.000000000000e-01	1.224199000000e-11	8.951793000000e-06	1.000000000000e-01
1.360808000000e-11	8.137932619860e-07	1.000000000000e-01	1.360808000000e-11	9.184818000000e-06	1.000000000000e-01
1.508739000000e-11	6.195533044050e-07	1.000000000000e-01	1.508739000000e-11	9.379031000000e-06	1.000000000000e-01
1.673652000000e-11	4.571371285830e-07	1.000000000000e-01	1.673652000000e-11	9.541424000000e-06	1.000000000000e-01
1.838566000000e-11	3.372983269830e-07	1.000000000000e-01	1.838566000000e-11	9.661246000000e-06	1.000000000000e-01
2.003480000000e-11	2.488754112210e-07	1.000000000000e-01	2.003480000000e-11	9.749656000000e-06	1.000000000000e-01
2.188766000000e-11	1.768639313430e-07	1.000000000000e-01	2.188766000000e-11	9.821658000000e-06	1.000000000000e-01
2.387634000000e-11	1.225809741780e-07	1.000000000000e-01	2.387634000000e-11	9.875933000000e-06	1.000000000000e-01
