Batch	m_SP	2	R	W4_L	
2.465877000000e-12	9.772612272900e-06	1.000000000000e-01	2.465877000000e-12	2.272627100000e-07	1.000000000000e-01
5.391881000000e-12	9.509605902990e-06	1.000000000000e-01	5.391881000000e-12	4.902403700000e-07	1.000000000000e-01
1.110160000000e-11	9.016590833190e-06	1.000000000000e-01	1.110160000000e-11	9.832011600000e-07	1.000000000000e-01
2.125221000000e-11	8.202379975380e-06	1.000000000000e-01	2.125221000000e-11	1.797322800000e-06	1.000000000000e-01
3.534691000000e-11	7.192283076450e-06	1.000000000000e-01	3.534691000000e-11	2.807308800000e-06	1.000000000000e-01
5.506733000000e-11	5.984304156360e-06	1.000000000000e-01	5.506733000000e-11	4.015155500000e-06	1.000000000000e-01
7.478775000000e-11	4.979210207400e-06	1.000000000000e-01	7.478775000000e-11	5.020139100000e-06	1.000000000000e-01
1.046746000000e-10	3.768259317030e-06	1.000000000000e-01	1.046746000000e-10	6.230956500000e-06	1.000000000000e-01
1.345615000000e-10	2.851813481580e-06	1.000000000000e-01	1.345615000000e-10	7.147302000000e-06	1.000000000000e-01
1.644483000000e-10	2.158248417300e-06	1.000000000000e-01	1.644483000000e-10	7.840791300000e-06	1.000000000000e-01
1.943352000000e-10	1.633359666240e-06	1.000000000000e-01	1.943352000000e-10	8.365623500000e-06	1.000000000000e-01
2.242220000000e-10	1.236124638630e-06	1.000000000000e-01	2.242220000000e-10	8.762814500000e-06	1.000000000000e-01
2.541089000000e-10	9.354970449360e-07	1.000000000000e-01	2.541089000000e-10	9.063409200000e-06	1.000000000000e-01
2.839957000000e-10	7.079828201010e-07	1.000000000000e-01	2.839957000000e-10	9.290898700000e-06	1.000000000000e-01
3.138826000000e-10	5.358004419420e-07	1.000000000000e-01	3.138826000000e-10	9.463060700000e-06	1.000000000000e-01
3.450085000000e-10	4.008355916040e-07	1.000000000000e-01	3.450085000000e-10	9.598011700000e-06	1.000000000000e-01
3.810904000000e-10	2.863261367100e-07	1.000000000000e-01	3.810904000000e-10	9.712508500000e-06	1.000000000000e-01
4.171724000000e-10	2.045293546860e-07	1.000000000000e-01	4.171724000000e-10	9.794296200000e-06	1.000000000000e-01
4.532543000000e-10	1.461001389840e-07	1.000000000000e-01	4.532543000000e-10	9.852718500000e-06	1.000000000000e-01
