Batch	m_SP	7	P1	W4_L	W3	R	P2_L	P3	P4											
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
1.178672e-08	9.99989500005e-06	0.1	1.178672e-08	6.871646e-15	0.1	1.178672e-08	5.381167e-15	0.1	1.178672e-08	2.307849e-16	0.1	1.178672e-08	1.5226944749999998e-14	0.1	1.178672e-08	3.091208e-16	0.1	1.178672e-08	8.946783e-17	0.1
7.418307e-08	9.999881000190002e-06	0.1	7.418307e-08	4.481474e-14	0.1	7.418307e-08	3.538368e-14	0.1	7.418307e-08	1.514424e-15	0.1	7.418307e-08	9.74953005e-14	0.1	7.418307e-08	2.015165e-15	0.1	7.418307e-08	5.86491e-16	0.1
1.249282e-07	9.99987600024e-06	0.1	1.249282e-07	7.6418e-14	0.1	1.249282e-07	6.078854e-14	0.1	1.249282e-07	2.634592e-15	0.1	1.249282e-07	1.657079058e-13	0.1	1.249282e-07	3.488334e-15	0.1	1.249282e-07	1.020587e-15	0.1
2.267571e-07	9.99987200028e-06	0.1	2.267571e-07	1.392663e-13	0.1	2.267571e-07	1.125766e-13	0.1	2.267571e-07	5.084259e-15	0.1	2.267571e-07	3.0446154e-13	0.1	2.267571e-07	6.671386e-15	0.1	2.267571e-07	1.974229e-15	0.1
3.602872e-07	9.99987100029e-06	0.1	3.602872e-07	2.185836e-13	0.1	3.602872e-07	1.806097e-13	0.1	3.602872e-07	8.690559e-15	0.1	3.602872e-07	4.88829227e-13	0.1	3.602872e-07	1.12882e-14	0.1	3.602872e-07	3.392447e-15	0.1
5.725111e-07	9.9998700003e-06	0.1	5.725111e-07	3.363328e-13	0.1	5.725111e-07	2.878645e-13	0.1	5.725111e-07	1.528901e-14	0.1	5.725111e-07	7.86234887e-13	0.1	5.725111e-07	1.960007e-14	0.1	5.725111e-07	6.035928e-15	0.1
1.081848e-06	9.99986900031e-06	0.1	1.081848e-06	5.834401e-13	0.1	1.081848e-06	5.405163e-13	0.1	1.081848e-06	3.472414e-14	0.1	1.081848e-06	1.51759587e-12	0.1	1.081848e-06	4.359316e-14	0.1	1.081848e-06	1.415208e-14	0.1
2.440081e-06	9.99986600034e-06	0.1	2.440081e-06	1.026601e-12	0.1	2.440081e-06	1.177023e-12	0.1	2.440081e-06	1.084005e-13	0.1	2.440081e-06	3.574451e-12	0.1	2.440081e-06	1.321309e-13	0.1	2.440081e-06	4.949297e-14	0.1
5.496105e-06	9.999859000410001e-06	0.1	5.496105e-06	1.466262e-12	0.1	5.496105e-06	2.444287e-12	0.1	5.496105e-06	3.306623e-13	0.1	5.496105e-06	8.47798932e-12	0.1	5.496105e-06	3.948327e-13	0.1	5.496105e-06	1.894488e-13	0.1
1.160815e-05	9.99984500055e-06	0.1	1.160815e-05	1.63038e-12	0.1	1.160815e-05	4.401331e-12	0.1	1.160815e-05	8.479155e-13	0.1	1.160815e-05	1.86405492e-11	0.1	1.160815e-05	1.002001e-12	0.1	1.160815e-05	6.803723e-13	0.1
2.383225e-05	9.99981800082e-06	0.1	2.383225e-05	1.643008e-12	0.1	2.383225e-05	6.750586e-12	0.1	2.383225e-05	1.915429e-12	0.1	2.383225e-05	3.9129182899999995e-11	0.1	2.383225e-05	2.253511e-12	0.1	2.383225e-05	2.233115e-12	0.1
5.099691e-05	9.999761001390002e-06	0.1	5.099691e-05	1.64489e-12	0.1	5.099691e-05	8.581137e-12	0.1	5.099691e-05	4.292759e-12	0.1	5.099691e-05	8.4688715e-11	0.1	5.099691e-05	5.040457e-12	0.1	5.099691e-05	6.920056e-12	0.1
9.191386e-05	9.99967600224e-06	0.1	9.191386e-05	1.645867e-12	0.1	9.191386e-05	9.020014e-12	0.1	9.191386e-05	7.875878e-12	0.1	9.191386e-05	1.53320506e-10	0.1	9.191386e-05	9.240543e-12	0.1	9.191386e-05	1.48253e-11	0.1
0.0001621114	9.99953100369e-06	0.1	0.0001621114	1.646735e-12	0.1	0.0001621114	9.065658e-12	0.1	0.0001621114	1.402611e-11	0.1	0.0001621114	2.71043461e-10	0.1	0.0001621114	1.644743e-11	0.1	0.0001621114	2.864538e-11	0.1
0.0003305856	9.99918300717e-06	0.1	0.0003305856	1.650687e-12	0.1	0.0003305856	9.06542e-12	0.1	0.0003305856	2.881057e-11	0.1	0.0003305856	5.53324013e-10	0.1	0.0003305856	3.374891e-11	0.1	0.0003305856	6.185219e-11	0.1
