Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
1.143521e-09	9.8141197322283e-06	0.1	1.143521e-09	2.993217e-08	0.1	1.143521e-09	1.018782e-10	0.1	1.143521e-09	9.033277e-09	0.1	1.143521e-09	1.047877e-07	0.1	1.143521e-09	9.413696e-09	0.1	1.143521e-09	1.38384e-11	0.1
3.636258e-09	9.4884513805268e-06	0.1	3.636258e-09	9.369027e-08	0.1	3.636258e-09	3.190375e-10	0.1	3.636258e-09	2.830927e-08	0.1	3.636258e-09	3.278723e-07	0.1	3.636258e-09	2.87191e-08	0.1	3.636258e-09	4.336131e-11	0.1
7.65566e-09	8.9868609681271e-06	0.1	7.65566e-09	1.923333e-07	0.1	7.65566e-09	6.554173e-10	0.1	7.65566e-09	5.822436e-08	0.1	7.65566e-09	6.726855e-07	0.1	7.65566e-09	5.655938e-08	0.1	7.65566e-09	8.916085e-11	0.1
1.387015e-08	8.265019777865999e-06	0.1	1.387015e-08	3.352724e-07	0.1	1.387015e-08	1.143721e-09	0.1	1.387015e-08	1.017729e-07	0.1	1.387015e-08	1.171614e-06	0.1	1.387015e-08	9.243718e-08	0.1	1.387015e-08	1.55793e-10	0.1
2.32285e-08	7.289688623322e-06	0.1	2.32285e-08	5.303536e-07	0.1	2.32285e-08	1.811815e-09	0.1	2.32285e-08	1.615909e-07	0.1	2.32285e-08	1.85113e-06	0.1	2.32285e-08	1.326028e-07	0.1	2.32285e-08	2.472395e-10	0.1
3.510758e-08	6.2207591634572004e-06	0.1	3.510758e-08	7.46932e-07	0.1	3.510758e-08	2.555779e-09	0.1	3.510758e-08	2.285213e-07	0.1	3.510758e-08	2.603553e-06	0.1	3.510758e-08	1.647669e-07	0.1	3.510758e-08	3.494467e-10	0.1
4.816822e-08	5.2304835576747995e-06	0.1	4.816822e-08	9.504165e-07	0.1	4.816822e-08	3.256904e-09	0.1	4.816822e-08	2.919043e-07	0.1	4.816822e-08	3.308525e-06	0.1	4.816822e-08	1.824175e-07	0.1	4.816822e-08	4.461222e-10	0.1
6.595514e-08	4.1361260760612e-06	0.1	6.595514e-08	1.178835e-06	0.1	6.595514e-08	4.046358e-09	0.1	6.595514e-08	3.636242e-07	0.1	6.595514e-08	4.097522e-06	0.1	6.595514e-08	1.867569e-07	0.1	6.595514e-08	5.553707e-10	0.1
8.374206e-08	3.2751397919278003e-06	0.1	8.374206e-08	1.361487e-06	0.1	8.374206e-08	4.679404e-09	0.1	8.374206e-08	4.213975e-07	0.1	8.374206e-08	4.726561e-06	0.1	8.374206e-08	1.775708e-07	0.1	8.374206e-08	6.432557e-10	0.1
1.01529e-07	2.59622917519537e-06	0.1	1.01529e-07	1.507582e-06	0.1	1.01529e-07	5.186798e-09	0.1	1.01529e-07	4.678654e-07	0.1	1.01529e-07	5.228447e-06	0.1	1.01529e-07	1.614662e-07	0.1	1.01529e-07	7.138584e-10	0.1
