Batch	m_SP	7	P4	W4_L	W3	R	P1	P2_L	P3											
5.949449e-10	9.7883521366449e-06	0.1	5.949449e-10	2.064904e-11	0.1	5.949449e-10	1.224587e-07	0.1	5.949449e-10	2.664376e-10	0.1	5.949449e-10	8.659234e-08	0.1	5.949449e-10	1.81228826e-09	0.1	5.949449e-10	3.591784e-10	0.1
1.471684e-09	9.484734254723799e-06	0.1	1.471684e-09	5.028539e-11	0.1	1.471684e-09	2.982132e-07	0.1	1.471684e-09	6.488339e-10	0.1	1.471684e-09	2.108717e-07	0.1	1.471684e-09	4.4133191e-09	0.1	1.471684e-09	8.74678e-10	0.1
3.656893e-09	8.768348931369499e-06	0.1	3.656893e-09	1.202148e-10	0.1	3.656893e-09	7.12904e-07	0.1	3.656893e-09	1.5511e-09	0.1	3.656893e-09	5.041118e-07	0.1	3.656893e-09	1.05504604e-08	0.1	3.656893e-09	2.091001e-09	0.1
6.716186e-09	7.8553853753661e-06	0.1	6.716186e-09	2.093386e-10	0.1	6.716186e-09	1.241381e-06	0.1	6.716186e-09	2.700951e-09	0.1	6.716186e-09	8.778231e-07	0.1	6.716186e-09	1.83716717e-08	0.1	6.716186e-09	3.641088e-09	0.1
8.901396e-09	7.2620656639536e-06	0.1	8.901396e-09	2.672629e-10	0.1	8.901396e-09	1.584826e-06	0.1	8.901396e-09	3.448223e-09	0.1	8.901396e-09	1.120696e-06	0.1	8.901396e-09	2.3454561000000003e-08	0.1	8.901396e-09	4.648467e-09	0.1
1.210719e-08	6.471773573748e-06	0.1	1.210719e-08	3.444232e-10	0.1	1.210719e-08	2.042284e-06	0.1	1.210719e-08	4.44358e-09	0.1	1.210719e-08	1.444206e-06	0.1	1.210719e-08	3.0224915000000004e-08	0.1	1.210719e-08	5.990283e-09	0.1
1.700398e-08	5.4274164129761e-06	0.1	1.700398e-08	4.464029e-10	0.1	1.700398e-08	2.646794e-06	0.1	1.700398e-08	5.758934e-09	0.1	1.700398e-08	1.871733e-06	0.1	1.700398e-08	3.9171879e-08	0.1	1.700398e-08	7.763477e-09	0.1
2.232352e-08	4.4829578589401e-06	0.1	2.232352e-08	5.386462e-10	0.1	2.232352e-08	3.193462e-06	0.1	2.232352e-08	6.948474e-09	0.1	2.232352e-08	2.258384e-06	0.1	2.232352e-08	4.7263068999999997e-08	0.1	2.232352e-08	9.367063e-09	0.1
2.90571e-08	3.5193783033279003e-06	0.1	2.90571e-08	6.327844e-10	0.1	2.90571e-08	3.751173e-06	0.1	2.90571e-08	8.162111e-09	0.1	2.90571e-08	2.652892e-06	0.1	2.90571e-08	5.5518178999999995e-08	0.1	2.90571e-08	1.100313e-08	0.1
3.673337e-08	2.6708760110658996e-06	0.1	3.673337e-08	7.157163e-10	0.1	3.673337e-08	4.242243e-06	0.1	3.673337e-08	9.230821e-09	0.1	3.673337e-08	3.000322e-06	0.1	3.673337e-08	6.2787528e-08	0.1	3.673337e-08	1.244382e-08	0.1
4.440964e-08	2.0269438385886e-06	0.1	4.440964e-08	7.786921e-10	0.1	4.440964e-08	4.614882e-06	0.1	4.440964e-08	1.004188e-08	0.1	4.440964e-08	3.264027e-06	0.1	4.440964e-08	6.8304387e-08	0.1	4.440964e-08	1.353718e-08	0.1
5.208591e-08	1.5382620793512e-06	0.1	5.208591e-08	8.265232e-10	0.1	5.208591e-08	4.897643e-06	0.1	5.208591e-08	1.065742e-08	0.1	5.208591e-08	3.464194e-06	0.1	5.208591e-08	7.249128100000001e-08	0.1	5.208591e-08	1.436696e-08	0.1
5.976217e-08	1.1674000064008e-06	0.1	5.976217e-08	8.62861e-10	0.1	5.976217e-08	5.112195e-06	0.1	5.976217e-08	1.112457e-08	0.1	5.976217e-08	3.616141e-06	0.1	5.976217e-08	7.5668866e-08	0.1	5.976217e-08	1.49967e-08	0.1
6.743844e-08	8.859502737175e-07	0.1	6.743844e-08	8.904764e-10	0.1	6.743844e-08	5.274983e-06	0.1	6.743844e-08	1.147911e-08	0.1	6.743844e-08	3.731494e-06	0.1	6.743844e-08	7.808047e-08	0.1	6.743844e-08	1.547462e-08	0.1
7.511471e-08	6.7235715410565e-07	0.1	7.511471e-08	9.114724e-10	0.1	7.511471e-08	5.398487e-06	0.1	7.511471e-08	1.174818e-08	0.1	7.511471e-08	3.819076e-06	0.1	7.511471e-08	7.991077400000001e-08	0.1	7.511471e-08	1.583734e-08	0.1
8.279098e-08	5.10260356255e-07	0.1	8.279098e-08	9.274448e-10	0.1	8.279098e-08	5.492178e-06	0.1	8.279098e-08	1.19524e-08	0.1	8.279098e-08	3.885581e-06	0.1	8.279098e-08	8.129993100000001e-08	0.1	8.279098e-08	1.611263e-08	0.1
9.141063e-08	3.7433602178767e-07	0.1	9.141063e-08	9.408836e-10	0.1	9.141063e-08	5.570698e-06	0.1	9.141063e-08	1.212366e-08	0.1	9.141063e-08	3.941396e-06	0.1	9.141063e-08	8.246494000000001e-08	0.1	9.141063e-08	1.634348e-08	0.1
1.006592e-07	2.6848401432202e-07	0.1	1.006592e-07	9.514019e-10	0.1	1.006592e-07	5.631795e-06	0.1	1.006592e-07	1.225705e-08	0.1	1.006592e-07	3.984915e-06	0.1	1.006592e-07	8.3372368e-08	0.1	1.006592e-07	1.652329e-08	0.1
1.099078e-07	1.9256598478133e-07	0.1	1.099078e-07	9.590001e-10	0.1	1.099078e-07	5.675563e-06	0.1	1.099078e-07	1.235275e-08	0.1	1.099078e-07	4.016184e-06	0.1	1.099078e-07	8.402336400000001e-08	0.1	1.099078e-07	1.665227e-08	0.1
1.191563e-07	1.3811673871446e-07	0.1	1.191563e-07	9.645039e-10	0.1	1.191563e-07	5.706902e-06	0.1	1.191563e-07	1.24214e-08	0.1	1.191563e-07	4.038667e-06	0.1	1.191563e-07	8.4490446e-08	0.1	1.191563e-07	1.67448e-08	0.1
