Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
1.033502e-09	9.8372406591218e-06	0.1	1.033502e-09	1.7085237e-117	0.1	1.033502e-09	3.25766e-11	0.1	1.033502e-09	2.169072e-08	0.1	1.033502e-09	9.198677e-08	0.1	1.033502e-09	4.854857e-08	0.1	1.033502e-09	3.90666e-10	0.1
3.18854e-09	9.5065271804165e-06	0.1	3.18854e-09	5.214507e-117	0.1	3.18854e-09	9.870675e-11	0.1	3.18854e-09	6.579165e-08	0.1	3.18854e-09	2.7901132000000003e-07	0.1	3.18854e-09	1.47256e-07	0.1	3.18854e-09	1.184994e-09	0.1
6.285062e-09	9.050702346269098e-06	0.1	6.285062e-09	1.0122446999999999e-116	0.1	6.285062e-09	1.896119e-10	0.1	6.285062e-09	1.265765e-07	0.1	6.285062e-09	5.3678851e-07	0.1	6.285062e-09	2.83305e-07	0.1	6.285062e-09	2.279914e-09	0.1
1.12347e-08	8.3670439411644e-06	0.1	1.12347e-08	1.7665875e-116	0.1	1.12347e-08	3.253692e-10	0.1	1.12347e-08	2.17744e-07	0.1	1.12347e-08	9.234105e-07	0.1	1.12347e-08	4.873555e-07	0.1	1.12347e-08	3.922328e-09	0.1
1.935501e-08	7.3554843197298e-06	0.1	1.935501e-08	2.9300607000000004e-116	0.1	1.935501e-08	5.247221e-10	0.1	1.935501e-08	3.526397e-07	0.1	1.935501e-08	1.4954672999999999e-06	0.1	1.935501e-08	7.892741e-07	0.1	1.935501e-08	6.353069e-09	0.1
3.037824e-08	6.175119782171e-06	0.1	3.037824e-08	4.3789229999999997e-116	0.1	3.037824e-08	7.544169e-10	0.1	3.037824e-08	5.100507e-07	0.1	3.037824e-08	2.1629863e-06	0.1	3.037824e-08	1.141575e-06	0.1	3.037824e-08	9.190559e-09	0.1
4.375647e-08	4.994023088529999e-06	0.1	4.375647e-08	5.965649999999999e-116	0.1	4.375647e-08	9.798637e-10	0.1	4.375647e-08	6.675669e-07	0.1	4.375647e-08	2.8309198e-06	0.1	4.375647e-08	1.494093e-06	0.1	4.375647e-08	1.20315e-08	0.1
5.772344e-08	4.001277978528e-06	0.1	5.772344e-08	7.45617e-116	0.1	5.772344e-08	1.164331e-09	0.1	5.772344e-08	7.999734e-07	0.1	5.772344e-08	3.3923342e-06	0.1	5.772344e-08	1.790392e-06	0.1	5.772344e-08	1.442133e-08	0.1
7.169042e-08	3.205881140292e-06	0.1	7.169042e-08	8.808245999999999e-116	0.1	7.169042e-08	1.307068e-09	0.1	7.169042e-08	9.060694e-07	0.1	7.169042e-08	3.8421426e-06	0.1	7.169042e-08	2.027786e-06	0.1	7.169042e-08	1.633804e-08	0.1
8.56574e-08	2.5686013055596e-06	0.1	8.56574e-08	1.0047294000000001e-115	0.1	8.56574e-08	1.416439e-09	0.1	8.56574e-08	9.910854e-07	0.1	8.56574e-08	4.2025307e-06	0.1	8.56574e-08	2.217985e-06	0.1	8.56574e-08	1.787566e-08	0.1
9.962438e-08	2.0580051610482e-06	0.1	9.962438e-08	1.1193701999999999e-115	0.1	9.962438e-08	1.499142e-09	0.1	9.962438e-08	1.059212e-06	0.1	9.962438e-08	4.4912736e-06	0.1	9.962438e-08	2.37037e-06	0.1	9.962438e-08	1.910953e-08	0.1
1.152883e-07	1.6051024655711999e-06	0.1	1.152883e-07	1.2389325e-115	0.1	1.152883e-07	1.566772e-09	0.1	1.152883e-07	1.119655e-06	0.1	1.152883e-07	4.7473866e-06	0.1	1.152883e-07	2.505532e-06	0.1	1.152883e-07	2.020621e-08	0.1
1.320836e-07	1.2296008830688e-06	0.1	1.320836e-07	1.3585386e-115	0.1	1.320836e-07	1.616282e-09	0.1	1.320836e-07	1.169783e-06	0.1	1.320836e-07	4.9597244e-06	0.1	1.320836e-07	2.617589e-06	0.1	1.320836e-07	2.111801e-08	0.1
1.488788e-07	9.419488084341199e-07	0.1	1.488788e-07	1.4709582e-115	0.1	1.488788e-07	1.647544e-09	0.1	1.488788e-07	1.2082e-06	0.1	1.488788e-07	5.122379299999999e-06	0.1	1.488788e-07	2.703425e-06	0.1	1.488788e-07	2.181909e-08	0.1
1.656741e-07	7.2159327298104e-07	0.1	1.656741e-07	1.5775401000000001e-115	0.1	1.656741e-07	1.664935e-09	0.1	1.656741e-07	1.237645e-06	0.1	1.656741e-07	5.2469759e-06	0.1	1.656741e-07	2.769172e-06	0.1	1.656741e-07	2.23587e-08	0.1
1.831714e-07	5.466669397868e-07	0.1	1.831714e-07	1.6834848e-115	0.1	1.831714e-07	1.671903e-09	0.1	1.831714e-07	1.261037e-06	0.1	1.831714e-07	5.3458786e-06	0.1	1.831714e-07	2.821358e-06	0.1	1.831714e-07	2.278973e-08	0.1
2.034768e-07	3.961027362342e-07	0.1	2.034768e-07	1.8010773000000002e-115	0.1	2.034768e-07	1.669439e-09	0.1	2.034768e-07	1.281192e-06	0.1	2.034768e-07	5.4309993e-06	0.1	2.034768e-07	2.866268e-06	0.1	2.034768e-07	2.316403e-08	0.1
2.237822e-07	2.8701184575525004e-07	0.1	2.237822e-07	1.913913e-115	0.1	2.237822e-07	1.658799e-09	0.1	2.237822e-07	1.295818e-06	0.1	2.237822e-07	5.4926648e-06	0.1	2.237822e-07	2.898799e-06	0.1	2.237822e-07	2.343867e-08	0.1
2.440876e-07	2.0797048210292e-07	0.1	2.440876e-07	2.022768e-115	0.1	2.440876e-07	1.642405e-09	0.1	2.440876e-07	1.306438e-06	0.1	2.440876e-07	5.5373355e-06	0.1	2.440876e-07	2.92236e-06	0.1	2.440876e-07	2.364106e-08	0.1
2.66898e-07	1.4483081780937e-07	0.1	2.66898e-07	2.1410091e-115	0.1	2.66898e-07	1.619284e-09	0.1	2.66898e-07	1.314948e-06	0.1	2.66898e-07	5.5730101e-06	0.1	2.66898e-07	2.94117e-06	0.1	2.66898e-07	2.380664e-08	0.1
