Batch	m_SP	7	W3	W4_L	R	P1	P2_L	P3	P4											
1.347868e-07	0.9892173	0.1	1.347868e-07	4.086995e-05	0.1	1.347868e-07	9.49384e-07	0.1	1.347868e-07	0.00430093	0.1	1.347868e-07	1.62114582e-05	0.1	1.347868e-07	1.083903e-06	0.1	1.347868e-07	0.0006658073	0.1
1.471708e-07	0.9883208	0.1	1.471708e-07	4.4783525e-05	0.1	1.471708e-07	1.056007e-06	0.1	1.471708e-07	0.004744695	0.1	1.471708e-07	1.74159144e-05	0.1	1.471708e-07	1.177723e-06	0.1	1.471708e-07	0.000665376	0.1
1.604988e-07	0.987356	0.1	1.604988e-07	4.9015968999999995e-05	0.1	1.604988e-07	1.174337e-06	0.1	1.604988e-07	0.005222925	0.1	1.604988e-07	1.86330853e-05	0.1	1.604988e-07	1.275482e-06	0.1	1.604988e-07	0.0006648985	0.1
1.749557e-07	0.9863102	0.1	1.749557e-07	5.3630983e-05	0.1	1.749557e-07	1.30689e-06	0.1	1.749557e-07	0.005741942	0.1	1.749557e-07	1.98603627e-05	0.1	1.749557e-07	1.377557e-06	0.1	1.749557e-07	0.0006643753	0.1
1.91106e-07	0.9851431	0.1	1.91106e-07	5.8815137999999996e-05	0.1	1.91106e-07	1.460132e-06	0.1	1.91106e-07	0.00632167	0.1	1.91106e-07	2.11186267e-05	0.1	1.91106e-07	1.486569e-06	0.1	1.91106e-07	0.000663789	0.1
2.072563e-07	0.9839775	0.1	2.072563e-07	6.4027181e-05	0.1	2.072563e-07	1.618797e-06	0.1	2.072563e-07	0.006900999	0.1	2.072563e-07	2.22617458e-05	0.1	2.072563e-07	1.590262e-06	0.1	2.072563e-07	0.0006632027	0.1
2.262112e-07	0.9826117	0.1	2.262112e-07	7.0175568e-05	0.1	2.262112e-07	1.811872e-06	0.1	2.262112e-07	0.007580156	0.1	2.262112e-07	2.34641824e-05	0.1	2.262112e-07	1.705313e-06	0.1	2.262112e-07	0.0006625153	0.1
2.458674e-07	0.9811982	0.1	2.458674e-07	7.658059599999999e-05	0.1	2.458674e-07	2.019812e-06	0.1	2.458674e-07	0.008283344	0.1	2.458674e-07	2.45637348e-05	0.1	2.458674e-07	1.817371e-06	0.1	2.458674e-07	0.0006618037	0.1
2.687806e-07	0.9795541	0.1	2.687806e-07	8.407426100000001e-05	0.1	2.687806e-07	2.271957e-06	0.1	2.687806e-07	0.00910148	0.1	2.687806e-07	2.56743871e-05	0.1	2.687806e-07	1.939341e-06	0.1	2.687806e-07	0.0006609758	0.1
2.925081e-07	0.9778558	0.1	2.925081e-07	9.1852326e-05	0.1	2.925081e-07	2.543879e-06	0.1	2.925081e-07	0.009946794	0.1	2.925081e-07	2.66534838e-05	0.1	2.925081e-07	2.05677e-06	0.1	2.925081e-07	0.0006601206	0.1
3.211543e-07	0.9758113	0.1	3.211543e-07	0.000101248139	0.1	3.211543e-07	2.886409e-06	0.1	3.211543e-07	0.01096468	0.1	3.211543e-07	2.76383032e-05	0.1	3.211543e-07	2.188039e-06	0.1	3.211543e-07	0.0006590907	0.1
3.523193e-07	0.9735941	0.1	3.523193e-07	0.000111452647	0.1	3.523193e-07	3.276128e-06	0.1	3.523193e-07	0.01206869	0.1	3.523193e-07	2.85084596e-05	0.1	3.523193e-07	2.319849e-06	0.1	3.523193e-07	0.0006579737	0.1
3.872626e-07	0.9711171	0.1	3.872626e-07	0.00012284365	0.1	3.872626e-07	3.733326e-06	0.1	3.872626e-07	0.01330233	0.1	3.872626e-07	2.92880315e-05	0.1	3.872626e-07	2.456582e-06	0.1	3.872626e-07	0.0006567255	0.1
4.311494e-07	0.9680193	0.1	4.311494e-07	0.00013703436500000002	0.1	4.311494e-07	4.336188e-06	0.1	4.311494e-07	0.01484536	0.1	4.311494e-07	3.00484738e-05	0.1	4.311494e-07	2.615451e-06	0.1	4.311494e-07	0.0006551641	0.1
4.830164e-07	0.964377	0.1	4.830164e-07	0.00015359029	0.1	4.830164e-07	5.086898e-06	0.1	4.830164e-07	0.01665987	0.1	4.830164e-07	3.07291228e-05	0.1	4.830164e-07	2.789484e-06	0.1	4.830164e-07	0.0006533277	0.1
5.443391e-07	0.9600967	0.1	5.443391e-07	0.0001728117	0.1	5.443391e-07	6.022896e-06	0.1	5.443391e-07	0.01879248	0.1	5.443391e-07	3.1339119e-05	0.1	5.443391e-07	2.981383e-06	0.1	5.443391e-07	0.0006511688	0.1
6.222039e-07	0.9547019	0.1	6.222039e-07	0.00019661700199999997	0.1	6.222039e-07	7.277236e-06	0.1	6.222039e-07	0.02148067	0.1	6.222039e-07	3.1936453e-05	0.1	6.222039e-07	3.2092e-06	0.1	6.222039e-07	0.0006484465	0.1
7.034616e-07	0.9491195	0.1	7.034616e-07	0.000220719918	0.1	7.034616e-07	8.650929e-06	0.1	7.034616e-07	0.0242627	0.1	7.034616e-07	3.2443506e-05	0.1	7.034616e-07	3.43197e-06	0.1	7.034616e-07	0.000645628	0.1
7.982901e-07	0.9426653	0.1	7.982901e-07	0.00024790148999999996	0.1	7.982901e-07	1.031646e-05	0.1	7.982901e-07	0.02747959	0.1	7.982901e-07	3.2953752999999994e-05	0.1	7.982901e-07	3.675163e-06	0.1	7.982901e-07	0.0006423673	0.1
9.046572e-07	0.935502	0.1	9.046572e-07	0.00027721936	0.1	9.046572e-07	1.223435e-05	0.1	9.046572e-07	0.03105028	0.1	9.046572e-07	3.3464546e-05	0.1	9.046572e-07	3.928186e-06	0.1	9.046572e-07	0.0006387459	0.1
1.025124e-06	0.9274853	0.1	1.025124e-06	0.00030900567000000003	0.1	1.025124e-06	1.442702e-05	0.1	1.025124e-06	0.03504695	0.1	1.025124e-06	3.3990433e-05	0.1	1.025124e-06	4.191474e-06	0.1	1.025124e-06	0.0006346899	0.1
1.171221e-06	0.9178974	0.1	1.171221e-06	0.00034566516	0.1	1.171221e-06	1.705035e-05	0.1	1.171221e-06	0.03982767	0.1	1.171221e-06	3.45709e-05	0.1	1.171221e-06	4.480963e-06	0.1	1.171221e-06	0.0006298345	0.1
1.35603e-06	0.9059754	0.1	1.35603e-06	0.00038930068	0.1	1.35603e-06	2.02092e-05	0.1	1.35603e-06	0.0457734	0.1	1.35603e-06	3.5230679000000004e-05	0.1	1.35603e-06	4.806708e-06	0.1	1.35603e-06	0.0006237902	0.1
1.569142e-06	0.8925065	0.1	1.569142e-06	0.00043614492000000003	0.1	1.569142e-06	2.350903e-05	0.1	1.569142e-06	0.05249217	0.1	1.569142e-06	3.5902871999999995e-05	0.1	1.569142e-06	5.135471e-06	0.1	1.569142e-06	0.0006169523	0.1
