Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
4.167056e-10	0.9879247	0.1	4.167056e-10	9.024315e-06	0.1	4.167056e-10	0.0007076194	0.1	4.167056e-10	0.001125293	0.1	4.167056e-10	0.0028269095	0.1	4.167056e-10	0.0008632827	0.1	4.167056e-10	7.314566e-07	0.1
6.128291e-10	0.9827758	0.1	6.128291e-10	1.326625e-05	0.1	6.128291e-10	0.001039414	0.1	6.128291e-10	0.001664899	0.1	6.128291e-10	0.0041214280999999995	0.1	6.128291e-10	0.001258463	0.1	6.128291e-10	1.110238e-06	0.1
8.40377e-10	0.9768725	0.1	8.40377e-10	1.821449e-05	0.1	8.40377e-10	0.001425121	0.1	8.40377e-10	0.002308347	0.1	8.40377e-10	0.0055828892	0.1	8.40377e-10	0.001704407	0.1	8.40377e-10	1.599006e-06	0.1
1.115062e-09	0.9698553	0.1	1.115062e-09	2.425844e-05	0.1	1.115062e-09	0.001893622	0.1	1.115062e-09	0.003119762	0.1	1.115062e-09	0.0072771314	0.1	1.115062e-09	0.002221006	0.1	1.115062e-09	2.282192e-06	0.1
1.389746e-09	0.9629655	0.1	1.389746e-09	3.041368e-05	0.1	1.389746e-09	0.002367164	0.1	1.389746e-09	0.00397926	0.1	1.389746e-09	0.008882517500000001	0.1	1.389746e-09	0.002710009	0.1	1.389746e-09	3.090779e-06	0.1
1.664431e-09	0.9562094	0.1	1.664431e-09	3.670913e-05	0.1	1.664431e-09	0.002847293	0.1	1.664431e-09	0.004895365	0.1	1.664431e-09	0.010388887	0.1	1.664431e-09	0.003168265	0.1	1.664431e-09	4.044565e-06	0.1
1.939116e-09	0.9495909	0.1	1.939116e-09	4.316591e-05	0.1	1.939116e-09	0.003335072	0.1	1.939116e-09	0.005874169	0.1	1.939116e-09	0.0117892181	0.1	1.939116e-09	0.003593617	0.1	1.939116e-09	5.157813e-06	0.1
2.2138e-09	0.9431117	0.1	2.2138e-09	4.97976e-05	0.1	2.2138e-09	0.00383109	0.1	2.2138e-09	0.006919395	0.1	2.2138e-09	0.013079518	0.1	2.2138e-09	0.003984861	0.1	2.2138e-09	6.43939e-06	0.1
2.488485e-09	0.9367713	0.1	2.488485e-09	5.661076e-05	0.1	2.488485e-09	0.00433549	0.1	2.488485e-09	0.008032591	0.1	2.488485e-09	0.014258593	0.1	2.488485e-09	0.004341673	0.1	2.488485e-09	7.893193e-06	0.1
2.790799e-09	0.9299512	0.1	2.790799e-09	6.431931e-05	0.1	2.790799e-09	0.004900011	0.1	2.790799e-09	0.009335853	0.1	2.790799e-09	0.01542923	0.1	2.790799e-09	0.004695116	0.1	2.790799e-09	9.691652e-06	0.1
3.134557e-09	0.9223909	0.1	3.134557e-09	7.334361e-05	0.1	3.134557e-09	0.005552874	0.1	3.134557e-09	0.01091379	0.1	3.134557e-09	0.016604225	0.1	3.134557e-09	0.005048867	0.1	3.134557e-09	1.198205e-05	0.1
3.478316e-09	0.915029	0.1	3.478316e-09	8.262549e-05	0.1	3.478316e-09	0.00621571	0.1	3.478316e-09	0.01258748	0.1	3.478316e-09	0.017622666000000002	0.1	3.478316e-09	0.005354476	0.1	3.478316e-09	1.451948e-05	0.1
3.822074e-09	0.9078543	0.1	3.822074e-09	9.214002e-05	0.1	3.822074e-09	0.006886359	0.1	3.822074e-09	0.01434837	0.1	3.822074e-09	0.018496882000000003	0.1	3.822074e-09	0.005615883	0.1	3.822074e-09	1.728491e-05	0.1
