	T[K]	W1	W2	W3	W4	W5	W6
600 0.00074 0.00096 0.25438 0.26165 0.32870 0.15356
700 0.00212 0.00007 0.09748 0.31727 0.41767 0.16539
800 0.00408 0.00004 0.11664 0.31999 0.43887 0.12038
900 0.00153 0.00000 0.05647 0.07289 0.10322 0.76588
1000 0.00102 0.00000 0.01053 0.03233 0.04706 0.90907
1100 0.00080 0.00000 0.02589 0.01823 0.02707 0.92801
1200 0.15912 0.00000 0.04464 0.02034 0.02920 0.74669
1300 0.05596 0.00001 0.08297 0.05507 0.06797 0.73802
1400 0.16665 0.00002 0.11749 0.05330 0.07271 0.58984
1500 0.21121 0.00002 0.10341 0.31488 0.05012 0.32036
1600 0.17158 0.00003 0.15864 0.27998 0.06230 0.32748
1700 0.26062 0.00705 0.14027 0.33791 0.04592 0.20823
1800 0.15822 0.32499 0.20166 0.02553 0.05674 0.23285
1900 0.15959 0.10927 0.19897 0.29530 0.04872 0.18816
2000 0.01381 0.18997 0.15906 0.37772 0.03328 0.22616
2100 0.19155 0.46564 0.13373 0.06116 0.02488 0.12304
2200 0.02562 0.30560 0.35067 0.12047 0.05854 0.13910
2300 0.21702 0.31632 0.15066 0.10102 0.02289 0.19209
2400 0.16667 0.16665 0.16670 0.16663 0.16668 0.16668
2500 0.16668 0.16669 0.16669 0.16667 0.16655 0.16672
