	T[K]	W4	W5	W1
600 0.37115 0.58136 0.04138
700 0.37147 0.58180 0.04063
800 0.37133 0.58190 0.04067
900 0.36843 0.58212 0.04334
1000 0.36083 0.58105 0.05199
1100 0.34307 0.57673 0.07373
1200 0.40382 0.58967 0.00000
1300 0.00000 0.99399 0.00000
1400 0.00000 0.99389 0.00000
1500 0.00000 0.99440 0.00000
1600 0.00000 0.99442 0.00000
1700 0.00000 0.99485 0.00000
1800 0.00000 0.99533 0.00000
1900 0.00000 0.99571 0.00000
2000 0.00000 0.99573 0.00000
2100 0.00000 0.99613 0.00000
2200 0.00000 0.99614 0.00000
2300 0.00000 0.99615 0.00000
2400 0.33217 0.33217 0.33217
2500 0.33217 0.33217 0.33217
