	T[K]	W4	W5	W1
600 0.44259 0.55486 0.00125
700 0.42937 0.56616 0.00287
800 0.41888 0.57431 0.00534
900 0.41049 0.57934 0.00865
1000 0.40173 0.58415 0.01263
1100 0.39494 0.58624 0.01723
1200 0.38858 0.58749 0.02231
1300 0.38300 0.58759 0.02771
1400 0.37727 0.58779 0.03333
1500 0.37258 0.58682 0.03923
1600 0.36816 0.58589 0.04487
1700 0.41410 0.58510 0.00000
1800 0.00000 0.99923 0.00000
1900 0.00000 0.99927 0.00000
2000 0.00000 0.99932 0.00000
2100 0.00000 0.99930 0.00000
2200 0.00000 0.99904 0.00000
2300 0.00000 0.99901 0.00000
2400 0.00000 0.99913 0.00000
2500 0.00000 0.99887 0.00000
